fold,test_subject,n_test_trials,n_test_windows,rmse_N_ground_force_left_vx,pearson_r_ground_force_left_vx,rmse_N_ground_force_left_vy,pearson_r_ground_force_left_vy,rmse_N_ground_force_left_vz,pearson_r_ground_force_left_vz,rmse_N_ground_force_right_vx,pearson_r_ground_force_right_vx,rmse_N_ground_force_right_vy,pearson_r_ground_force_right_vy,rmse_N_ground_force_right_vz,pearson_r_ground_force_right_vz,rmse_N_resultant,pearson_r_resultant
1,z1,28,322,9.193132919799082,0.8519936836676243,180.82264942818438,0.8736105471157743,14.513825475233354,0.7547383717646539,11.745962794441432,0.7856226159490678,167.96426985645053,0.9018359991648662,32.81193159074235,0.6724618485052629,165.54065078175216,0.8924188389820614
2,z2,20,141,6.691236299020464,0.8596878218002596,149.00796576342222,0.8895957430527603,15.377561667670637,0.8267872946615697,10.105565897299499,0.7928569959184271,135.36301785624835,0.9114186892294058,26.73253035925204,0.6966288700155403,130.88548647785402,0.9082846358958789
3,z3,31,217,10.866344844983619,0.7658653972987232,171.37686460803553,0.8751490832301618,14.785490923309563,0.7907829073785453,16.637857858460446,0.6971956535587951,192.22154724696784,0.8496948431290561,40.813693611975076,0.7789933343105141,175.17725506799792,0.8649176350296129
4,z4,29,269,10.849912692072035,0.8525622507211373,156.90523899793908,0.8753582298473885,13.06955957143264,0.8407311971039915,21.450661257338457,0.7798988930835807,158.34861824323158,0.8663518190705584,36.61655806945262,0.7206488430185733,149.9451872584095,0.8754375384043128
5,z5,31,313,11.536660135051637,0.8284378002167246,159.98509661995075,0.8693343385323041,14.51709297333981,0.7860208519324772,18.71834828702399,0.7459597618143713,174.42262938781954,0.8437881141084709,30.435912782146225,0.6770880216186913,159.53184983257182,0.8615884715485336
6,z6,30,294,12.50283394442075,0.81501666275401,165.62069648871383,0.8494468137409595,28.827046790942653,0.7262021661276341,10.2870562599121,0.7516952948821174,164.9391559116867,0.8606868783357942,16.8541184375289,0.8660256109784396,154.98147424447902,0.8586523470858212
7,z7,29,292,10.671691137377488,0.672858298235898,188.98164095766134,0.7197811337191241,28.997291960694458,0.5591019902470936,16.219334633605666,0.5005312212348776,228.8325416444193,0.7062734813301387,19.3403414027582,0.5959798027963905,198.01993802513937,0.6977669037190377
8,z8,28,270,10.599829032251499,0.7082681985153366,187.97176282153708,0.8668554972339285,30.876224958228647,0.6782659568601801,14.735204040024351,0.35745616130499797,197.51614258043352,0.846310565558658,15.763598315770935,0.8543617553295046,184.51820538086236,0.8611854702091102
