file,subject,weight_kg,weight_N,offset_vx,offset_vy,offset_vz,scale_vy,scale_used,subject_median_scale,n_frames,n_cross_plate,force_error_N,warnings
z5_01_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,205,2,,
z5_02_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,210,8,,
z5_03_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,208,1,,
z5_04_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,214,1,,
z5_05_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,206,4,,
z5_06_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,197,3,,
z5_07_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,216,3,,
z5_08_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,203,6,,
z5_09_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,196,5,,
z5_10_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,199,4,,
z5_11_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,197,1,,
z5_12_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,198,4,,
z5_13_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,191,3,,
z5_14_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,200,3,,
z5_15_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,205,1,,
z5_16_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,210,2,,
z5_17_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,202,2,,
z5_18_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,218,1,,
z5_19_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,203,4,,
z5_20_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,206,4,,
z5_21_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,195,2,,
z5_22_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,205,5,,
z5_23_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,191,3,,
z5_24_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,202,2,,
z5_25_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,190,2,,
z5_26_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,202,2,,
z5_27_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,191,2,,
z5_28_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,201,2,,
z5_29_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,201,2,,
z5_30_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,189,5,,
z5_31_mot_100Hz.csv,Z5,73.0,716.13,25.34052152483389,10.119999002162233,10.740147708042741,0.9993613417372407,file,0.9993613417372407,195,4,,
