timestamp,packet_counter,right_thigh_q1,right_thigh_q2,right_thigh_q3,right_thigh_q4,right_calf_q1,right_calf_q2,right_calf_q3,right_calf_q4,left_thigh_q1,left_thigh_q2,left_thigh_q3,left_thigh_q4,left_calf_q1,left_calf_q2,left_calf_q3,left_calf_q4,trunk_q1,trunk_q2,trunk_q3,trunk_q4,right_foot_q0,right_foot_q1,right_foot_q2,right_foot_q3,right_pressure0,right_pressure1,right_pressure2,right_pressure3,right_pressure4,right_pressure5,right_pressure6,right_pressure7,right_pressure8,right_pressure9,right_pressure10,right_pressure11,right_pressure12,right_pressure13,right_pressure14,right_pressure15,right_pressure16,right_pressure17,right_pressure18,right_pressure19,right_pressure20,right_pressure21,right_pressure22,right_pressure23,right_pressure24,right_pressure25,right_pressure26,right_pressure27,right_pressure28,right_pressure29,right_pressure30,right_pressure31,right_pressure32,right_pressure33,right_pressure34,right_pressure35,right_pressure36,right_pressure37,right_pressure38,right_pressure39,right_pressure40,right_pressure41,right_pressure42,right_pressure43,right_pressure44,left_foot_q0,left_foot_q1,left_foot_q2,left_foot_q3,left_pressure0,left_pressure1,left_pressure2,left_pressure3,left_pressure4,left_pressure5,left_pressure6,left_pressure7,left_pressure8,left_pressure9,left_pressure10,left_pressure11,left_pressure12,left_pressure13,left_pressure14,left_pressure15,left_pressure16,left_pressure17,left_pressure18,left_pressure19,left_pressure20,left_pressure21,left_pressure22,left_pressure23,left_pressure24,left_pressure25,left_pressure26,left_pressure27,left_pressure28,left_pressure29,left_pressure30,left_pressure31,left_pressure32,left_pressure33,left_pressure34,left_pressure35,left_pressure36,left_pressure37,left_pressure38,left_pressure39,left_pressure40,left_pressure41,left_pressure42,left_pressure43,left_pressure44,right_pressure_sum,left_pressure_sum
00:42.6,808,0.411,0.55,-0.567,-0.456,0.598,0.744,-0.045,-0.295,0.645,0.533,-0.116,-0.535,0.421,0.552,-0.442,-0.567,0.714,0.686,-0.124,0.066,0.496,0.465,-0.595,0.43,0.001,0.001,0.001,0.001,0.001,0.055,0.236,0.092,0.001,0.001,0.001,0.001,0.001,0.186,0.341,0.38,0.112,0.001,0.001,0.001,0.001,0.001,0.017,0.451,0.708,0.088,0.369,0.001,0.001,0.001,0.001,0.007,0.54,0.695,0.201,0.026,0.001,0.761,0.806,1.172,0.526,0.466,0.147,0.664,0.033,-0.645,-0.286,0.645,-0.293,0,0,0,0,0,0,0,0.001,0,0,0.017,0,0.001,0,0,0,0.001,0,0.002,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0.001,0.001,0,0,9.099,0.028
00:42.6,809,0.411,0.552,-0.564,-0.455,0.598,0.743,-0.043,-0.296,0.646,0.534,-0.117,-0.533,0.42,0.557,-0.438,-0.567,0.711,0.688,-0.124,0.067,0.496,0.465,-0.595,0.43,0.001,0.001,0.001,0.001,0.001,0.055,0.236,0.092,0.001,0.001,0.001,0.001,0.001,0.186,0.341,0.38,0.112,0.001,0.001,0.001,0.001,0.001,0.017,0.451,0.708,0.088,0.369,0.001,0.001,0.001,0.001,0.007,0.54,0.695,0.201,0.026,0.001,0.761,0.806,1.172,0.526,0.466,0.147,0.664,0.033,-0.619,-0.201,0.661,-0.374,0,0,0,0,0,0,0,0.001,0,0.16,0.089,0,0,0,0.001,0.001,0,0,0.103,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0.001,0.001,0,0.001,0,0,0.001,0,0,0,0,9.099,0.365
00:42.6,810,0.411,0.555,-0.562,-0.455,0.599,0.742,-0.04,-0.298,0.647,0.535,-0.117,-0.531,0.419,0.558,-0.436,-0.568,0.709,0.691,-0.124,0.069,0.531,0.39,-0.625,0.418,0.001,0.001,0.001,0.001,0.017,0.018,0.22,0.084,0.001,0.001,0.001,0.001,0.001,0.103,0.32,0.368,0.114,0.001,0.001,0.001,0.001,0.001,0.017,0.442,0.701,0.092,0.369,0.001,0.001,0.001,0.001,0.006,0.548,0.697,0.206,0.029,0.001,0.775,0.816,1.165,0.527,0.485,0.164,0.692,0.049,-0.599,-0.208,0.668,-0.389,0.722,0.611,0.013,0.001,0.001,0,0.001,0.001,0.731,0.697,0.479,0.001,0,0.001,0,0,0.001,0.411,0.81,0.253,0,0,0.001,0,0.001,0,0.001,0.04,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0.001,9.043,4.784
00:42.7,811,0.412,0.557,-0.559,-0.456,0.6,0.741,-0.038,-0.3,0.647,0.535,-0.115,-0.53,0.417,0.556,-0.44,-0.569,0.707,0.693,-0.124,0.07,0.537,0.375,-0.633,0.412,0.001,0.001,0.001,0.001,0.001,0.001,0.076,0.018,0,0.001,0.001,0.001,0.001,0.004,0.111,0.259,0.159,0.001,0.001,0.001,0.001,0.001,0.209,0.19,0.587,0.085,0.372,0.001,0.001,0.001,0.001,0.05,0.458,0.708,0.217,0.002,0.001,0.965,0.945,1.123,0.499,0.818,0.304,0.81,0.12,-0.58,-0.216,0.677,-0.398,0.692,0.604,0.017,0,0.001,0,0,0,0.733,0.709,0.534,0.001,0,0,0,0,0,0.429,0.818,0.321,0,0,0,0,0,0.001,0.001,0.066,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,9.109,4.931
00:42.7,812,0.412,0.558,-0.556,-0.457,0.601,0.739,-0.037,-0.302,0.648,0.536,-0.111,-0.529,0.417,0.551,-0.447,-0.567,0.706,0.694,-0.123,0.072,0.546,0.35,-0.646,0.402,0.001,0.001,0.001,0.015,0.001,0.001,0.066,0.009,0.001,0.001,0.001,0.001,0.001,0.018,0.1,0.249,0.176,0.001,0.001,0.001,0.001,0.001,0.204,0.144,0.554,0.081,0.386,0.001,0.001,0.001,0.001,0.042,0.422,0.709,0.214,0.002,0.001,0.977,0.976,1.111,0.487,0.883,0.314,0.807,0.122,-0.575,-0.214,0.681,-0.399,0.668,0.603,0.023,0,0.001,0,0,0.001,0.723,0.708,0.557,0.001,0.001,0,0.001,0,0,0.46,0.825,0.382,0.001,0.001,0,0.001,0,0.001,0,0.092,0.001,0.001,0,0,0.001,0.001,0,0.001,0,0.001,0,0,0,0,0,0.001,0.001,9.088,5.058
00:42.7,813,0.413,0.559,-0.553,-0.459,0.603,0.737,-0.036,-0.304,0.649,0.538,-0.105,-0.528,0.419,0.545,-0.456,-0.565,0.705,0.695,-0.122,0.073,0.554,0.328,-0.657,0.393,0.001,0.001,0.001,0.015,0.001,0.001,0.056,0.005,0.001,0.001,0.001,0.001,0.001,0.023,0.098,0.244,0.19,0.001,0.001,0.001,0.001,0.001,0.184,0.115,0.514,0.082,0.4,0.001,0,0.001,0.001,0.029,0.377,0.706,0.2,0.002,0.001,0.966,0.994,1.09,0.448,0.938,0.324,0.805,0.117,-0.579,-0.197,0.685,-0.397,0.642,0.618,0.035,0.001,0,0,0,0,0.723,0.701,0.621,0,0,0,0.001,0,0,0.479,0.829,0.448,0.001,0,0,0,0,0,0,0.137,0.001,0,0,0.001,0,0,0,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0,8.941,5.243
00:42.7,814,0.413,0.559,-0.551,-0.462,0.604,0.735,-0.035,-0.306,0.648,0.541,-0.098,-0.527,0.423,0.538,-0.464,-0.563,0.705,0.695,-0.121,0.073,0.562,0.299,-0.67,0.381,0.001,0.001,0.001,0.023,0.001,0.001,0.051,0.007,0.001,0.001,0.001,0.009,0.001,0.032,0.094,0.227,0.219,0.001,0.001,0.001,0.001,0.001,0.147,0.098,0.473,0.081,0.402,0.001,0.001,0.001,0.001,0.056,0.346,0.702,0.192,0.001,0.001,0.941,1.028,1.072,0.407,0.98,0.331,0.797,0.105,-0.586,-0.179,0.687,-0.391,0.648,0.628,0.072,0,0,0.001,0.001,0,0.728,0.734,0.652,0,0,0,0.001,0.001,0,0.491,0.812,0.529,0,0.001,0,0,0,0,0,0.165,0,0,0,0,0.001,0,0.001,0.001,0.001,0,0,0,0,0.001,0,0,0,8.84,5.469
00:42.7,815,0.413,0.559,-0.548,-0.465,0.605,0.733,-0.035,-0.309,0.648,0.544,-0.093,-0.525,0.426,0.53,-0.471,-0.562,0.704,0.696,-0.121,0.072,0.567,0.274,-0.683,0.37,0.001,0.001,0.001,0.044,0.001,0.001,0.046,0.002,0,0.001,0.001,0.04,0.001,0.033,0.096,0.205,0.227,0.001,0.001,0.001,0.001,0.001,0.095,0.089,0.427,0.077,0.405,0.001,0.001,0.001,0.001,0.084,0.341,0.694,0.188,0.001,0.001,0.902,1.055,1.079,0.346,0.987,0.336,0.781,0.098,-0.595,-0.157,0.689,-0.383,0.679,0.653,0.125,0,0,0.001,0,0,0.731,0.77,0.712,0.001,0.001,0,0,0.001,0,0.501,0.812,0.602,0,0,0,0.001,0.001,0,0,0.189,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,8.696,5.785
00:42.7,816,0.413,0.558,-0.546,-0.469,0.606,0.73,-0.036,-0.312,0.647,0.548,-0.091,-0.522,0.429,0.522,-0.478,-0.561,0.704,0.696,-0.12,0.07,0.57,0.249,-0.698,0.356,0.001,0.001,0.001,0.023,0.001,0.001,0.034,0.001,0.001,0.001,0.001,0.138,0.001,0.046,0.106,0.188,0.231,0.001,0.001,0.001,0.001,0.001,0.066,0.093,0.422,0.078,0.397,0.001,0.001,0.001,0.001,0.12,0.343,0.656,0.183,0.001,0.022,0.858,1.077,1.074,0.309,0.965,0.325,0.775,0.084,-0.599,-0.152,0.685,-0.386,0.719,0.653,0.223,0,0,0,0,0.001,0.739,0.812,0.783,0.001,0.001,0,0,0,0,0.498,0.851,0.67,0.001,0,0,0.001,0.001,0,0,0.221,0.002,0,0,0,0,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0,0,0.001,8.633,6.183
00:42.7,817,0.412,0.556,-0.544,-0.473,0.607,0.728,-0.038,-0.316,0.648,0.552,-0.092,-0.516,0.433,0.516,-0.485,-0.557,0.704,0.697,-0.119,0.067,0.566,0.218,-0.719,0.338,0.001,0.001,0.001,0.028,0.001,0.001,0.032,0.002,0.001,0.001,0.001,0.147,0.001,0.055,0.11,0.16,0.228,0.001,0.001,0.001,0.001,0.001,0.065,0.099,0.419,0.072,0.358,0.001,0.001,0.001,0.001,0.151,0.349,0.615,0.182,0.001,0.001,0.795,1.093,1.078,0.3,0.951,0.294,0.772,0.068,-0.593,-0.163,0.675,-0.407,0.775,0.684,0.33,0.001,0,0.001,0,0,0.734,0.813,0.817,0,0,0.001,0,0.001,0.001,0.488,0.88,0.707,0,0,0,0,0,0,0,0.243,0.023,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0.001,8.443,6.504
