time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
0.75,-37.24636823,-0.14033689,-5.826278146,-0.000191216,1.45e-06,-0.001083759,4.77e-05,-0.023918802,0.000134252,-38.04054595841078,-1.3445914014477367,-5.516662452505195,-0.000224192,6.4e-06,-0.000252621,-4.02e-07,0.000320691,-2.21e-06
0.76,-36.49124759,10.74067408,-2.476453707,-9.53e-05,1.56e-06,-0.001097594,5.01e-05,-0.025152894,0.000141178,-38.08357847541078,-0.9838643615063862,-5.850021889505195,-0.000222519,6.42e-06,-0.000250377,-4.7e-07,0.000374856,-2.58e-06
0.77,-37.29979628,23.59950752,0.171362833,-0.000223026,1.8e-06,-0.001010666,4.23e-05,-0.021230453,0.000119162,-38.311259465410785,-1.0020575000404683,-6.061041295505195,-0.000225509,6.41e-06,-0.000251281,-3.01e-07,0.000239803,-1.65e-06
0.78,-37.58010448,38.7667718,-0.693810921,-0.000179679,1.85e-06,-0.001016211,4.31e-05,-0.021644716,0.000121488,-37.97468889941078,-1.031869050468318,-5.751807622505195,-0.000221477,6.42e-06,-0.000251285,-3.93e-07,0.000313557,-2.16e-06
0.79,-36.77366824,62.18444611,-1.576789951,-0.000208135,1.94e-06,-0.000990468,4.1e-05,-0.020597924,0.000115612,-38.014482820410784,-1.0567410351803304,-5.881118084505195,-0.000221108,6.42e-06,-0.00025118,-4.5e-07,0.00035889,-2.47e-06
0.8,-35.17858646,84.12694571,-2.405178142,-0.000204991,1.99e-06,-0.000982846,4.04e-05,-0.020277477,0.000113814,-37.955588766410784,-1.2971555084763828,-5.969840125505195,-0.000230017,6.4e-06,-0.000251721,-4.28e-07,0.000341237,-2.35e-06
0.81,-36.68080737,110.4595082,-2.450469538,-0.000199112,2.1e-06,-0.000964898,3.95e-05,-0.019846169,0.000111393,-37.97048623741078,-1.0799253590319111,-5.881712853505195,-0.00022814,6.42e-06,-0.000249993,-4.7e-07,0.000375329,-2.58e-06
0.82,-39.08929409,136.8373331,-7.779624209,-0.000194987,2.24e-06,-0.000941075,3.75e-05,-0.018831217,0.000105696,-38.100496467410785,-0.9726511334742796,-5.781135383505195,-0.000220854,6.42e-06,-0.000251036,-3.81e-07,0.000303599,-2.09e-06
0.83,-37.61951772,151.2563421,-13.51616192,-0.000197087,2.29e-06,-0.000931944,3.65e-05,-0.018322567,0.000102841,-38.052037010410785,-1.1050666460068665,-5.965276815505195,-0.000221654,6.42e-06,-0.000250183,-4.1e-07,0.000326703,-2.25e-06
0.84,-37.71782877,166.4335683,-12.02188942,-0.000199228,2.3e-06,-0.00092963,3.67e-05,-0.018440014,0.0001035,-38.15447995041078,-0.8662627643055032,-5.937177332505195,-0.000224071,6.46e-06,-0.000245082,-3.98e-07,0.000317894,-2.19e-06
