"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
170.57,0,,14.2613,13.8081,1.66216,-6.85571,-50.7562,-6.59416,13.0608,9.63339,8.25021,-0.894584,-3.24423,-12.4729,49.26,6.52562,5.34181,5.34181,-2.81749,2.81749,12.9596,-12.9596,-1.12028,2.65539,3.77101,7.92813,12.3232,-14.4165,-34.1729,5.85407,-26.3709,-8.79686,242.68,-2.93252,170.433,395.016,10.7305,65.3464,-10.7825,170.369,2.44746,-38.5593,-1.4642,11.2261,49.3273,-45.4006,33.645,1.04207,-9.30737,-0.403116,-0.598815,-0.363928,-0.698686,-0.256903,-0.64357,-0.687531,0.128241,-0.714204,0.0905185,-0.0814239,0.933934,-0.688379,-0.0937533,-0.717494,0.208752,-0.715006,0.0363179,0.109014,-0.0142218,0.703766
170.58,0,,14.8369,13.8335,1.7015,-6.67237,-50.5279,-6.59141,14.012,9.6227,8.67471,-0.576835,-3.20161,-12.4797,48.7121,6.62123,5.37737,5.37737,-2.7417,2.7417,13.1638,-13.1638,-1.01526,2.35109,3.95215,7.7233,12.2823,-14.4801,-25.8852,-11.7252,-14.6546,4.89475,250.504,2.43658,267.603,364.764,26.8433,68.7521,-24.9236,224.143,17.5772,-5.84435,2.92841,17.5937,68.368,-46.8886,32.1272,-14.589,4.85602,-0.40196,-0.599429,-0.363992,-0.697124,-0.260513,-0.64463,-0.685596,0.129099,-0.715628,0.0897237,-0.0833759,0.933554,-0.688764,-0.0946715,-0.716964,0.209614,-0.715396,0.0366854,0.106206,-0.0144659,0.703826
170.59,0,,15.4536,13.8614,1.77288,-6.52281,-50.391,-6.53368,15.0409,9.60773,8.64991,-0.238311,-3.17604,-12.4839,48.081,6.68682,5.41256,5.41256,-2.69549,2.69549,13.3745,-13.3745,-0.546138,2.02096,4.44617,7.51613,12.0967,-14.5263,-13.1749,-26.8538,-13.1854,-8.31765,280.282,1.9622,364.26,261.703,-33.6904,-52.788,22.9792,695.407,4.89491,35.6371,20.0175,3.90154,68.368,-40.0438,-2.02376,-9.20495,-0.539558,-0.40078,-0.60001,-0.36379,-0.695533,-0.26393,-0.645909,-0.6835,0.130621,-0.71701,0.0885062,-0.0899712,0.932612,-0.689102,-0.0954001,-0.716508,0.210284,-0.715758,0.0369294,0.103216,-0.0145882,0.703895
170.6,0,,16.0967,13.8703,1.83876,-6.39139,-50.3453,-6.38384,16.1475,9.58421,7.68789,0.0207759,-3.0567,-12.5154,47.2734,6.69238,5.43446,5.43446,-2.64331,2.64331,13.5873,-13.5873,0.616156,1.76547,5.43421,7.37414,11.6901,-14.5475,12.6917,-14.1587,-24.4181,-25.3979,300.291,-9.27193,431.646,197.238,-175.776,37.6753,-174.288,52.7971,-28.3206,64.9261,11.2322,-3.90154,-13.2095,-66.8939,-6.32425,-18.5836,31.699,-0.399437,-0.600804,-0.363363,-0.693936,-0.2671,-0.647426,-0.6811,0.132631,-0.718515,0.0870416,-0.104743,0.930539,-0.689301,-0.0961957,-0.716157,0.21058,-0.716154,0.0368667,0.100959,-0.0145274,0.703968
170.61,0,,16.7956,13.8728,1.84883,-6.28839,-50.2895,-6.17627,17.4093,9.55641,7.03322,0.197982,-2.88452,-12.5671,46.4779,6.66458,5.46032,5.46032,-2.59145,2.59145,13.7228,-13.7228,1.63141,1.59323,6.21915,7.27056,11.2563,-14.4762,30.7537,-8.78111,-59.5669,5.85316,290.524,-21.9723,425.312,241.235,-280.764,-12.1327,-22.9792,14.177,-42.465,70.3002,26.3757,14.6492,-102.998,-85.9403,5.31237,-3.82092,-6.3398,-0.397974,-0.601661,-0.362754,-0.692652,-0.270212,-0.648766,-0.678442,0.134651,-0.720131,0.086246,-0.11707,0.928564,-0.689367,-0.0969899,-0.715919,0.21076,-0.716632,0.036622,0.0994314,-0.0145271,0.704077
170.62,0,,17.6016,13.9198,1.82183,-6.21876,-50.1424,-5.9632,18.8178,9.52861,6.47502,0.365411,-2.75155,-12.6596,45.6541,6.66125,5.52173,5.52173,-2.55588,2.55588,13.7615,-13.7615,2.61166,1.42386,7.01507,7.19607,10.8142,-14.2836,47.8495,10.2616,-76.6577,69.348,274.402,-21.002,418.922,376.949,-267.581,-99.616,-190.02,-109.261,-35.6311,56.6298,30.7683,24.403,-153.337,-114.741,-18.4668,-11.6364,-42.4902,-0.396387,-0.602333,-0.362083,-0.691576,-0.273456,-0.649947,-0.675651,0.136119,-0.721797,0.0853933,-0.129097,0.926752,-0.689296,-0.0982092,-0.715725,0.211014,-0.717155,0.0365017,0.0980246,-0.0142825,0.704117
170.63,0,,18.5076,13.996,1.80628,-6.16726,-49.9572,-5.78038,20.276,9.49867,5.84792,0.505953,-2.56231,-12.7632,44.9398,6.7135,5.6133,5.6133,-2.51234,2.51234,13.669,-13.669,3.63392,1.28033,7.81648,7.14254,10.4294,-13.9406,36.124,59.5788,-59.0834,118.159,248.512,3.42846,402.318,480.01,-237.808,-338.865,-984.393,-390.112,-8.80449,50.2816,42.9633,43.4691,-125.49,-104.987,-21.5024,-14.2416,13.2192,-0.394545,-0.602987,-0.36134,-0.69023,-0.276995,-0.651348,-0.672746,0.136966,-0.723528,0.0849626,-0.141177,0.925372,-0.689063,-0.0997368,-0.715615,0.211624,-0.717581,0.0368069,0.096868,-0.0139778,0.7042
170.64,0,,19.528,14.1039,1.84471,-6.15407,-49.8634,-5.64429,21.7816,9.49867,4.23812,0.593945,-0.366532,-12.8277,44.8687,6.8091,5.71493,5.71493,-2.48541,2.48541,13.5744,-13.5744,5.30034,1.19708,7.2017,7.08667,10.7351,-13.6092,13.6766,116.214,-40.5233,97.6554,213.85,-23.4386,374.531,577.608,-237.808,-315.025,-634.226,774.358,-6.83381,43.4632,46.8746,33.6784,-71.7596,-82.9974,8.85394,4.34196,-15.6472,-0.392781,-0.603485,-0.360614,-0.688398,-0.281207,-0.652995,-0.669598,0.138192,-0.725327,0.0971125,-0.149362,0.924919,-0.688638,-0.101629,-0.715617,0.212467,-0.717846,0.0373541,0.0961382,-0.0139782,0.704281
170.65,0,,20.638,14.2016,1.96686,-6.16314,-49.8989,-5.58518,23.3088,9.49226,0.418988,0.699046,4.15119,-12.9015,45.0737,6.93917,5.80687,5.80687,-2.47444,2.47444,13.5164,-13.5164,8.54216,1.09373,5.49459,7.03779,11.5619,-13.3606,13.1749,142.097,-32.229,77.6314,200.668,-55.6747,356.957,459.962,-87.411,1153.89,-442.438,877.019,-3.4328,45.4113,60.0524,39.0522,-11.2459,-78.1366,-3.79455,-5.38403,-21.987,-0.391328,-0.603808,-0.360014,-0.685903,-0.286276,-0.654895,-0.666427,0.14039,-0.726917,0.123356,-0.162298,0.923129,-0.688194,-0.103641,-0.7156,0.213509,-0.718044,0.0381484,0.0952793,-0.0138555,0.704371
170.66,0,,21.82,14.3108,2.14118,-6.22411,-49.9902,-5.57555,24.9071,9.49867,-0.715312,0.795593,5.24567,-12.9542,45.5972,7.0659,5.90203,5.90203,-2.47943,2.47943,13.4562,-13.4562,9.9005,1.00187,5.61535,6.97261,12.4597,-13.166,38.5769,142.097,-35.1487,144.515,202.138,-65.917,349.14,125.99,-69.3225,752.441,-307.568,-595.19,0.98534,32.7149,65.4278,17.0784,23.9199,-78.1366,-12.1426,-14.2416,-0.944226,-0.390221,-0.603857,-0.359641,-0.682976,-0.292198,-0.656729,-0.663611,0.143563,-0.727884,0.129161,-0.172377,0.924025,-0.687543,-0.10578,-0.715743,0.214551,-0.718241,0.0389426,0.0944242,-0.0139164,0.704489
170.67,0,,23.0489,14.3984,2.34432,-6.29086,-50.1424,-5.56456,26.5745,9.49439,0.656048,0.85792,4.29268,-13.0229,46.6037,7.16596,5.99001,5.99001,-2.48907,2.48907,13.3831,-13.3831,9.53641,0.944457,6.29051,6.94352,13.4802,-12.9926,41.996,101.561,-24.4181,198.734,173.356,-71.782,415.042,-133.313,-183.1,-468.28,159.617,-144.948,-1.46212,14.6445,71.7861,-3.90154,21.4803,-96.687,12.6485,4.86299,-8.36314,-0.389318,-0.603815,-0.359347,-0.679741,-0.298669,-0.658499,-0.661463,0.14765,-0.727933,0.123843,-0.173222,0.92794,-0.686949,-0.107858,-0.715821,0.21541,-0.718441,0.0395539,0.0939403,-0.013856,0.704583
170.68,0,,24.2838,14.4873,2.55935,-6.37985,-50.1348,-5.56868,28.2979,9.48156,0.650535,0.910471,4.7973,-13.1265,47.3627,7.25823,6.08877,6.08877,-2.50835,2.50835,13.3079,-13.3079,10.2086,0.904267,6.22464,6.93886,14.6099,-12.8423,46.3815,70.3169,-27.84,192.88,152.825,-64.9467,411.105,-237.334,-206.537,-285.225,545.491,501.573,1.93889,1.94812,61.5166,5.37382,-0.952034,-81.5424,7.33612,-29.699,41.5459,-0.388515,-0.603617,-0.359155,-0.676409,-0.305184,-0.660173,-0.659636,0.150946,-0.727571,0.127691,-0.177193,0.930279,-0.686302,-0.109745,-0.715966,0.216318,-0.718721,0.0401019,0.093634,-0.0136728,0.704696
170.69,0,,25.4892,14.552,2.74693,-6.4812,-49.9318,-5.57555,30.0796,9.45377,-0.461714,0.85792,6.21058,-13.2512,47.6488,7.32493,6.17675,6.17675,-2.51599,2.51599,13.2326,-13.2326,11.6299,0.953069,5.90627,6.99938,15.636,-12.7248,24.4172,20.9998,-41.0069,157.214,138.173,-35.643,347.143,-87.3945,-100.594,-37.6753,675.235,505.973,15.1297,-18.0705,69.339,9.75385,-16.1251,-68.8448,45.5346,-2.4315,64.4771,-0.38784,-0.603429,-0.359091,-0.673209,-0.311364,-0.661733,-0.657331,0.152842,-0.727648,0.136117,-0.185193,0.930847,-0.68557,-0.111454,-0.71621,0.216985,-0.71901,0.0405893,0.0941829,-0.0133675,0.704815
170.7,0,,26.6785,14.5851,2.88922,-6.57061,-49.6782,-5.59067,31.9153,9.43024,-1.3052,0.810258,7.50453,-13.3989,47.6752,7.3983,6.24786,6.24786,-2.50469,2.50469,13.1445,-13.1445,12.8622,1.01335,5.56595,7.08783,16.441,-12.5957,9.7743,-1.46352,-59.5669,118.638,142.583,-4.87316,250.999,128.391,2.45269,-121.54,879.396,574.658,7.81915,-39.5669,70.8032,21.9738,6.84275,-56.1472,48.3172,6.77346,28.3268,-0.387108,-0.603429,-0.358969,-0.670153,-0.31704,-0.663317,-0.654701,0.154123,-0.727947,0.143685,-0.191722,0.931084,-0.684853,-0.112921,-0.716471,0.217845,-0.71921,0.0410786,0.0949134,-0.0128789,0.704984
