"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
96.85,0,,16.7866,3.45129,2.40906,-5.00421,-6.02131,-6.03268,30.3955,8.06026,13.2576,-4.16782,-0.319163,-7.5403,-2.16666,16.9703,-0.162875,-0.162875,0.000609357,-0.000609357,-10.5251,10.5251,0.476097,10.7132,0.192266,-1.71941,-17.8763,19.7337,81.5268,74.2132,-24.4101,311.513,-208.504,103.017,219.702,413.072,79.1262,-10.1899,-5.88504,8.25916,54.2011,-52.725,-22.4628,22.4578,90.8054,55.1644,105.558,32.7125,609.819,-0.351703,-0.521817,-0.388997,0.675684,0.0259409,0.732449,-0.716948,-0.0424211,-0.65237,0.229682,-0.239753,0.709492,0.255632,-0.718554,0.274188,0.233042,-0.680814,0.158026,0.335103,-0.15864,0.835805
96.86,0,,18.3985,3.59945,2.75011,-5.20169,-6.0383,-5.66443,32.8901,8.09893,14.2343,-6.43244,-0.388546,-7.42308,-2.28992,16.178,-0.00501154,-0.00501154,-0.152339,0.152339,-10.8327,10.8327,0.511627,12.9751,0.170293,-2.20831,-18.1415,19.2081,96.6603,84.4714,-24.4101,253.923,-387.244,41.9776,162.608,320.83,114.758,-2.96435,43.4372,37.6489,19.0376,33.6868,3.90163,11.7129,8.79529,50.7797,320.827,-7.77328,785.115,-0.351999,-0.520582,-0.388194,0.668664,0.0288707,0.737514,-0.717502,-0.0375994,-0.649383,0.230237,-0.239454,0.709879,0.25594,-0.7185,0.274679,0.231823,-0.682225,0.15577,0.349139,-0.168221,0.833233
96.87,0,,19.9111,3.73536,3.13967,-5.35767,-6.36124,-5.18369,35.2001,8.1956,15.1184,-8.11705,-0.642951,-7.55522,-2.13379,14.9107,0.119024,0.119024,-0.276039,0.276039,-11.1953,11.1953,0.540051,14.6327,0.208746,-2.44452,-18.445,18.4415,124.017,97.6346,-46.8782,126.441,-477.064,65.4437,100.073,143.071,101.066,0.926359,10.2288,53.2019,6.85352,81.0677,17.5763,56.1445,-124.501,-4.87792,66.4383,-72.2267,412.128,-0.352322,-0.519571,-0.387603,0.661584,0.0328381,0.742581,-0.718898,-0.0314953,-0.646385,0.230547,-0.239581,0.710259,0.255812,-0.718543,0.274978,0.230063,-0.683657,0.15248,0.360433,-0.173655,0.832689
96.88,0,,21.2546,3.84788,3.41043,-5.4662,-6.8666,-4.72304,37.2444,8.35028,15.8535,-9.0876,-1.06388,-8.67625,-1.7914,13.1753,0.207979,0.207979,-0.353427,0.353427,-11.6237,11.6237,0.604004,15.5309,0.285653,-1.64799,-18.8524,17.3683,137.21,91.7792,-65.9103,90.8222,-542.983,92.2818,45.423,-49.7724,-18.0907,0.926359,-44.418,30.7841,-16.1259,69.3299,14.6406,79.5703,-230.936,-83.0069,32.1264,443.833,664.553,-0.352495,-0.518886,-0.387226,0.655558,0.037661,0.746689,-0.721113,-0.0247207,-0.643288,0.230788,-0.240127,0.710431,0.254836,-0.718974,0.274491,0.228652,-0.684796,0.148996,0.372701,-0.169382,0.833908
96.89,0,,22.4449,3.9203,3.57739,-5.52959,-7.37196,-4.43781,39.0332,8.48562,16.4499,-9.56559,-1.59581,-9.95925,-1.36957,11.2755,0.266865,0.266865,-0.38877,0.38877,-12.1291,12.1291,0.675063,15.8576,0.351573,-0.604264,-19.298,16.1281,146.989,80.0685,-61.0402,161.632,-528.326,35.1648,27.8374,-177.278,-121.576,27.7908,-40.4946,12.6569,-49.3185,-1.95631,-26.8569,65.4374,-286.144,-162.588,239.309,1369.61,1232.41,-0.352627,-0.518412,-0.387176,0.650541,0.0430927,0.749911,-0.724097,-0.0182504,-0.639803,0.231218,-0.240557,0.710563,0.252948,-0.719839,0.272908,0.227918,-0.685525,0.146493,0.382276,-0.160955,0.837065
96.9,0,,23.5345,3.93812,3.67228,-5.55415,-7.77875,-4.32934,40.601,8.59303,16.8868,-9.89494,-2.15551,-9.92515,-0.972394,10.4489,0.28215,0.28215,-0.371708,0.371708,-12.7334,12.7334,0.746122,16.2087,0.390026,-0.950342,-19.8121,15.8927,154.788,53.2428,-70.8102,227.545,-418.963,-39.0529,39.0354,-162.096,-150.884,28.7171,-18.4958,-6.32845,-60.0691,-110.365,-92.7679,46.3676,-270.99,-155.271,287.608,779.811,1327.64,-0.352631,-0.518295,-0.387424,0.646032,0.0491361,0.752667,-0.727395,-0.0130012,-0.636204,0.231768,-0.240741,0.710747,0.250375,-0.721155,0.270395,0.228036,-0.686183,0.144964,0.38363,-0.162242,0.839103
96.91,0,,24.5746,3.91138,3.72151,-5.52295,-8.02803,-4.35076,41.9618,8.6897,17.1695,-9.53062,-2.6967,-9.36037,-0.701219,10.1132,0.274131,0.274131,-0.283656,0.283656,-13.431,13.431,0.788758,15.9719,0.428479,-1.78533,-20.4327,16.2404,147.959,23.9207,-82.0443,216.284,-290.057,-57.117,31.2283,-55.6336,-113.768,21.4915,-26.3425,6.32845,-65.9371,-208.992,-161.141,53.7245,-157.721,-172.372,-875.937,498.03,500.456,-0.352266,-0.51848,-0.388036,0.641749,0.0559104,0.755217,-0.730487,-0.00952172,-0.632889,0.232069,-0.240919,0.710917,0.247871,-0.722617,0.267464,0.228952,-0.686611,0.144049,0.377951,-0.164804,0.842089
96.92,0,,25.5927,3.87908,3.71081,-5.44396,-8.10848,-4.44852,43.1605,8.80141,17.3135,-9.02931,-3.187,-8.90216,-0.597132,9.98081,0.246317,0.246317,-0.136191,0.136191,-14.2275,14.2275,0.810076,15.6453,0.488906,-2.50495,-21.1956,16.8345,143.535,0.998587,-60.5323,155.756,-132.288,-41.0141,69.3174,101.563,-79.5661,3.33489,-51.7042,-2.46702,-61.0546,-257.327,-174.797,43.9476,-30.2487,-117.18,-980.402,350.553,515.63,-0.35152,-0.518948,-0.388875,0.637726,0.0635406,0.757482,-0.733134,-0.00781294,-0.63004,0.232065,-0.241281,0.710965,0.245871,-0.72394,0.264977,0.230421,-0.686808,0.143563,0.372384,-0.166325,0.844624
96.93,0,,26.6124,3.86125,3.66372,-5.33245,-8.01443,-4.51146,44.2252,8.92386,17.3135,-8.51343,-3.5478,-8.63149,-0.613567,10.0379,0.213742,0.213742,0.0594123,-0.0594123,-15.1504,15.1504,0.838499,15.3676,0.516372,-3.06527,-22.0787,17.7845,100.579,-11.7107,-17.5681,89.3534,10.7484,-9.77182,65.4533,223.591,-11.7122,8.33723,-21.9988,-5.36309,-34.178,-271.975,-163.565,9.29289,40.0542,-103.998,-922.269,43.9406,420.919,-0.350419,-0.519555,-0.389911,0.633751,0.0714748,0.75961,-0.735219,-0.00787407,-0.627729,0.232259,-0.241354,0.711062,0.244639,-0.725006,0.263256,0.231762,-0.686923,0.14289,0.368061,-0.167062,0.845991
96.94,0,,27.5751,3.82226,3.52209,-5.1831,-7.78781,-4.47128,45.1703,9.0635,17.2055,-7.91886,-3.76057,-8.66559,-0.750524,10.079,0.129548,0.129548,0.282742,-0.282742,-16.2161,16.2161,0.866923,15.041,0.527359,-3.3619,-23.156,18.9809,34.6518,-16.1136,-18.5541,16.5855,107.409,11.7331,-27.3642,279.321,82.0405,-5.9287,-14.1521,-8.25916,-16.1259,-248.07,-141.595,0.484004,67.8664,-42.4763,-921.832,75.6815,331.021,-0.349014,-0.520653,-0.390764,0.630038,0.0792889,0.761393,-0.736557,-0.0094,-0.626138,0.232491,-0.241281,0.711146,0.243978,-0.725829,0.262229,0.232806,-0.687064,0.141857,0.36501,-0.165659,0.846909
