"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
72.84,0,,8.65167,2.99073,0.32783,-5.59117,-2.43563,-9.44139,16.5956,4.10236,10.5268,1.76749,0.685435,-7.94788,5.114,12.9,2.45038,2.45038,1.75006,-1.75006,-6.91052,6.91052,0.0786051,2.24331,-0.00549333,1.58757,-4.20253,10.1644,-103.997,34.1614,42.467,209.941,599.637,204.601,496.589,348.61,-83.4669,-29.7704,41.5368,31.6719,10.7369,-67.4149,-15.1505,-25.4029,136.744,66.9068,-201.091,329.543,418.892,-0.334127,-0.532198,-0.381981,0.705965,0.0153816,0.70804,-0.714777,-0.0752622,-0.664541,0.224562,-0.246536,0.692243,0.306602,-0.731071,0.271321,0.219008,-0.681134,0.146005,0.278335,-0.12226,0.852583
72.85,0,,10.2864,3.03292,0.264038,-5.67255,-2.03298,-9.44139,19.3733,3.89714,11.7775,0.329099,0.857417,-7.64305,4.69648,13.1825,2.5996,2.5996,1.70538,-1.70538,-7.51478,7.51478,0.110047,3.65246,-0.0714133,1.12613,-4.82594,10.9019,-103.997,56.6371,35.1548,360.827,472.653,181.629,547.852,311.973,-128.924,-5.95409,15.0912,75.6524,46.3641,-91.8191,-8.78727,17.5827,86.9242,55.1859,-210.932,55.2626,409.215,-0.333089,-0.531588,-0.3807,0.701877,0.0180673,0.711765,-0.714928,-0.0713524,-0.661215,0.225361,-0.245687,0.693174,0.307578,-0.730887,0.270588,0.220104,-0.68198,0.147285,0.286455,-0.130318,0.850271
72.86,0,,12.0237,3.09563,0.275978,-5.79241,-1.53153,-9.31781,22.2572,3.70013,13.0215,-1.6001,0.957116,-7.40935,4.11195,13.2605,2.76704,2.76704,1.62951,-1.62951,-8.24538,8.24538,0.165071,5.54752,-0.0384533,0.708637,-5.63527,11.6203,-73.2439,64.4418,4.8748,448.724,305.699,173.35,534.69,324.227,-143.044,19.9462,-27.8829,42.9297,78.1411,-104.021,-10.2518,81.0645,2.41275,-30.279,-220.282,29.7568,354.544,-0.332237,-0.530737,-0.379237,0.696875,0.0197154,0.716041,-0.714875,-0.0679961,-0.65756,0.226022,-0.245737,0.693753,0.308613,-0.730636,0.269975,0.220591,-0.683014,0.147712,0.298667,-0.139292,0.846986
72.87,0,,13.8544,3.15834,0.377295,-5.9545,-0.955972,-9.16457,25.2318,3.49901,14.3151,-3.96905,1.04435,-7.3809,3.40596,12.8927,2.96466,2.96466,1.53556,-1.53556,-9.10782,9.10782,0.196513,7.85562,0.0219733,0.455945,-6.6196,11.9946,-16.0983,64.9536,-29.3113,453.134,99.5921,182.632,444.833,401.377,-67.3812,33.3429,-26.3019,29.2703,62.5237,-74.6957,-24.8973,90.827,-72.2521,-100.116,-179.276,499.027,757.852,-0.331558,-0.529565,-0.377764,0.690933,0.0212407,0.720841,-0.714644,-0.0649454,-0.653605,0.226331,-0.246107,0.69413,0.309833,-0.730391,0.269242,0.220897,-0.683993,0.147773,0.315323,-0.147285,0.843731
72.88,0,,15.7712,3.23929,0.591186,-6.18809,-0.387823,-9.05212,28.2461,3.32252,15.6153,-6.63305,1.15402,-6.70622,2.71009,12.6711,3.17539,3.17539,1.44975,-1.44975,-10.1625,10.1625,0.196513,10.5039,0.0384533,-0.543838,-7.75431,12.5955,35.1468,62.0108,-53.2165,377.453,-172.388,173.35,327.662,475.15,28.8351,18.4577,-40.5308,4.35301,38.0673,-61.5498,-24.3923,82.4956,-97.1621,-160.636,170.911,-19.0369,889.188,-0.331073,-0.528166,-0.376485,0.683934,0.0238049,0.726295,-0.714487,-0.0620125,-0.649423,0.226453,-0.246047,0.694559,0.311051,-0.730445,0.268568,0.221269,-0.684928,0.147839,0.33071,-0.16096,0.839715
72.89,0,,17.7648,3.32139,0.970528,-6.52553,-0.00741064,-8.96561,31.2583,3.1645,16.8495,-9.01901,1.23378,-6.31604,2.15087,12.0866,3.39579,3.39579,1.387,-1.387,-11.4644,11.4644,0.196513,12.8524,0.0384533,-1.36234,-9.13237,13.0599,90.3363,74.72,-60.06,286.635,-416.009,92.2839,277.389,495.656,185.045,3.87016,-65.9703,13.6595,18.5456,-26.8311,-0.505016,55.6616,-71.7956,-137.683,496.167,43.9883,491.158,-0.330645,-0.52664,-0.375325,0.67569,0.0277112,0.732639,-0.714637,-0.0585968,-0.645236,0.226632,-0.245859,0.694913,0.312396,-0.731,0.267838,0.221689,-0.685697,0.147955,0.345473,-0.170967,0.836948
72.9,0,,19.6906,3.3841,1.46586,-6.95866,0.0839872,-8.91494,34.1422,3.02495,17.9945,-10.6617,1.15652,-7.03137,1.84721,10.8373,3.59598,3.59598,1.3675,-1.3675,-13.1179,13.1179,0.220094,14.3993,0.0384533,-1.19754,-10.8276,13.2375,115.734,90.3294,-76.1843,204.578,-551.776,64.9392,256.805,356.988,208.518,15.4806,-23.8585,0,-70.8204,-1.95503,-10.2518,18.0427,-20.4758,-64.4649,243.245,211.44,731.459,-0.330396,-0.525106,-0.374465,0.666909,0.0323505,0.739301,-0.715811,-0.05402,-0.640794,0.226944,-0.245744,0.695115,0.313611,-0.732207,0.266856,0.222061,-0.686448,0.14802,0.360121,-0.169745,0.837067
72.91,0,,21.4399,3.50724,1.953,-7.20178,-0.180326,-8.82473,36.7496,2.95928,19.0241,-11.7114,0.919729,-8.60631,1.91807,9.18614,3.75915,3.75915,1.42706,-1.42706,-15.2163,15.2163,0.251536,15.3468,0.00549333,-0.346079,-12.9193,13.5407,130.871,108.412,-115.245,137.716,-598.669,115.722,194.361,154.799,92.7609,1.48852,23.4274,3.00208,-63.4998,-29.7974,-108.376,-9.7625,28.8226,-10.2558,270.964,1121.52,1087.89,-0.330091,-0.523763,-0.373916,0.658536,0.037294,0.745514,-0.718236,-0.0480981,-0.636262,0.227429,-0.245253,0.695472,0.314106,-0.732772,0.266313,0.222238,-0.687283,0.147589,0.374283,-0.160102,0.838901
72.92,0,,22.9555,3.62354,2.34667,-7.35569,-0.668193,-8.65914,39.0408,2.91824,19.9844,-12.3894,0.473573,-9.60411,2.24196,7.68109,3.87419,3.87419,1.58732,-1.58732,-17.9904,17.9904,0.267257,16.0109,-0.04944,-0.302132,-15.659,14.7508,149.887,125.983,-98.1521,173.829,-601.051,122.066,144.979,48.3903,-36.6396,-4.76327,53.1786,34.2237,-18.5456,10.719,33.6846,-1.94228,26.8663,40.5348,304.261,1339.42,1254.92,-0.329676,-0.522623,-0.373686,0.651446,0.043092,0.75063,-0.721981,-0.041263,-0.631276,0.227857,-0.244582,0.695902,0.31465,-0.733064,0.266003,0.221996,-0.688143,0.14643,0.382653,-0.153818,0.841361
72.93,0,,24.3429,3.70335,2.62674,-7.44559,-1.16965,-8.39715,41.0865,2.90182,20.8127,-12.8093,-0.189429,-9.63256,2.6114,6.87499,3.9095,3.9095,1.88833,-1.88833,-21.7533,21.7533,0.290839,16.7074,-0.03296,-1.60405,-19.3858,17.7173,163.099,112.805,-59.56,241.703,-538.08,18.5643,98.6647,-2.50079,-72.7431,-26.7934,18.1095,50.7351,17.0815,30.2693,40.0478,69.3597,-25.8882,11.7209,-106.942,804.727,1083.99,-0.329054,-0.52175,-0.373917,0.645286,0.0501726,0.754909,-0.726585,-0.0348522,-0.625874,0.228161,-0.244398,0.696204,0.314896,-0.733557,0.265211,0.221265,-0.689004,0.144295,0.385029,-0.155403,0.842449
