"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
78.04,0,,20.9191,4.49402,2.0773,-3.215,-4.45989,-2.69964,35.5063,9.28047,15.0979,-6.67143,-2.00286,-10.7158,-4.3114,5.93916,1.5864,1.5864,1.54106,-1.54106,-1.25796,1.25796,1.1938,13.5957,0.642718,2.10943,-9.32638,2.4366,113.268,132.313,-59.5762,149.881,-607.924,-14.6577,151.883,-93.7796,-99.6364,-0.555815,11.2096,34.2165,-58.5909,-104.973,-106.935,32.7187,-75.176,-69.8256,434.472,970.688,1132.78,-0.34421,-0.512255,-0.410805,0.658041,0.00732445,0.744348,-0.724214,-0.0245982,-0.640531,0.227974,-0.250436,0.694908,0.233656,-0.726727,0.24562,0.217667,-0.691761,0.113472,0.368243,-0.154121,0.848065
78.05,0,,22.0262,4.48288,2.32987,-3.24321,-4.65365,-2.49342,37.2079,9.29981,15.6736,-6.925,-2.54868,-9.96351,-3.9964,5.45279,1.64855,1.64855,1.61023,-1.61023,-1.23598,1.23598,1.24354,13.8897,0.697652,1.2305,-9.08304,2.06974,115.247,100.585,-7.79809,189.478,-508.783,-120.599,88.4013,-28.3453,-87.8692,9.8194,-18.0755,29.2825,-14.6477,-134.27,-103.507,110.353,-61.0322,-48.8341,-388.577,368.691,644.041,-0.344084,-0.511822,-0.41196,0.653286,0.0147101,0.747956,-0.727151,-0.0192882,-0.636692,0.228337,-0.250798,0.695447,0.23176,-0.728117,0.242868,0.216564,-0.692785,0.110846,0.364709,-0.161021,0.849605
78.06,0,,23.0925,4.4127,2.52822,-3.20803,-4.75676,-2.28318,38.7574,9.32773,16.0797,-6.63937,-3.08524,-9.37742,-3.75262,4.96186,1.65857,1.65857,1.74124,-1.74124,-1.28542,1.28542,1.29328,13.661,0.763572,0.494398,-8.92172,1.8562,111.833,55.1946,-5.85604,160.652,-346.204,-158.689,48.8139,99.6408,-51.2478,20.5652,-34.6096,15.1239,8.28694,-154.31,-98.1468,101.06,-59.0711,-79.5814,-984.336,383.266,505.374,-0.343836,-0.511878,-0.413299,0.648727,0.023256,0.751334,-0.729906,-0.0153208,-0.63322,0.228587,-0.251293,0.695893,0.230113,-0.729404,0.240246,0.215464,-0.693635,0.108037,0.359031,-0.164317,0.85186
78.07,0,,24.0947,4.28904,2.6784,-3.10448,-4.75903,-2.12249,40.1122,9.34492,16.3162,-6.32168,-3.53855,-9.04282,-3.53623,4.63533,1.62249,1.62249,1.93501,-1.93501,-1.41177,1.41177,1.33591,13.4242,0.807518,0.0274665,-8.80415,1.8562,127.936,-1.45249,-20.4961,136.723,-144.014,-117.193,70.3425,218.787,-15.1214,26.3086,-19.4767,-0.965356,19.5303,-169.436,-110.344,46.3676,-49.8004,-72.7578,-1068.91,265.155,443.838,-0.343468,-0.512364,-0.414884,0.64439,0.0325338,0.754443,-0.732324,-0.0128178,-0.630331,0.229014,-0.251537,0.696441,0.22871,-0.730564,0.237743,0.214491,-0.694259,0.105476,0.354935,-0.165962,0.853186
78.08,0,,25.0545,4.13976,2.77294,-2.94186,-4.68538,-1.98992,41.2905,9.34922,16.4139,-5.99817,-3.86233,-8.98101,-3.34175,4.48691,1.56761,1.56761,2.15499,-2.15499,-1.61502,1.61502,1.37144,13.2119,0.802025,-0.170293,-8.74673,2.08617,109.388,-33.2257,-30.7741,89.3534,39.0852,-54.1923,21.4497,275.381,16.6061,25.938,12.7509,-9.22452,-6.36078,-183.082,-121.102,5.37245,-24.4248,-32.2272,-969.693,143.05,404.802,-0.342917,-0.513093,-0.416408,0.640342,0.0419326,0.757167,-0.734291,-0.0116583,-0.628084,0.229631,-0.2513,0.697193,0.22749,-0.731483,0.235303,0.213761,-0.694755,0.103218,0.352616,-0.166084,0.853555
78.09,0,,25.9632,3.94926,2.79541,-2.73741,-4.56527,-1.82788,42.3188,9.35351,16.4036,-5.59013,-4.13987,-9.14085,-3.21575,4.43211,1.47214,1.47214,2.39843,-2.39843,-1.89517,1.89517,1.38566,12.9343,0.818505,-0.181279,-8.82602,2.51873,63.483,-56.6471,-20.4961,19.5231,124.997,-5.84933,-63.0086,244.634,52.7325,2.96435,44.9785,24.8847,5.37531,-179.217,-113.28,26.3782,-7.3096,-12.6881,-846.651,69.3117,479.943,-0.342176,-0.51424,-0.417679,0.636456,0.0509067,0.759572,-0.735861,-0.011658,-0.626422,0.229933,-0.251175,0.697917,0.226643,-0.73218,0.233113,0.213205,-0.695281,0.100956,0.351157,-0.164744,0.853447
78.1,0,,26.8662,3.74094,2.72977,-2.52667,-4.41797,-1.58015,43.2112,9.36855,16.2185,-5.03345,-4.4174,-9.4307,-3.15823,4.35447,1.35938,1.35938,2.62937,-2.62937,-2.24674,2.24674,1.42119,12.5423,0.884425,-0.0878929,-9.07757,3.11009,20.4884,-47.3421,-30.7741,-19.5231,157.243,28.3176,-61.0371,210.908,46.8489,-34.09,35.5905,52.7728,15.6332,-157.221,-85.9306,57.1125,10.7564,18.0593,-728.417,14.143,529.759,-0.341268,-0.515594,-0.418482,0.632778,0.0592065,0.761567,-0.737212,-0.0128179,-0.625208,0.230173,-0.251476,0.698455,0.226334,-0.732596,0.23134,0.212652,-0.695759,0.0984524,0.349692,-0.161936,0.853385
78.11,0,,27.791,3.54598,2.61205,-2.30032,-4.27746,-1.22662,43.9595,9.40507,15.8124,-4.29315,-4.72269,-9.71416,-3.13357,4.1581,1.24562,1.24562,2.84661,-2.84661,-2.6862,2.6862,1.52777,11.9626,1.03824,0,-9.49044,3.80548,-10.2442,-21.0157,-40.5142,-27.8464,161.602,37.126,-48.3408,208.986,49.3233,15.1923,54.2264,24.8847,21.0085,-118.667,-34.1866,50.7721,9.27071,47.3542,-722.08,-1.94332,514.165,-0.340182,-0.517018,-0.418925,0.629013,0.0664721,0.763422,-0.738265,-0.0150156,-0.624611,0.230543,-0.2527,0.698708,0.226447,-0.732688,0.230048,0.211866,-0.696087,0.0955258,0.347255,-0.158032,0.853824
78.12,0,,28.7493,3.40338,2.46507,-2.07297,-4.17435,-0.749901,44.566,9.50174,15.247,-3.38381,-5.05573,-9.94859,-3.09249,3.78133,1.14288,1.14288,3.03399,-3.03399,-3.21356,3.21356,1.64858,11.2358,1.26896,0.071413,-10.0427,4.56657,-71.787,7.80714,-29.7881,-26.8672,172.877,56.1536,-54.1764,251.456,74.7273,31.3109,18.4958,-3.43238,9.76515,-79.5886,0,-12.6809,-41.0051,31.2406,-698.258,1.94332,511.758,-0.339013,-0.518346,-0.419035,0.62508,0.0725731,0.765222,-0.739135,-0.0180068,-0.624563,0.230669,-0.254414,0.698966,0.226635,-0.732519,0.229259,0.210763,-0.696196,0.0919838,0.34382,-0.153202,0.854881
78.13,0,,29.7354,3.28084,2.2867,-1.84397,-4.13469,-0.200866,45.0426,9.62205,14.6301,-2.36371,-5.39802,-10.0956,-3.04592,3.27213,1.04165,1.04165,3.20187,-3.20187,-3.8343,3.8343,1.6841,10.3866,1.52165,0.0549331,-10.7728,5.38516,-118.158,38.5818,-3.40606,-37.0878,153.785,68.8501,-79.5691,287.584,101.561,19.083,26.903,0,21.0085,-61.5046,8.2957,-34.6547,-87.8935,33.2137,-620.018,18.0297,476.595,-0.337792,-0.519629,-0.418914,0.620871,0.0772732,0.767056,-0.739906,-0.0214855,-0.625032,0.229933,-0.256118,0.699198,0.226691,-0.73226,0.228461,0.209489,-0.696344,0.0880807,0.339188,-0.148139,0.856545
