fold,test_subject,n_test_trials,n_test_windows,rmse_N_ground_force_left_vx,rmse_pctbw_ground_force_left_vx,pearson_r_ground_force_left_vx,rmse_N_ground_force_left_vy,rmse_pctbw_ground_force_left_vy,pearson_r_ground_force_left_vy,rmse_N_ground_force_left_vz,rmse_pctbw_ground_force_left_vz,pearson_r_ground_force_left_vz,rmse_N_ground_force_right_vx,rmse_pctbw_ground_force_right_vx,pearson_r_ground_force_right_vx,rmse_N_ground_force_right_vy,rmse_pctbw_ground_force_right_vy,pearson_r_ground_force_right_vy,rmse_N_ground_force_right_vz,rmse_pctbw_ground_force_right_vz,pearson_r_ground_force_right_vz,rmse_N_resultant,rmse_pctbw_resultant,pearson_r_resultant,peak_err_pctbw_ground_force_left_vx,impulse_err_pctbw_s_ground_force_left_vx,peak_lag_frames_ground_force_left_vx,peak_err_pctbw_ground_force_left_vy,impulse_err_pctbw_s_ground_force_left_vy,peak_lag_frames_ground_force_left_vy,peak_err_pctbw_ground_force_left_vz,impulse_err_pctbw_s_ground_force_left_vz,peak_lag_frames_ground_force_left_vz,peak_err_pctbw_ground_force_right_vx,impulse_err_pctbw_s_ground_force_right_vx,peak_lag_frames_ground_force_right_vx,peak_err_pctbw_ground_force_right_vy,impulse_err_pctbw_s_ground_force_right_vy,peak_lag_frames_ground_force_right_vy,peak_err_pctbw_ground_force_right_vz,impulse_err_pctbw_s_ground_force_right_vz,peak_lag_frames_ground_force_right_vz
1,z1,26,299,10.425665454197244,1.3372603892740662,0.8508766579365783,179.37394422047134,23.007612466341282,0.9393099102118907,9.905891165735282,1.2705909214710815,0.8980936104657717,15.60125766204344,2.0011138843813616,0.664942479356113,164.5712947357082,21.108933010411427,0.9701433459119114,29.11940515857605,3.7350351638330967,0.8083893519340704,169.30912198117142,21.716636061541916,0.9560853697373737,1.1803895521721948,1.9425180745588344,42.96153846153846,24.8339563681026,18.835531936289208,31.076923076923077,2.579642022582128,0.5952937569836968,5.115384615384615,3.2400011652381684,2.078231311472885,47.76923076923077,27.832805871993006,22.862734750164705,5.0,8.593716987198034,1.2197058620298455,44.76923076923077
2,z2,20,141,6.943406905461147,1.1800507658002728,0.9113758629039342,120.67872762633347,20.50967585368661,0.9576324127456892,17.155111535563247,2.915557561376421,0.8577809284334313,9.263061385500936,1.574282312767516,0.8418503455419348,147.4589599757074,25.06104870601537,0.9541551771676243,16.341628938994035,2.7773039959269195,0.9014421596194221,130.76884001685892,22.224517719584654,0.9529539479243747,1.3724164182890495,0.28287524555602184,59.25,29.453159322627492,20.166790779257855,39.45,3.951436638821606,0.9286792959712693,4.8,1.1819022761739915,0.9824273332536573,6.85,28.285774416025916,28.831070990847397,3.3,2.1445541763176648,0.9183053183134714,7.65
3,z3,31,217,8.890426736425344,1.2007565938311753,0.823840816034662,99.84099460341324,13.484699459197657,0.9630113287076715,11.884971768813283,1.6052050865488572,0.8625940718770503,15.467386131260026,2.0890522397928217,0.7450362727549678,114.84198561493297,15.510759557897371,0.9656375715224831,31.389185683428906,4.239478351465845,0.9060424979671179,104.15645157189822,14.06755262968411,0.9651384167947297,1.0321490281951666,1.492670982737197,110.12903225806451,10.702612999882364,5.782867772848255,9.64516129032258,1.1859953911235108,0.9707545324389841,2.5806451612903225,2.2770178981967963,0.6266675006136692,35.096774193548384,16.801811741937495,11.954438231821639,7.838709677419355,8.486913216419802,1.0666805714787846,4.612903225806452
4,z4,29,269,8.616974477893043,1.2827545375072344,0.9365302409628432,71.75480123033233,10.681683820960362,0.9751972888408902,8.625924004215573,1.2840867969363667,0.939954394043371,18.978476032594134,2.8252057967955135,0.9002983128177854,73.07022124081904,10.877502085422975,0.9730980256416509,21.217687420184184,3.1585430458773205,0.9243507977009803,68.8145164842679,10.243982211276625,0.975370654419121,0.6700951869135159,1.862727300696047,105.72413793103448,5.283006263105474,4.068662270783015,11.89655172413793,0.947452335725844,1.1468085121052967,2.5517241379310347,4.737271512731142,4.257466819158133,22.448275862068964,4.58616589474353,3.1908332277138776,35.37931034482759,6.001129418746151,1.2450556252243243,2.6551724137931036
5,z5,31,313,7.627379486881477,1.0654469212751114,0.9298645188269337,99.92089840486678,13.95766576969357,0.961280306764235,13.173569915808564,1.8401784693079828,0.867484118191047,15.186080425051356,2.121300331645427,0.8523879283752229,92.97031610312324,12.986758720005168,0.9585623028067235,22.160839269889465,3.0955845337951016,0.8531564649032884,93.23321305166041,13.023482046137467,0.9592079827371577,0.3507482766845765,1.386743209557845,53.74193548387097,9.277730203407643,10.388044170269467,26.193548387096776,1.2884157827255305,0.7691361751887782,2.7096774193548385,2.8856061319380624,3.019752129352264,7.838709677419355,5.775804206305281,4.909709893412246,18.419354838709676,4.523364957360306,0.8499105224160984,3.967741935483871
6,z6,30,294,12.902477810264301,2.192810968452411,0.8713952128043977,126.45002052892941,21.490522677456863,0.9444043563629823,23.431291852232007,3.982211365456435,0.8835204001443253,9.651385323408704,1.6402790153295135,0.8379009712727438,81.6487309727519,13.876422456998041,0.9531173840876075,15.344367899393374,2.6078167874849165,0.880398154374226,98.31208873184123,16.708405135263867,0.9421349092904577,0.7019567654996166,2.5817449647665507,35.166666666666664,25.52815252244106,28.678975851316274,9.8,7.003235571703728,1.281419695881083,3.533333333333333,3.315253673434576,1.995857730667485,30.9,15.634944554343505,8.311545940444029,39.63333333333333,5.259333198438286,0.7896901017184185,4.233333333333333
7,z7,29,292,11.820380162613949,2.19153332643275,0.7402313350457119,176.71616945610765,32.76369874359054,0.7631445902882712,24.298009294337156,4.50492254918618,0.7178166026511448,13.9580465193325,2.587862970411544,0.6258383510566649,177.07206707171653,32.829683210644454,0.7790986590250548,21.4745987432186,3.981453910119173,0.7090113588725543,172.56740635598678,31.994505835045477,0.7624746325842925,1.0071116180760957,2.5912670426063644,103.06896551724138,47.02511726436977,33.49155914521372,14.03448275862069,7.939526278119123,1.5457777666185395,25.586206896551722,4.105301521248155,2.470607472674062,19.17241379310345,38.7969229137823,31.80659687117902,21.82758620689655,4.977020030520964,2.0491231488401462,23.448275862068964
8,z8,28,270,9.913796878814445,1.2179830613851894,0.738630378130585,132.97198289226728,16.33658877434562,0.947057778624544,25.38295780464073,3.1184835670755175,0.8264104540896706,17.453520717694342,2.144293740889047,0.5061222212796995,123.83745002089724,15.214344043391904,0.9564494587347081,19.839685409424774,2.4374516713701317,0.7787005566892461,124.65987765007262,15.31538534308722,0.9527618301314813,1.3383286497934068,0.7567354519638689,128.60714285714286,12.839076304839688,10.346527252055651,34.785714285714285,6.726036280190649,0.6383456533808729,4.642857142857143,3.322413956716936,2.5597471571860915,15.321428571428571,13.198590380420985,10.754085015256559,31.607142857142858,5.5472660626902055,0.7047514632055836,9.285714285714286
