pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
-4.524768154,0.505491694,189.9496603,0,1.074890642,0,-11.00600121,3.337371671,-1.658332445,-18.11008673,-1.130561507,-1.730422891,-5.149866004,-0.041032458,22.885062,5.07706573,5.168877344,-29.5671842,-0.985671109,-0.265807242,12.10904239,1.400279829,-0.005135505,-0.005208235,-0.004904571,-0.005646828,-0.006811505,-0.004322522,-0.002032765,-0.001453066,-0.000326325,-0.000138322,-0.000138362,-5.84e-05,0.000450146,-0.000765893,-1.38e-06,1.7e-05,-0.110207518,-2.36e-05,1.55e-06,0.022946292,-0.077318803,-0.081175769,-0.051919586,0.761437317,-0.177649605,3.301707464,0.845425595,20.40225255,15.10627459,16.02706736,10.52217488,9.399211934,66.12457563,15.48801412,19.96321032,459.9026157,0.313531927,0.032538854,9.048865176,-12.29955788,10.41484919,8.045372029,0.317709103,-9.616143738,-3.706031675,-1.245253509,0.396228195,0.464906624,2.358334139,8.604645424,1
-4.578274923,0.589590827,189.8489057,0,1.076862947,0,-11.4576153,3.271958524,-1.362543992,-19.44340127,-1.066200324,-1.756887285,-6.1874729,-0.006077642,22.03449285,5.288347038,5.267897206,-24.93702073,-1.749171228,0.218791668,12.415647,1.011191779,0.010818581,0.010510388,-0.00012148,-0.000264419,-0.004982833,-0.005004357,-0.002262545,-0.002050136,-0.000966997,-0.000277109,-0.000415471,-0.000286265,-0.000248919,-0.001988401,-0.000155944,-0.000135055,-0.004049007,-0.000165886,-7.79e-06,0.01930637,-0.025426978,-0.094596109,-0.008136261,0.399617946,-0.213878244,2.772753718,0.392622702,17.20962891,12.78838423,13.21136809,8.889296999,8.023376138,56.22206175,12.82234523,15.47792395,383.6032394,0.319246599,0.035776182,7.623797762,-18.60478536,10.38267187,3.313168787,3.050300187,-9.536146189,-3.78338736,-0.934337762,4.276894461,-0.147440607,0.636596791,10.12135235,2
-4.549541322,0.635379762,189.6995255,0,1.077725217,0,-11.68664276,3.184334061,-1.009481819,-21.60093022,-0.893669529,-1.642030152,-6.412884439,-0.148773399,21.17366533,5.437019371,5.52180121,-20.85255859,-2.287279717,0.3637454,12.72883127,0.564479408,0.045341704,0.044680032,0.01376389,0.015494961,0.005512025,-0.001707928,-0.000546475,-0.001613618,-0.001835154,-0.000382286,-0.000770192,-0.00063435,-0.001336292,-0.001708675,-0.000436815,-0.000430626,0.310857053,-0.000400764,-2.65e-05,0.010989058,0.001901461,-0.06470976,0.010057533,0.141950166,-0.148352606,2.090273302,0.105878181,13.85909437,10.40950944,10.49984692,7.54575542,6.699314416,44.8505107,10.08184742,10.8137512,304.6123141,0.321372051,0.035911136,2.756202429,-24.84377219,10.30124409,-0.541463049,3.493508798,-9.722082166,-4.081032414,0.123130559,6.14053478,0.101023836,-0.740588547,9.074915746,3
-4.440172339,0.653298469,189.4821909,0,1.077241793,0,-11.71453529,3.077791512,-0.620802277,-24.48812964,-0.623416002,-1.438929788,-5.980171333,-0.400801665,20.34286607,5.527077852,5.860845988,-17.39201115,-2.6467502,0.245945511,12.9589082,0.107606752,0.097005258,0.096022022,0.039242343,0.04454501,0.029907717,0.009568045,0.004963649,0.001337227,-0.002426487,-0.000282436,-0.000976784,-0.000964456,-0.002725177,0.002148546,-0.000785772,-0.000828374,0.893502899,-0.000655301,-5.24e-05,0.004083558,0.010708087,-0.030683449,0.012709275,0.001802167,-0.071384395,1.385986984,-0.031203156,10.60050383,8.136817168,8.106380525,6.379219492,5.330921987,33.31167952,7.441139952,6.606424946,228.9732819,0.315002314,0.033395023,-5.951910238,-20.52397044,10.35519953,-2.478493495,1.148288325,-10.07547467,-3.614807763,1.636146343,5.65231436,1.133142025,-1.174945409,5.883502838,4
-4.252383471,0.657626104,189.2418318,0,1.075457449,0,-11.57368932,2.958428865,-0.230661107,-27.98304099,-0.267261055,-1.22653323,-5.105409589,-0.667093937,19.60780713,5.566302614,6.185830824,-14.68517363,-2.862439695,0.004412522,12.97565857,-0.285082953,0.143692252,0.142817086,0.071298483,0.081303216,0.068656501,0.031949199,0.015597764,0.008419928,-0.001585569,0.000301221,-0.000542372,-0.000898416,-0.003758135,0.011627792,-0.000963904,-0.001102123,1.632219388,-0.000698958,-7.19e-05,0.000191195,0.009858614,-0.007646254,0.008989009,-0.047580701,-0.018551376,0.781667026,-0.067464341,7.73238046,6.183251302,6.161585635,5.273129297,3.96501971,23.04478603,5.038369532,3.399114037,163.1511042,0.29269985,0.029199702,-19.02154727,14.59938269,11.06722302,-1.804696777,-2.587837091,-10.1886413,-0.235677295,3.44257227,4.583335148,2.478160665,-0.594613043,1.85076515,5
-3.98745454,0.662190928,189.0712357,0,1.072668871,0,-11.29621032,2.831821817,0.128737019,-31.99253204,0.170639578,-1.082549899,-3.987776389,-0.860795845,19.0411865,5.562927724,6.403272321,-12.87538456,-2.944675346,-0.222300721,12.65000339,-0.537269815,0.127015354,0.127370489,0.088595819,0.101614198,0.107979762,0.062758716,0.029797886,0.019946074,0.002499366,0.001663018,0.001277764,0.000236034,-0.002800246,0.026870395,-0.000463544,-0.000731607,2.042515223,-9.02e-05,-5.25e-05,-0.001231881,0.005962328,0.003155849,0.00441228,-0.047370108,0.006592904,0.339804972,-0.055429102,5.468725194,4.705767622,4.67793193,4.194935354,2.69502984,14.94763511,3.000977594,1.34065697,111.135785,0.247227415,0.024065458,-35.22820029,107.9941244,13.19124192,1.1942166,-5.72992181,-9.975872015,9.124548867,5.445852753,6.084798751,3.530334756,0.569749889,-1.297791577,6
-3.645920187,0.675861787,188.8978845,0,1.068361259,0,-10.89967109,2.699749008,0.437231949,-36.41754873,0.688118929,-1.049690368,-2.760152575,-0.933154269,18.67360551,5.52054055,6.452711891,-12.02301498,-2.891104815,-0.345134269,11.90435933,-0.603915136,-0.054396074,-0.050875297,0.04526928,0.053278704,0.107642129,0.085442287,0.039336261,0.03214358,0.011626103,0.003832393,0.005170592,0.003250918,0.002843581,0.042449758,0.001462686,0.001102759,1.076559154,0.001755586,5.85e-05,-0.001276678,0.002429927,0.005758662,0.001209481,-0.029994505,0.012926579,0.073173454,-0.030998854,3.858357115,3.734829946,3.609340124,3.221777333,1.61259307,9.216710698,1.447524919,0.235082367,73.86642135,0.179173194,0.017957147,-51.39324883,282.5602335,17.08435581,5.515014472,-6.751888151,-9.588896138,27.0612878,7.487428163,13.06123854,3.846228358,1.863275047,-2.554707046,7
-3.236101249,0.70778578,188.8243168,0,1.063161178,0,-10.39109363,2.567525581,0.678300908,-41.22537227,1.261187496,-1.11310302,-1.481865753,-0.889724683,18.51936548,5.456539696,6.324471293,-12.14914419,-2.705927822,-0.336362861,10.81071577,-0.506017678,-0.519046114,-0.510118861,-0.126912303,-0.141725038,-0.006418559,0.060921455,0.02544483,0.033457355,0.025665928,0.006045658,0.010935057,0.008506884,0.016043918,0.042563315,0.005466462,0.005220434,-2.833219088,0.005220216,0.000316179,-0.000825933,0.00031428,0.004560164,-0.000345795,-0.012997828,0.010407021,-0.045557538,-0.011182673,2.823158307,3.190304215,2.880932384,2.451758857,0.7936589,5.544225532,0.442516587,-0.218476934,49.9147234,0.103448278,0.011121068,-63.59223932,534.5115506,22.38775843,9.582366715,-5.00191566,-9.245548631,53.43282585,9.537080193,26.3951737,3.26999123,2.937273167,-1.634424196,8
-2.77607163,0.771703738,188.7864824,0,1.057005629,0,-9.764558412,2.440836391,0.831348211,-46.31347649,1.821754381,-1.208900674,-0.204468248,-0.775954155,18.54104936,5.402262621,6.03883994,-13.16034961,-2.418599914,-0.203460734,9.598166218,-0.338863917,-1.310219084,-1.295120061,-0.488828235,-0.553722645,-0.327751224,-0.07361301,-0.041244005,0.002085684,0.03908599,0.006060047,0.016026803,0.014687056,0.037130244,-0.001913894,0.011239538,0.011579601,-11.10267576,0.009701237,0.000725273,-0.000367543,-0.00053605,0.002477844,-0.000760205,-0.00234109,0.005729794,-0.070195866,-0.000208694,2.240998559,2.93764685,2.386835304,1.904470596,0.264781519,3.352420777,-0.061018894,-0.296363009,36.17684924,0.04151526,0.005028462,-76.46768796,807.219079,28.29293422,11.99092155,-0.995212061,-9.009813094,82.18617337,12.25136516,42.29704925,2.00462264,3.5894196,1.084168828,9
-2.292569374,0.888192887,188.7622611,0,1.050192439,0,-9.012351602,2.327565874,0.865462912,-51.55336097,2.262528689,-1.258197661,1.005531174,-0.652813878,18.69460736,5.406120384,5.628920929,-14.94446281,-2.078397463,0.036880147,8.608967915,-0.245505429,-2.209367731,-2.192379801,-1.016251235,-1.157018508,-0.907671994,-0.383240047,-0.189731796,-0.090340793,0.036623207,-0.000265291,0.013834284,0.017032762,0.058762177,-0.127884529,0.016036467,0.017705048,-23.22393511,0.012397941,0.001139985,-7.39e-05,-0.00063588,0.000848839,-0.000626608,0.002218996,0.002010823,-0.053122046,0.003682806,1.974681416,2.827608527,2.046178842,1.521715472,-0.008300267,2.038566718,-0.213793019,-0.215191868,28.92689224,0.004819446,0.00107358,-94.33521853,1029.774498,33.14220047,11.81387337,3.538831078,-8.968030432,105.9175654,16.2787345,55.26232465,0.604305249,3.624347646,4.465186553,10
