"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
120.91,0,,3.38419,3.32147,-0.268645,-7.81503,3.33906,2.44276,8.64134,9.19324,4.07633,6.69077,5.17431,-8.84191,4.21014,6.97854,-0.353814,-0.353814,1.12534,-1.12534,-4.07602,4.07602,0.590837,0.0428428,-1.55154,2.26485,3.47063,13.0006,153.231,0.27299,1.14759,149.953,3.70173,0.666242,149.632,-4.92553,3.61753,145.686,-0.589678,-1.51807,155.713,3.20973,9.10835,154.463,-5.89171,6.55769,162.157,-0.0413147,-2.27423,18.0582,-29.7806,-16.1069,-76.6752,211.903,-23.9223,134.31,464.372,-164.54,40.0041,-1.87593,80.6377,-27.8161,3.92811,-45.9072,31.7458,38.573,21.9626,-31.2853,11.2397,-4.92206,-0.381927,-0.611743,-0.359831,-0.700336,-0.108279,-0.690204,-0.687479,-0.171946,-0.665505,0.0985167,-0.102606,0.927241,0.182324,-0.727524,0.179333,0.178777,-0.725303,0.128666,0.0640271,-0.0690321,0.710768
120.92,0,,3.98685,3.46469,-0.404989,-7.66489,3.42846,2.32799,9.88556,9.34538,4.99927,6.74921,5.42503,-8.82011,4.17063,7.08658,-0.248813,-0.248813,1.27256,-1.27256,-4.02953,4.02953,0.403499,0.122408,-1.47858,2.07497,3.52816,12.9511,153.264,0.15876,1.28701,149.915,4.1893,0.635538,149.522,-5.67628,3.94804,145.702,-0.402902,-1.45508,155.642,3.25782,9.09279,154.358,-5.99326,6.71767,162.185,-0.11878,-2.10223,13.1839,-16.1098,26.3734,-124.029,228.514,-17.1004,163.571,512.2,-186.049,-7.75838,20.4008,-38.6898,-0.969201,-34.1692,-55.6612,50.2771,84.9583,17.586,-22.5479,-28.3951,24.9179,-0.381012,-0.611499,-0.361113,-0.699541,-0.111453,-0.691057,-0.686236,-0.167485,-0.665972,0.0968686,-0.102118,0.927423,0.180367,-0.72806,0.177437,0.18012,-0.725913,0.1283,0.0639065,-0.0706817,0.710602
120.93,0,,4.69342,3.58973,-0.583964,-7.52864,3.50778,2.30162,11.3504,9.44912,6.00483,6.79011,5.66714,-8.79946,4.10167,7.14771,-0.139027,-0.139027,1.41656,-1.41656,-3.98304,3.98304,0.254588,0.198913,-1.36672,1.90132,3.54185,12.9468,153.247,0.0401049,1.42276,149.843,4.77493,0.551934,149.363,-6.54779,4.31327,145.724,-0.253481,-1.3522,155.614,3.26725,9.09149,154.303,-6.08449,6.86284,162.212,-0.193663,-1.94661,-5.37789,-2.93085,44.4424,-137.208,253.894,-4.38879,210.43,519.012,-183.109,-14.547,19.9318,80.6377,31.2567,-58.5988,-61.021,10.7368,136.226,-5.84874,-1.97294,-4.43673,-20.6111,-0.379851,-0.611375,-0.362149,-0.698824,-0.115362,-0.691805,-0.684841,-0.162482,-0.666285,0.0952833,-0.10212,0.927562,0.178785,-0.72857,0.17555,0.181098,-0.726528,0.127751,0.0638471,-0.0722095,0.710436
120.94,0,,5.54387,3.71704,-0.805569,-7.39282,3.56947,2.41174,13.0519,9.53441,7.05738,6.81787,5.88966,-8.81208,4.00685,7.12781,-0.0220636,-0.0220636,1.55045,-1.55045,-3.93656,3.93656,0.158517,0.290719,-1.24026,1.74642,3.49802,12.9942,153.17,-0.0843585,1.54812,149.733,5.49403,0.407662,149.16,-7.51887,4.67849,145.74,-0.160093,-1.22831,155.658,3.25405,9.0876,154.32,-6.18259,7.02282,162.229,-0.284039,-1.81283,-31.7457,10.2481,22.9513,-125.97,296.372,-4.38879,262.687,495.098,-157.733,-13.5772,48.3053,51.3149,55.6806,-56.1774,-60.0555,9.75603,133.785,2.42703,-18.602,-4.43673,-4.30681,-0.378394,-0.611388,-0.362829,-0.698169,-0.119942,-0.692553,-0.683467,-0.157117,-0.666254,0.0939981,-0.102543,0.927651,0.177563,-0.728932,0.173962,0.181649,-0.72733,0.126715,0.0639677,-0.0736116,0.710297
120.95,0,,6.5206,3.84777,-1.04886,-7.25787,3.62361,2.66455,14.9466,9.59665,8.06008,6.81933,6.04479,-8.74898,3.86965,7.03682,0.0991531,0.0991531,1.65899,-1.65899,-3.88635,3.88635,0.192142,0.394766,-1.04085,1.5328,3.40215,13.1103,153.039,-0.211311,1.64841,149.585,6.33297,0.2079,148.901,-8.55848,5.04878,145.751,-0.192112,-1.02884,155.79,3.21916,9.06685,154.435,-6.27898,7.1628,162.267,-0.384743,-1.62172,-47.3578,36.134,-3.42216,-102.523,338.363,-2.93344,292.015,443.864,-135.74,-36.6098,53.2296,94.8919,34.6489,-55.6393,-66.88,6.34916,104.001,-14.1643,-1.40925,-8.2819,15.6891,-0.376786,-0.611476,-0.363113,-0.697534,-0.125065,-0.693322,-0.682046,-0.151559,-0.665932,0.0932055,-0.104131,0.927599,0.176765,-0.729032,0.172858,0.181584,-0.728168,0.125186,0.063967,-0.075503,0.710046
120.96,0,,7.64919,3.98531,-1.30574,-7.13246,3.66013,2.98715,17.0143,9.63123,8.993,6.82955,6.10591,-8.67097,3.69869,6.91315,0.237383,0.237383,1.73572,-1.73572,-3.83614,3.83614,0.336249,0.477391,-0.763611,1.31044,3.25423,13.2673,152.874,-0.352923,1.71588,149.415,7.30539,-0.0451313,148.621,-9.634,5.4046,145.784,-0.336196,-0.745387,155.949,3.16636,9.0273,154.583,-6.36504,7.29908,162.305,-0.464791,-1.41969,-50.7752,52.2439,-26.8525,-49.2948,388.197,12.2113,319.344,381.347,-109.358,-35.64,18.9938,69.2344,2.9076,-49.2897,-64.9492,-2.4261,27.3429,-49.3363,20.8568,-15.0849,-6.46021,-0.375095,-0.611505,-0.36307,-0.696872,-0.130621,-0.694186,-0.680699,-0.145882,-0.665317,0.0927799,-0.10688,0.927372,0.176278,-0.728917,0.172005,0.181226,-0.729055,0.123544,0.063723,-0.0773953,0.709803
120.97,0,,8.90088,4.12171,-1.6229,-7.03179,3.68657,3.3175,19.2116,9.65428,9.86609,6.86754,6.073,-8.66638,3.52198,6.78378,0.390498,0.390498,1.77655,-1.77655,-3.78594,3.78594,0.566819,0.529415,-0.432875,1.15928,3.07892,13.4308,152.682,-0.506981,1.74706,149.228,8.38132,-0.401003,148.347,-10.7307,5.72571,145.817,-0.565664,-0.401039,156.092,3.10035,8.97477,154.715,-6.45283,7.44054,162.327,-0.516434,-1.28318,-39.5518,59.5612,-29.2937,47.3537,419.909,59.5784,323.21,313.011,-102.551,-33.7005,-42.912,105.481,-15.6041,-57.1459,-72.7391,4.90382,-25.8781,-100.582,17.4746,-15.0849,-9.22887,-0.373434,-0.611423,-0.362752,-0.696499,-0.136358,-0.694851,-0.679558,-0.140087,-0.664359,0.0926528,-0.110475,0.927016,0.176033,-0.72867,0.171272,0.180976,-0.729947,0.121953,0.0635425,-0.0786804,0.70965
120.98,0,,10.2229,4.26721,-2.0323,-6.9372,3.68657,3.62459,21.4657,9.67272,10.5441,6.96395,5.76508,-8.70195,3.2562,6.68285,0.561159,0.561159,1.81954,-1.81954,-3.73201,3.73201,1.00875,0.526354,0.141049,1.06184,2.78582,13.605,152.473,-0.678464,1.77907,149.058,9.50491,-0.846767,148.099,-11.8307,6.01427,145.959,-1.00592,0.188971,156.197,3.03058,8.92678,154.808,-6.54061,7.57386,162.349,-0.51127,-1.18762,-13.1839,59.5612,-48.3437,165.508,439.443,68.8563,313.478,296.903,-88.8556,-203.657,3.51738,385.676,-14.6349,-63.9798,-79.5969,48.3156,4.3944,-114.747,-2.81849,-4.43673,-7.38309,-0.371608,-0.611311,-0.362391,-0.69645,-0.141793,-0.695291,-0.678626,-0.134102,-0.663183,0.0926567,-0.11695,0.926079,0.175971,-0.728419,0.170599,0.180972,-0.730724,0.120607,0.0631133,-0.0794105,0.709567
120.99,0,,11.5993,4.41726,-2.45603,-6.88035,3.65383,3.93478,23.7586,9.65889,10.386,7.04722,4.76375,-8.70998,2.73684,6.58476,0.758135,0.758135,1.8378,-1.8378,-3.67809,3.67809,2.31051,0.523294,1.41049,0.949412,2.27906,13.7857,152.253,-0.874563,1.78539,148.899,10.6571,-1.32915,147.885,-12.9308,6.30428,146.294,-2.30801,1.50337,156.284,2.94006,8.88917,154.896,-6.61634,7.69459,162.36,-0.508688,-1.07569,15.1444,33.2032,-59.5683,261.237,423.319,61.5341,350.605,300.309,-30.7732,-410.224,-56.747,599.488,0,-84.9656,-109.858,48.3156,1.95307,-111.802,-12.1195,-15.6765,25.8408,-0.369785,-0.611017,-0.36191,-0.696427,-0.14661,-0.695816,-0.677695,-0.127873,-0.662009,0.0947918,-0.133002,0.923259,0.176281,-0.728134,0.170055,0.180922,-0.731441,0.119394,0.0626254,-0.0802655,0.70951
121,0,,12.9964,4.5764,-2.84999,-6.85952,3.58332,4.29461,26.0628,9.62201,9.01436,7.1042,3.44353,-8.68359,2.07957,6.46677,0.977176,0.977176,1.8449,-1.8449,-3.62416,3.62416,4.84679,0.538595,2.9669,0.833234,1.73669,13.9901,152.017,-1.09196,1.77947,148.767,11.8107,-1.7838,147.698,-14.0389,6.55162,146.655,-4.84549,3.11593,156.411,2.82879,8.8762,155.016,-6.69207,7.78198,162.388,-0.521599,-0.963748,38.5805,15.6181,-54.6861,302.257,347.18,74.2229,410.128,237.792,46.4015,-571.211,225.112,593.38,-0.969201,-88.8937,-116.216,20.4928,-2.9296,-107.903,-20.575,-25.4373,-7.38309,-0.367873,-0.610619,-0.361342,-0.696097,-0.150463,-0.696768,-0.67703,-0.121465,-0.66055,0.103825,-0.157355,0.918006,0.176953,-0.727893,0.169689,0.180611,-0.732026,0.118047,0.0622587,-0.0811805,0.709383
