"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
10.53,0,,5.43815,5.89155,3.02269,-9.16959,3.07068,-2.21535,10.6104,11.4448,3.06887,11.1656,4.31551,-8.43166,-0.123797,7.31698,1.6432,1.6432,-0.715107,0.715107,8.09302,-8.09302,3.75704,-3.23633,1.35628,0.175096,11.5335,-3.20027,156.236,-1.72759,-0.476497,153.12,3.84213,2.34281,152.305,-6.71616,6.46471,152.773,-3.67939,2.10916,153.991,4.49469,8.52595,152.384,-6.8367,7.63703,161.126,3.23183,-0.356468,12.6877,23.4311,18.5489,-78.0996,183.121,7.31932,206.566,427.76,-114.763,0,9.76469,38.4471,42.4793,-55.6833,-61.5363,10.2374,-107.88,-48.84,-21.5805,5.75803,-8.81665,-0.393269,-0.580961,-0.378986,-0.683204,-0.0817916,-0.71531,-0.679663,-0.116767,-0.69181,0.0886268,-0.127447,0.894264,0.154062,-0.726058,0.175487,0.166025,-0.723369,0.127021,0.0482204,-0.0742228,0.692359
10.54,0,,6.30727,5.98211,2.77485,-8.99271,2.8359,-1.94732,12.1633,11.4015,3.62107,11.1875,4.64699,-8.51559,-0.0528126,7.19405,1.78187,1.78187,-0.598224,0.598224,8.15801,-8.15801,4.01637,-3.22184,1.3203,0.0962518,11.4838,-3.0843,156.044,-1.84853,-0.339201,153.164,4.5739,2.21057,152.212,-7.52367,6.81267,152.696,-3.93408,2.12011,154.079,4.42353,8.50861,152.46,-6.8629,7.81766,161.12,3.21727,-0.270226,12.6877,43.9554,17.5775,-77.6517,213.362,42.4847,260.259,379.849,-119.153,-12.2106,41.4501,53.2766,22.9664,-89.3719,-100.097,23.4306,-100.113,-56.6355,-28.8797,-15.1527,-33.1292,-0.391195,-0.581452,-0.37911,-0.682655,-0.0861864,-0.716104,-0.67838,-0.111639,-0.692175,0.0903974,-0.12879,0.894208,0.1532,-0.726206,0.173708,0.165843,-0.724473,0.125985,0.0480352,-0.074952,0.692452
10.55,0,,7.28888,6.07368,2.45087,-8.8106,2.59542,-1.68612,13.882,11.3467,4.20443,11.2021,4.96731,-8.57918,0.00965391,7.14027,1.92504,1.92504,-0.491118,0.491118,8.21958,-8.21958,4.29839,-3.19866,1.30369,-0.00614373,11.4118,-2.9012,155.813,-1.97535,-0.210619,153.185,5.40962,1.99603,152.08,-8.38664,7.18107,152.597,-4.21315,2.1566,154.123,4.34889,8.47651,152.499,-6.88212,8.00183,161.131,3.19301,-0.155236,12.6877,52.2539,31.2509,-56.1533,213.362,37.1077,315.896,350.119,-132.821,26.3637,33.6782,65.36,5.35308,-121.583,-128.91,35.1458,-35.1833,-144.536,9.83815,-9.39468,-1.33586,-0.388944,-0.582012,-0.378994,-0.682364,-0.0913765,-0.716607,-0.676978,-0.106329,-0.69242,0.0922264,-0.130435,0.894187,0.152534,-0.726229,0.172066,0.165899,-0.725548,0.125248,0.0477922,-0.0759304,0.692407
10.56,0,,8.32905,6.16223,2.08964,-8.67568,2.35922,-1.41673,15.7128,11.292,4.77782,11.2065,5.22342,-8.6682,0.0630343,7.1203,2.05611,2.05611,-0.404837,0.404837,8.27773,-8.27773,4.63876,-3.16389,1.34521,-0.0778206,11.3299,-2.67944,155.544,-2.09294,-0.104566,153.153,6.31237,1.72536,151.893,-9.29203,7.55165,152.46,-4.54641,2.25695,154.128,4.27859,8.46881,152.493,-6.89435,8.18158,161.142,3.16147,-0.0689938,3.90564,47.3725,27.3468,-2.91124,218.753,77.1391,335.96,333.002,-118.161,-23.0336,29.6926,60.4168,-2.46069,-136.232,-154.778,62.0009,31.2222,-148.448,23.802,-9.69773,13.0914,-0.386621,-0.582678,-0.378502,-0.682207,-0.0971704,-0.716876,-0.675534,-0.101022,-0.692442,0.0941212,-0.132758,0.894212,0.152232,-0.726308,0.170788,0.166148,-0.726547,0.124764,0.0477325,-0.0767261,0.692366
10.57,0,,9.40466,6.22764,1.66766,-8.57128,2.14151,-1.11314,17.6399,11.2395,5.3886,11.2867,5.49209,-8.73052,0.137426,7.09879,2.17087,2.17087,-0.330033,0.330033,8.33588,-8.33588,4.97264,-3.19576,1.38396,-0.14233,11.2728,-2.42106,155.237,-2.19573,-0.0114767,153.076,7.26572,1.38381,151.657,-10.2333,7.93608,152.262,-4.87696,2.3573,154.134,4.19615,8.48036,152.493,-6.92406,8.31905,161.153,3.19301,0.00574949,-10.7462,45.908,-7.33159,62.9835,224.143,54.6904,345.683,311.053,-109.38,-84.0864,-25.9063,-9.33714,-0.47487,-115.25,-175.29,43.9413,93.2783,-136.713,11.1076,0.606108,6.94645,-0.384245,-0.583479,-0.377714,-0.682281,-0.103398,-0.716828,-0.673985,-0.0957081,-0.692297,0.0960724,-0.135014,0.894438,0.152358,-0.726386,0.169816,0.166453,-0.727278,0.124275,0.0471826,-0.0772135,0.692358
10.58,0,,10.4849,6.26084,1.20519,-8.51693,1.93234,-0.761696,19.6096,11.1596,6.05548,11.367,5.6177,-8.78266,0.15503,7.0573,2.26201,2.26201,-0.266491,0.266491,8.39403,-8.39403,5.27087,-3.24791,1.57495,-0.197623,11.1437,-2.13419,154.913,-2.27645,0.0667351,152.977,8.24643,0.993258,151.399,-11.1844,8.3249,152.125,-5.16957,2.59631,154.167,4.09721,8.53044,152.521,-6.93978,8.43624,161.175,3.24396,0.0776181,-5.37308,54.6947,-32.2224,119.641,234.875,41.0127,336.434,283.699,-95.7121,-83.5313,-68.7514,-56.0229,8.80668,-87.8943,-191.411,5.87566,88.8513,-121.094,-4.44304,-6.97025,11.7555,-0.381927,-0.584396,-0.376677,-0.682507,-0.109926,-0.716505,-0.672386,-0.0903961,-0.69204,0.0969877,-0.138066,0.894497,0.153149,-0.726495,0.169385,0.166456,-0.727963,0.123728,0.0465113,-0.0775799,0.692298
10.59,0,,11.5805,6.27493,0.696546,-8.47307,1.70467,-0.343242,21.6017,11.0387,6.53538,11.4006,5.55769,-8.80555,0.116983,6.95435,2.35567,2.35567,-0.191899,0.191899,8.45047,-8.45047,5.76036,-3.27399,1.90433,-0.257013,10.95,-1.84733,154.578,-2.35829,0.156424,152.883,9.24355,0.577974,151.157,-12.1354,8.70132,152.032,-5.65727,3.00136,154.255,3.96877,8.60621,152.614,-6.94852,8.53846,161.186,3.27065,0.149487,14.6518,65.4339,-48.3335,165.549,254.861,40.522,351.565,269.039,-59.5576,-167.895,60.5809,238.372,1.46778,-65.8996,-181.637,12.6885,59.1048,-95.2213,4.7604,-11.8191,27.7858,-0.379487,-0.585376,-0.375642,-0.682776,-0.116522,-0.716042,-0.670859,-0.0849637,-0.691673,0.0982722,-0.143319,0.894033,0.154613,-0.726554,0.169446,0.166021,-0.728662,0.122929,0.0460223,-0.078067,0.692287
10.6,0,,12.6854,6.2699,0.172112,-8.43255,1.46846,0.0916223,23.5849,10.8927,6.48303,11.4093,5.28273,-8.83862,0.00851815,6.83143,2.45215,2.45215,-0.113269,0.113269,8.50862,-8.50862,6.77174,-3.27979,2.3472,-0.289779,10.7315,-1.5625,154.248,-2.44181,0.251001,152.812,10.2516,0.161262,150.943,-13.0588,9.07262,151.96,-6.65434,3.6144,154.365,3.81428,8.68968,152.729,-6.9555,8.6301,161.197,3.27793,0.201232,34.18,62.0169,-42.9631,205.074,254.384,43.4661,366.221,250.448,-20.9979,-277.79,210.04,606.09,-20.9806,-52.2638,-124.519,23.9352,7.84439,-88.3759,7.29927,-0.909162,9.88533,-0.377035,-0.586336,-0.374654,-0.682976,-0.122995,-0.715571,-0.669342,-0.0795324,-0.691316,0.101933,-0.152655,0.892614,0.15663,-0.726503,0.169875,0.165411,-0.729335,0.122014,0.0457793,-0.0784351,0.692244
10.61,0,,13.7888,6.24474,-0.349083,-8.38869,1.21376,0.511444,25.5658,10.7307,5.57308,11.4356,4.84937,-8.86914,-0.1096,6.69314,2.55397,2.55397,-0.0199762,0.0199762,8.56506,-8.56506,8.64216,-3.30296,2.79007,-0.309234,10.5899,-1.30208,153.935,-2.5284,0.36088,152.785,11.2583,-0.223103,150.773,-13.9756,9.43518,151.801,-8.49403,4.38983,154.485,3.63811,8.78277,152.855,-6.96948,8.70235,161.203,3.29977,0.235729,48.3351,63.9695,-45.4192,225.565,230.964,89.8354,331.074,210.973,31.2677,-166.508,326.619,664.036,-8.28864,-23.9366,-85.4492,16.6177,-14.1354,-31.2375,-12.6944,3.9397,-1.8702,-0.374595,-0.587255,-0.373863,-0.682963,-0.129158,-0.715252,-0.667885,-0.0738568,-0.690958,0.1106,-0.167365,0.889868,0.15889,-0.726449,0.170304,0.164744,-0.729905,0.12104,0.0454741,-0.0786182,0.692243
10.62,0,,14.9075,6.21657,-0.878377,-8.3167,0.970438,0.918958,27.5848,10.5732,3.99377,11.4531,4.37553,-8.8933,-0.0834779,6.52566,2.66395,2.66395,0.0986061,-0.0986061,8.61636,-8.61636,11.1836,-3.31166,3.0807,-0.340977,10.6694,-1.07829,153.655,-2.6189,0.4969,152.796,12.2801,-0.581303,150.641,-14.9136,9.72333,151.412,-10.9894,5.17803,154.623,3.45672,8.8701,152.998,-6.99219,8.78166,161.203,3.3119,0.27885,60.052,83.9835,-40.5254,220.694,192.374,143.544,255.373,98.1153,33.6729,108.785,749.49,1036.97,-6.82086,-4.89709,-36.6326,3.42447,-49.3187,-35.6521,-5.71247,4.54581,-2.40454,-0.372165,-0.588127,-0.373386,-0.682723,-0.134958,-0.715135,-0.666902,-0.0679354,-0.690158,0.124028,-0.185187,0.886323,0.161143,-0.726363,0.170726,0.164014,-0.730525,0.119882,0.0452294,-0.0789225,0.692296
