fold,test_subject,trial,n_windows,rmse_N_ground_force_left_vx,rmse_pctbw_ground_force_left_vx,pearson_r_ground_force_left_vx,rmse_N_ground_force_left_vy,rmse_pctbw_ground_force_left_vy,pearson_r_ground_force_left_vy,rmse_N_ground_force_left_vz,rmse_pctbw_ground_force_left_vz,pearson_r_ground_force_left_vz,rmse_N_ground_force_right_vx,rmse_pctbw_ground_force_right_vx,pearson_r_ground_force_right_vx,rmse_N_ground_force_right_vy,rmse_pctbw_ground_force_right_vy,pearson_r_ground_force_right_vy,rmse_N_ground_force_right_vz,rmse_pctbw_ground_force_right_vz,pearson_r_ground_force_right_vz,rmse_N_resultant,rmse_pctbw_resultant,pearson_r_resultant,peak_err_pctbw_ground_force_left_vx,impulse_err_pctbw_s_ground_force_left_vx,peak_lag_frames_ground_force_left_vx,peak_err_pctbw_ground_force_left_vy,impulse_err_pctbw_s_ground_force_left_vy,peak_lag_frames_ground_force_left_vy,peak_err_pctbw_ground_force_left_vz,impulse_err_pctbw_s_ground_force_left_vz,peak_lag_frames_ground_force_left_vz,peak_err_pctbw_ground_force_right_vx,impulse_err_pctbw_s_ground_force_right_vx,peak_lag_frames_ground_force_right_vx,peak_err_pctbw_ground_force_right_vy,impulse_err_pctbw_s_ground_force_right_vy,peak_lag_frames_ground_force_right_vy,peak_err_pctbw_ground_force_right_vz,impulse_err_pctbw_s_ground_force_right_vz,peak_lag_frames_ground_force_right_vz
1,z1,LQW01.csv,10,12.43029097673055,1.5943860680509923,0.9232379395527648,192.0161994579232,24.62918638259723,0.9353788330762847,12.326631885153049,1.5810901112831761,0.8604948209529609,11.449220167189676,1.4685478528851799,0.8745394086471443,167.6872779443828,21.50860830566331,0.919456651314622,22.381027106490922,2.870729082212237,0.8426400269565717,177.75760317044742,22.80029055761032,0.9183325155837769,1.4001329853057483,2.6158424569093257,116.0,24.837603973926676,29.567474765327194,57.0,2.0379876796327165,0.574510648468174,5.0,2.857007016091843,1.3949536011881931,51.0,19.69760296601997,14.44225377792614,6.0,6.831355796296131,0.21151735659541196,5.0
1,z1,LQW02.csv,12,8.928260813177383,1.1451940006154062,0.8623249877714683,180.12174469599043,23.103529984449384,0.8910304960281095,16.828994760047237,2.1585910446466374,0.7518489292003715,15.076733318599723,1.933835145122096,0.7711641357349271,146.7254532989219,18.81991491640837,0.9172068410447617,31.64281061561831,4.058702768419634,0.7832209176733947,158.4957153358597,20.32964158685668,0.9002928072510991,0.9660529415084258,1.5152256043547663,6.0,18.104546250749326,17.84025219917674,0.0,2.4979987026009303,0.6199736976442133,12.0,3.437676554801912,2.422699928161131,78.0,12.577159923430456,4.25638046530719,4.0,9.201373079256305,0.769606505131373,6.0
1,z1,LQW03.csv,12,15.31661437461682,1.964603774305354,0.6078780515089544,206.26611395423723,26.456968627306743,0.8859600139082766,23.186312703377087,2.9740199978376998,0.40929258769954446,12.561584403319955,1.6112265756925828,0.6393366064312627,299.2479702840378,38.38339710683908,0.8533720503491407,43.386550401925064,5.565027530821012,0.40911345577413766,253.694105189553,32.54037637719688,0.8208688498598126,1.3973085201889641,2.991524935461088,107.0,36.92403846558147,11.989348524973638,38.0,7.192171756248736,2.6534148548066274,30.0,0.6343622667956939,0.39407654412897847,37.0,45.08395268338678,50.924438038222775,32.0,5.383461012083701,3.283854201500419,32.0
1,z1,LQW04.csv,11,15.594172507592361,2.000205098612152,0.5687749399951636,210.12553331810506,26.952001645925233,0.9015585411675046,21.656223179390373,2.7777612437600983,0.5159348550131575,13.346363429634966,1.7118871916345262,0.6575841651418181,309.0213998275782,39.63699768066871,0.8614488903400574,40.287477893783645,5.167521306702021,0.5382610821349021,260.09620323763903,33.361549103826775,0.7923887367880883,1.3775216068775415,2.670252803347659,4.0,32.978202030761636,4.867350942228148,26.0,6.288197785326005,2.7268602195880853,28.0,1.265342410325284,0.43154398906555197,27.0,56.42016275683862,49.070362940820786,30.0,9.090141814210789,1.304449225149342,30.0
1,z1,LQW05.csv,11,13.549604193822514,1.7379561101728995,0.8363791471808966,205.8642081301859,26.4054176983916,0.9396785374658773,11.244559580392744,1.4422968191097827,0.8992492705835208,18.064796929592053,2.317102680913071,0.6578880509586863,173.3124444828417,22.230126987420224,0.8872097447681359,34.14895053480123,4.380155788241272,0.7462775692489266,185.6061755601537,23.806997037423454,0.8594410401425273,1.299103005693178,2.9174884307064364,111.0,21.26933808892527,37.694758230782426,6.0,1.1948781022108497,0.5660779514183701,18.0,3.9977471923510475,3.1304448484563636,11.0,6.217006294962583,11.372078545267925,6.0,12.184935174376081,3.1912259984375675,6.0
1,z1,LQW06.csv,11,7.471905420123285,0.9583928426084746,0.9459230469974611,104.71751559625297,13.431716784436254,0.9787900616495526,14.599769399228808,1.872656800268257,0.8935703606011535,18.543783423578876,2.378540453707514,0.68532817871418,99.22780792392282,12.727572895381616,0.962929112350855,20.405929003209536,2.6173907730124903,0.8614609422123916,97.02150723469137,12.444579111291844,0.971581852237742,1.2453332143352522,1.5615989164789605,114.0,16.87957112205632,14.47134729218427,54.0,0.6965095259331306,1.7727466483164884,5.0,4.305401453769568,3.0022897955967887,4.0,2.0516492725843594,6.411027515455103,0.0,6.635529884590914,1.2802907561759687,0.0
1,z1,LQW07.csv,12,12.418673049868948,1.592895880833135,0.8997298942374903,159.2274336051631,20.42349630164169,0.9498121506034485,13.81386189226304,1.771851438412401,0.835672846872582,13.963000309201963,1.7909808549822728,0.7467207568923904,163.6620193142814,20.992303716160954,0.8965269925529923,26.006661321627412,3.3357753704515054,0.8231024046131907,156.20556938734833,20.035893290783378,0.9012753928486579,1.425700449659126,2.7611147084019487,1.0,18.014316679973685,26.389446297098733,6.0,1.1883860118514344,0.8579431855679052,10.0,3.5543409396616696,1.7605613456862141,65.0,19.954590501293413,8.151047747080552,9.0,10.976232544776495,1.7758425940752915,3.0
1,z1,LQW08.csv,11,8.073448677566626,1.0355505045484155,0.9321001810507171,136.49146966861161,17.507240824436277,0.9755654879949479,19.001955909095006,2.4373084929303053,0.8463815726043483,10.756998054435364,1.379759159632676,0.8302727534891378,110.19746554156157,14.134609087019737,0.9763984517180345,15.17781888192917,1.946801005225875,0.9430013480114745,121.36773127795546,15.567376517796177,0.9759888531988866,1.1877500892592394,1.6739047379282213,1.0,18.92601634382678,22.698792910453598,45.0,1.9397264342444571,2.4144828749408127,6.0,2.2255400410638098,1.1603863742227083,59.0,16.36847235489172,16.29771334218227,1.0,5.135018010462041,0.6999938760516964,9.0
1,z1,LQW09.csv,10,10.937724864301355,1.4029402990213715,0.8719180072972337,143.95455016446772,18.464501727629212,0.9604429902595573,8.493713656068385,1.0894562922622602,0.8987647009985783,14.647016579233126,1.8787170160503817,0.766438330447946,114.21914140391655,14.65045412855249,0.9581855409111885,13.404704724084977,1.7193704072114815,0.9428717899209587,124.96326665084716,16.028562142207914,0.9580902347295287,1.2151900920278502,2.0360324542716137,101.0,20.21299580089612,16.871192131672473,5.0,0.8582726248233304,0.07244502541107116,9.0,1.4848922063959153,1.8636896473244877,57.0,7.198434542133772,4.3200803772503225,8.0,1.6283982886632038,0.15445941584862882,3.0
1,z1,LQW10.csv,11,11.033776208605142,1.4152604390295345,0.9018382814535378,135.52786261168407,17.383642618286725,0.9773784985582653,13.092204958350376,1.6792872527874088,0.8735028884377875,15.914362499973649,2.0412746491108287,0.7676819757121629,105.51562720445858,13.534087519864324,0.9695353286036731,16.3915407674489,2.1024804875794114,0.9523695916713009,118.55200742285587,15.206214345932809,0.9715327875019881,1.1806200579588018,2.165315393441773,0.0,19.59411769563979,20.500204556085993,55.0,2.0248534642402363,1.3272596003659798,1.0,2.9420144864425315,2.275038626504643,67.0,6.846895097897979,8.1965788580453,6.0,4.303951504591674,0.7995758114048734,1.0
1,z1,LQW11.csv,14,9.894302158567292,1.2691044436721486,0.9291438839356456,144.6476964909646,18.553408966257507,0.9292587108292624,15.254528863307582,1.9566403022961647,0.8032754398907301,12.94069683717634,1.6598538832831335,0.7427067946640673,119.60516717923905,15.341299135673667,0.9526193112230023,20.983591608313336,2.691485354654681,0.8911517893929388,127.0154883441882,16.291792800487773,0.9434481197714478,1.6129993064774857,2.505633136001677,129.0,13.032537692788132,14.953141578494531,10.0,1.6411774377609385,1.7701933225269133,9.0,3.494936101863625,1.300407963809407,64.0,13.493560162681378,8.707748852538383,2.0,6.149446981316288,1.012976155633472,3.0
1,z1,LQW12.csv,11,9.849804479694425,1.263396895925413,0.9130828843735703,187.31809765558037,24.026578762714234,0.9748933771632394,16.208630910958572,2.079019337116939,0.7811949280512877,14.258927534380113,1.8289383127653835,0.7340260346822769,118.43890385275982,15.191706981885938,0.9605197895521497,22.523563251646998,2.8890116505331207,0.9384489913538479,152.29131997297412,19.53382743047184,0.9437771370667636,1.4370829584528455,2.093876992039406,1.0,30.07608866149485,33.51063191169585,0.0,0.7722309715616354,1.0035813269411946,6.0,3.2863696893826164,1.8314169459007075,78.0,8.949699055901915,3.422955559697844,1.0,6.09184905501554,1.0718310834469618,1.0
