Subject_ID,Speed,Height,Weight,Insole_Size,Cycle_ID,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop1,Left_cop2,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop1,Right_cop2,Left_Fx,Left_Fy,Left_Fz,Right_Fx,Right_Fy,Right_Fz,Left_Mx,Left_My,Left_Mz,Right_Mx,Right_My,Right_Mz,time
11,4.5,1.68,62.4,39,1,-3.110732866,-0.41582772,168.5786349,0,0.969881312,0,-12.05641102,3.737544907,-1.1425512,-10.76111688,0.806189775,-5.633178048,18.47086544,-4.952756772,24.87158461,1.366126667,-1.866670091,-5.797538001,1.37756542,-7.653494797,5.962300567,6.516606891,-1.194909628,-0.913906215,-0.428523507,-0.809140686,0.002487389,0.026996211,-3.45E-06,-0.004577101,-0.000158168,-0.000212881,0.001395494,0.006000947,0.006170107,0.003659307,-2.32E-05,-1.23E-08,-7.871361857,0.011533594,0.001675727,3.36553566,7.100827142,4.962992955,6.366945868,1.659497083,3.108677711,0.602343375,6.129707329,41.16197423,34.89497796,37.07704662,26.29953938,28.16038656,42.41817887,15.86323153,19.65096427,647.2670289,0.206984694,-0.039868571,-74.54121009,521.6396672,16.48756326,59.69603195,213.6500064,-6.633288619,44.76526396,6.131309962,133.3936308,-19.09427529,5.94030362,-43.58402692,74
11,4.5,1.68,62.4,39,1,-2.983083982,-0.358003866,168.6461893,0,0.969507792,0,-12.11372864,3.359560675,-1.89341835,-12.56653511,0.888664104,-5.542005844,18.00574937,-3.727504065,24.57172793,2.014575817,-2.972888067,-6.574949227,0.793402216,-6.423294481,5.634155708,5.810301727,-0.347768305,-0.039792631,-0.535403387,-0.805852693,0.004484564,0.009979724,-2.80E-05,-0.003222037,-0.000444596,-0.000260591,0.001966358,0.004503867,0.002614796,0.005825556,-4.01E-05,-7.88E-09,-4.387179189,-0.007859599,-0.000383484,1.920169017,5.542001155,3.780437532,5.4822973,1.411753505,2.935797515,0.361757704,5.799533381,42.71379017,35.05115399,37.50104334,28.11626487,28.17701648,42.91440798,17.09831997,21.37501888,648.8758819,0.220323269,-0.039954304,-88.60770311,559.1104751,29.46163759,37.49716367,140.6089849,-4.43519547,49.31897637,4.907330871,139.9871875,-12.4564861,3.50600266,-28.31551333,75
11,4.5,1.68,62.4,39,1,-2.855108485,-0.276223675,168.7625894,0,0.9698051,0,-12.02676171,2.895324417,-2.657598271,-14.60632608,0.985048921,-5.488850704,17.11571883,-2.379231688,24.16431845,2.625348954,-3.978282082,-7.344275174,0.215581734,-4.620137795,5.12009076,5.200095318,2.475842079,2.891127281,-0.280326669,0.050238915,0.005517584,-0.049450055,-6.93E-05,0.004060668,-0.000801253,-0.000124024,0.001542477,-0.004534033,-0.01035858,0.005935995,-4.67E-05,-4.94E-09,11.03659812,-0.055383451,-0.005903559,0.872904834,4.358620687,2.661402249,4.773840401,1.302098432,2.738831676,0.155334599,5.365522038,44.04330277,35.04832081,37.88538966,29.36000499,28.14945557,42.54036241,17.87909917,22.64924146,646.9120402,0.230487145,-0.039815186,-97.49988361,588.4185443,40.62342246,20.06694796,85.57331561,-3.513808737,53.04000024,3.87484618,143.2235375,-7.370227156,1.495512121,-16.83147136,76
11,4.5,1.68,62.4,39,1,-2.729343352,-0.171071033,168.835088,0,0.970265871,0,-11.77929402,2.343577512,-3.412462272,-16.87564621,1.096399705,-5.47597408,15.74354044,-0.935380669,23.58924162,3.14356843,-4.782554637,-7.929146131,-0.303900702,-2.231537924,4.401374383,4.809341328,8.145858038,8.691576782,0.765858944,2.47784656,0.002692078,-0.168437079,-0.00011525,0.020741956,-0.000985261,0.000399091,-0.001297292,-0.025766533,-0.036791489,1.72E-05,-1.65E-05,-3.79E-09,45.02749368,-0.133891451,-0.015578792,0.214985679,3.532507895,1.605272561,4.235175519,1.240558879,2.432096639,0.02755112,4.866391404,44.53914161,35.01825797,38.19699601,30.11320112,28.13110184,41.39431971,18.15746398,23.27488102,639.6595209,0.237775856,-0.040252276,-101.3998315,612.0017679,49.50703416,8.820466318,47.14308716,-2.854583615,55.95520248,2.952893588,143.7210858,-3.757986145,0.267020355,-9.17254595,77
11,4.5,1.68,62.4,39,1,-2.604198608,-0.042334404,168.944284,0,0.971354502,0,-11.37157967,1.705929603,-4.144267918,-19.39102588,1.22565226,-5.497110853,13.89318851,0.542973868,22.86286112,3.558029505,-5.337482873,-8.320810817,-0.746412109,0.613418378,3.51452313,4.680460744,16.67515418,17.29432316,3.105009815,7.012781763,-0.008263322,-0.333721761,-0.000126233,0.046931188,-0.000479392,0.001484452,-0.008102467,-0.0597677,-0.074167842,-0.017025222,8.77E-05,-2.47E-09,100.123217,-0.227263071,-0.027911933,-0.092275627,2.895279332,0.741291024,3.774205348,1.1798894,2.031205646,-0.02782916,4.333007261,43.78124587,34.93552273,38.33679326,30.35430646,28.09624733,39.5912706,17.89619152,23.20830236,625.1996788,0.242737279,-0.041658921,-100.7249171,631.6473514,55.41162638,2.880656969,22.03905459,-2.324166378,58.16065668,2.150065988,142.0096916,-1.349996603,-0.297641277,-4.641290934,78
11,4.5,1.68,62.4,39,1,-2.468869032,0.109617208,169.0300993,0,0.972676511,0,-10.80538118,0.991204687,-4.834264872,-22.14777153,1.377393608,-5.527348874,11.62522263,1.952460762,22.03593768,3.882776737,-5.610003307,-8.617453513,-1.101594868,3.563601529,2.56572182,4.754857501,26.79326932,27.50767679,7.075951821,13.49521979,-0.031093152,-0.458524532,-2.52E-05,0.072953808,0.0014793,0.003046728,-0.019163885,-0.094773892,-0.103753291,-0.0481581,0.000295167,2.42E-09,171.4893075,-0.307149999,-0.039591781,-0.165395192,2.2618139,0.185391953,3.241645918,1.076300584,1.659852723,-0.041507405,3.774132497,41.86289918,34.65785226,38.13909757,29.98068049,27.97204053,37.32487977,17.0532063,22.43320369,602.343932,0.246346333,-0.043598837,-96.20222238,647.938445,58.01376812,0.551488049,6.802941162,-1.994869344,59.67149261,1.508520214,138.4959963,0.12242855,-0.420738328,-2.254978273,79
11,4.5,1.68,62.4,39,1,-2.308193792,0.284511378,169.069835,0,0.974034257,0,-10.08486557,0.214759961,-5.456385659,-25.14632617,1.560104034,-5.536074327,9.036768197,3.164748851,21.19710205,4.140655536,-5.55495649,-8.979541431,-1.342352229,6.102242035,1.708945413,4.895167055,36.46673843,37.54288936,12.55259309,20.9118761,-0.064092577,-0.335769383,0.000291875,0.09274327,0.005558972,0.004339429,-0.030846457,-0.095893122,-0.079846866,-0.087111271,0.000581888,1.45E-08,248.3544362,-0.35500185,-0.048045939,-0.130404152,1.582390462,-0.074212779,2.564612615,0.873174553,1.448073395,-0.041506958,3.195551399,39.18398897,33.96122508,37.34975408,28.89565343,27.64185577,34.81870572,15.59397911,20.94132556,570.5266203,0.249579282,-0.04527342,-89.13489437,660.4242182,57.75904641,0.421461707,-1.364795962,-1.737443424,60.49894822,1.022218235,133.4731189,0.946303849,-0.101732338,-1.203414987,80
11,4.5,1.68,62.4,39,1,-2.107383471,0.483060886,169.0848315,0,0.975492558,0,-9.21099225,-0.609058061,-5.984075252,-28.40393904,1.783164022,-5.496769633,6.22093234,4.071647889,20.43772367,4.352425899,-5.120143457,-9.565491272,-1.421250069,7.718361563,1.090369403,4.93165488,43.92747619,45.77315981,18.91451152,27.94733322,-0.091673683,0.370076364,0.000897246,0.165771844,0.011453149,0.003498629,-0.032041879,0.001633562,0.072803529,-0.107633713,0.000795256,3.52E-08,319.6757457,-0.371353154,-0.053351151,-0.07060761,0.939487151,-0.13733165,1.821067222,0.575663974,1.42594824,-0.042547496,2.613557982,36.00716904,32.54549484,35.63084671,26.98657384,26.91939804,32.20165457,13.53383474,18.76765114,528.6909616,0.25298265,-0.046088005,-80.9902307,668.1061507,55.68448695,1.565771032,-4.760811327,-1.552604934,60.59577014,0.764500599,127.1952705,1.352026614,0.559763205,-0.933439913,81
11,4.5,1.68,62.4,39,1,-1.857689363,0.70513943,168.9733205,0,0.976419256,0,-8.181009811,-1.467693056,-6.396055611,-31.90285841,2.048396993,-5.391047787,3.249569361,4.62347551,19.8003527,4.529250945,-4.280017783,-10.45863373,-1.290353351,8.109363529,0.792008731,4.727617309,48.31660809,51.19654989,25.31466709,33.65875516,-0.074693025,2.032502132,0.00169584,0.459204685,0.01637398,-0.002595472,-0.001816891,0.280436147,0.435388385,-0.053582298,0.000573472,5.86E-08,378.9056919,-0.366344582,-0.057635499,-0.024028313,0.424926075,-0.108997233,1.148890656,0.279683816,1.54313766,-0.043220903,2.073989998,32.32022334,30.1274613,32.64862727,24.15506796,25.56725019,29.49760789,11.00330932,15.96059054,475.4696812,0.256645996,-0.045756794,-72.84997352,670.2559277,52.87792481,3.030836971,-5.406596923,-1.330706304,59.94965076,0.651163038,119.9209702,1.464270022,1.082305372,-0.985478005,82
11,4.5,1.68,62.4,39,1,-1.569724284,0.954627599,168.8216907,0,0.977314457,0,-6.994429272,-2.355724376,-6.696206182,-35.62766616,2.343058688,-5.21988675,0.208104456,4.826809365,19.29619037,4.68683335,-3.077921497,-11.63691731,-0.93039231,7.304055216,0.817235587,4.236910437,49.73541701,53.59502649,30.92669209,37.65337804,0.052621927,4.850540951,0.002211197,1.178207609,0.013325292,-0.017397291,0.087028951,0.809321569,1.042465308,0.158181269,-0.000666944,6.47E-08,424.555414,-0.349850414,-0.063147335,0.000942269,0.073162802,-0.059089211,0.621014502,0.075803804,1.719009727,-0.025862154,1.658909103,28.08614357,26.6067745,28.29350895,20.50888611,23.45177756,26.66975545,8.282160116,12.62734676,411.3909509,0.260141684,-0.04430253,-65.23248418,666.899663,50.02019965,4.208806614,-4.806823302,-1.031325924,58.660343,0.67411759,111.9558545,1.380310636,1.251239905,-0.987118998,83
