Subject_ID,Speed,Height,Weight,Insole_Size,Cycle_ID,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop1,Left_cop2,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop1,Right_cop2,Left_Fx,Left_Fy,Left_Fz,Right_Fx,Right_Fy,Right_Fz,Left_Mx,Left_My,Left_Mz,Right_Mx,Right_My,Right_Mz,time
10,5.4,1.66,61.6,43,1,-1.890725843,1.656556969,173.0058931,0,0.933154896,0,-14.23537524,4.626001897,-7.310049383,-2.297287779,-0.110124026,1.155796638,15.83177436,-4.931911599,21.84346126,1.317170135,-4.84786069,-11.0354834,2.776716938,-6.206121728,10.38225392,-0.882867379,-0.005573577,-0.007498542,-0.000980791,-0.003568018,1.02E-05,-0.000178754,1.82E-06,3.83E-05,2.50E-05,1.80E-05,0.002318866,2.07E-05,1.83E-05,3.51E-05,1.60E-06,-2.90E-06,-0.041374023,4.83E-05,9.63E-06,5.08773525,2.086805536,10.12142446,4.432944309,10.19990489,11.37496919,12.44371025,7.352503132,28.70026401,2.017614659,1.777426925,1.008679302,3.375104183,19.14458515,11.23542501,13.84127374,431.5804424,0.10281076,0.036556911,-2.677216567,-5.267954018,1.561778511,80.27519239,767.5875687,-53.94979178,-0.821229427,0.227937583,-0.163651499,-62.33493385,5.187239736,-111.2261148,20
10,5.4,1.66,61.6,43,1,-1.927806093,1.577819202,172.9603863,0,0.930586317,0,-14.94042691,4.725884635,-7.377997183,-2.789497249,-0.137819219,1.249274773,16.3514295,-4.91676522,21.60544401,1.582128757,-5.016854116,-7.765570345,2.57807481,-6.751645292,10.73071979,0.398086558,-0.005732176,-0.005864285,-0.001914936,-0.0045088,-2.00E-05,-0.000831805,4.62E-06,-0.000113357,6.99E-06,1.65E-05,0.001906984,-2.52E-05,1.23E-05,2.00E-06,-2.98E-06,-1.49E-05,-0.047552723,-2.27E-06,-1.88E-06,4.210383699,1.38434189,9.368007288,4.301638257,9.561442187,11.09632448,12.94851428,7.583109282,30.82630653,2.50622387,2.519844025,1.505214006,3.927711401,20.78085845,12.21605888,15.18519724,447.3126484,0.120582125,0.03717012,-4.107391854,0.251430914,1.38032222,91.18119207,765.4091836,-56.41834267,-0.492335557,0.675578025,0.668862626,-62.55379543,4.658346474,-119.9432934,21
10,5.4,1.66,61.6,43,1,-1.97506119,1.479955549,172.8747197,0,0.927741469,0,-15.53791499,4.779176246,-7.583871259,-3.492711166,-0.143855216,1.469762226,16.85233373,-4.842685558,21.4545224,1.935356469,-5.174729785,-5.036460375,2.289728349,-7.099390144,11.09454954,1.875448413,-0.000166095,0.004997431,-0.00259,-0.002477822,-8.58E-05,-0.001836304,9.61E-06,-0.000432215,7.33E-07,1.66E-05,0.001039815,-0.000107387,1.28E-05,-1.03E-05,-3.94E-06,-4.28E-06,-0.007717616,-0.000143662,-3.32E-05,3.632690526,0.778215878,8.375458372,4.176504445,8.916072451,10.77330441,13.43292551,7.813213232,33.22747542,3.12224193,3.555321484,2.002182758,4.70583232,22.86028168,13.24583527,16.72569538,467.3767237,0.138099092,0.037441171,-3.656135339,20.98020396,0.80925058,103.0626714,751.5925023,-57.29175887,1.241071397,0.846880681,5.36742994,-61.63097206,4.659874271,-127.3499527,22
10,5.4,1.66,61.6,43,1,-2.026356728,1.365644177,172.8377848,0,0.925130892,0,-16.03074447,4.787157628,-7.913903856,-4.425970965,-0.135916259,1.793967665,17.32482508,-4.691376109,21.38706269,2.35307621,-5.357333483,-2.88577351,1.943729362,-7.179513523,11.45647424,3.444804975,0.016018284,0.030988965,-0.001810636,0.005967155,-0.000185007,-0.002796348,1.29E-05,-0.000896471,3.05E-06,1.21E-05,0.000295312,-0.000221211,7.20E-06,-1.08E-05,-3.32E-06,1.15E-05,0.123693196,-0.000398684,-8.85E-05,3.157001608,0.320685513,7.070927165,3.949486538,8.214097343,10.5510628,13.81229094,7.981018448,35.82777816,3.924566011,4.97448036,2.443574672,5.660385369,25.45239341,14.29005495,18.27320283,490.1252341,0.155691075,0.037566382,0.109650342,65.49934863,-0.662228085,115.4759111,723.0010509,-55.89179788,5.230741804,0.651149506,16.39475773,-59.28714604,5.285799538,-132.3728273,23
10,5.4,1.66,61.6,43,1,-2.065414793,1.237513248,172.8006729,0,0.922539617,0,-16.41710524,4.752106121,-8.323692789,-5.604836581,-0.125146811,2.170296256,17.73573495,-4.428871125,21.3560774,2.778968423,-5.623846543,-1.320406826,1.589606287,-6.892098346,11.76555205,4.918305469,0.045740963,0.073191948,0.002333338,0.023988553,-0.000275962,-0.002619891,7.17E-06,-0.001290545,8.87E-06,-8.90E-06,-0.000171129,-0.00031467,-2.09E-05,-7.09E-06,-1.95E-06,1.57E-05,0.377632376,-0.000713221,-0.000154572,2.570335063,0.048653781,5.577956789,3.586662822,7.37933259,10.54407554,14.0502508,8.074782505,38.52165768,4.920615941,6.804273871,2.855156919,6.761361686,28.62035215,15.36081363,19.68690895,514.9395858,0.173204718,0.037339952,4.841337467,139.8596225,-3.443653084,127.2327424,676.5632705,-51.67151303,12.09778764,0.542553946,35.49805344,-55.26389449,6.481520289,-133.6699889,24
10,5.4,1.66,61.6,43,1,-2.072845808,1.09835554,172.7595958,0,0.920005791,0,-16.69786361,4.677131458,-8.763060764,-7.051811538,-0.121018396,2.538884636,18.05192647,-4.013755067,21.31248469,3.144050508,-6.050820155,-0.36741864,1.277961194,-6.111587815,11.96207008,6.068945756,0.083177398,0.117685651,0.01180135,0.050621483,-0.000247651,0.00064013,-1.80E-05,-0.001068303,1.13E-05,-5.96E-05,-0.000370787,-0.000254798,-8.63E-05,-3.22E-06,4.65E-07,-1.08E-05,0.714076268,-0.000868751,-0.000182296,1.827016567,-0.063693499,4.110574339,3.123537189,6.37604918,10.68720133,14.1592429,8.101855072,41.22051204,6.054425091,8.988268514,3.341634833,8.024620583,32.38426338,16.54448093,21.02145276,542.2593484,0.19019992,0.036497704,1.418553041,241.8678065,-7.074064566,135.9196581,610.9436093,-44.67871459,21.74206731,1.539113292,62.21998907,-49.46008463,8.263130049,-129.9676587,25
10,5.4,1.66,61.6,43,1,-2.032744118,0.950796742,172.7569033,0,0.917803251,0,-16.87649386,4.563504959,-9.194094329,-8.794731819,-0.12894602,2.850864234,18.2472883,-3.409722107,21.22174536,3.392635621,-6.705873914,-0.058590539,1.038149235,-4.73096827,11.99830658,6.710019752,0.103470162,0.122022838,0.026635888,0.074043277,9.40E-05,0.009344497,-7.22E-05,0.000693369,6.74E-07,-0.00014425,-0.000300463,0.000182706,-0.000188596,-6.15E-07,4.76E-06,-8.70E-05,0.932256633,-0.000403565,-7.05E-05,1.058322348,-0.079488099,2.856376241,2.651155947,5.236364744,10.70289372,14.15117097,8.053684699,43.87444179,7.272858652,11.4112222,4.030938042,9.460503906,36.69963753,17.93998718,22.47520361,572.6385755,0.206248616,0.03508802,-16.88796659,361.1283518,-8.824280118,138.2152382,527.895288,-35.58128774,33.39680031,3.715852933,94.10653691,-42.12356329,10.1859838,-120.3484735,26
10,5.4,1.66,61.6,43,1,-1.936974597,0.798361279,172.7007663,0,0.915473902,0,-16.94524792,4.406718814,-9.592541061,-10.83310771,-0.150506101,3.076477267,18.2871869,-2.602287658,21.05320611,3.502039512,-7.602131643,-0.377800874,0.863283479,-2.740844032,11.8459263,6.771858714,0.053132375,0.006299998,0.041321056,0.063621694,0.000977844,0.02456373,-0.000152402,0.005032171,-3.45E-05,-0.000237515,0.000133529,0.001247463,-0.000287249,7.77E-07,1.12E-05,-0.000218385,0.58007408,0.001358328,0.00032513,0.442794907,-0.055945543,1.914226128,2.253309042,4.028958651,10.30099658,13.99929146,7.897070667,46.41151108,8.522834658,13.90455316,4.994903332,10.94984164,41.39163395,19.55077264,24.18904356,604.9200542,0.221051921,0.033579193,-46.47504059,485.4193471,-6.146244307,131.0573741,432.9253199,-25.72738065,46.16911918,5.943469881,128.0444684,-33.8839856,11.23426449,-104.9640428,27
10,5.4,1.66,61.6,43,1,-1.785468554,0.656297005,172.6822345,0,0.913553662,0,-16.90074391,4.192637472,-9.967150625,-13.17580349,-0.185047809,3.189446866,18.10396626,-1.60315327,20.81360108,3.499379515,-8.682072949,-1.255668701,0.717674921,-0.299684897,11.51366813,6.334813725,-0.147476882,-0.333175762,0.040148247,-0.033195585,0.002492842,0.042532429,-0.000222938,0.012225244,-0.000101236,-0.000257183,0.0010704,0.002998628,-0.00027001,1.48E-06,1.79E-05,-0.000366422,-1.042882122,0.004998981,0.001121527,0.07123143,-0.027325964,1.258309055,1.939081739,2.838338216,9.397482371,13.64644253,7.599018376,48.65770366,9.714861545,16.25308892,6.214412792,12.22006929,46.08857086,21.19171457,26.07639101,635.1228088,0.234426578,0.032582414,-80.38559577,602.2796507,1.946342816,113.6829312,334.5287105,-16.96365493,59.03130482,7.314975941,159.990887,-25.59591676,10.80861912,-85.51553839,28
10,5.4,1.66,61.6,43,1,-1.581332935,0.551198975,172.65722,0,0.91188744,0,-16.72187256,3.892465704,-10.33111071,-15.81000702,-0.229286724,3.148986941,17.56460352,-0.447196089,20.50087157,3.446845613,-9.808864814,-2.528564584,0.559392368,2.268259062,11.02323069,5.595475126,-0.569554869,-0.959582985,-0.005405156,-0.276798411,0.004231478,0.049531459,-0.000191512,0.020071009,-0.000187305,-4.40E-05,0.002501628,0.004884948,6.34E-05,1.86E-06,1.86E-05,-0.000405576,-4.615796761,0.010218714,0.002233946,-0.083966297,-0.007394856,0.782044339,1.654675588,1.77185256,8.115713108,13.05270907,7.171584204,50.37767224,10.7618039,18.25569988,7.590894117,13.02153701,50.32988976,22.55408589,27.85728709,658.3019202,0.246234261,0.03243276,-111.60683,700.9273837,15.62211478,89.01541171,241.8005706,-10.61705889,70.92836289,7.267905497,185.9082267,-18.03874574,9.038189098,-64.62357775,29
