time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
14.9,-25.116377,-0.338120554,-10.69734074,0.061727335,0.000268193,0.024456933,7.41e-05,-0.037160251,0.000208573,-37.050702545931756,-1.0865507923105504,-3.720526804528571,-0.00023944,6.35e-06,-0.000258137,-4.86e-07,0.000387528,-2.67e-06
14.91,-25.13776763,-0.771495139,-10.4532725,0.057902348,0.000246821,0.022007241,0.000113436,-0.056923713,0.000319502,-37.12643577093176,-1.117307002310552,-3.604813762528571,-0.000245375,6.35e-06,-0.000257243,-4.51e-07,0.000359654,-2.47e-06
14.92,-25.33426713,0.409324706,-10.75393496,-0.016727078,-6.79e-05,-0.007577028,1.4e-05,-0.007038951,3.95e-05,-36.98970158293176,-1.2510950723105516,-3.530170817528571,-0.00024082,6.37e-06,-0.000254895,-4.62e-07,0.000368265,-2.53e-06
14.93,-25.64457679,4.752900382,-11.76818916,0.006556458,3.03e-05,0.001664255,4.43e-05,-0.022226092,0.000124751,-36.855525721931755,-1.3294904823105504,-3.472730616528571,-0.000242355,6.32e-06,-0.000261492,-5.16e-07,0.000411869,-2.83e-06
14.94,-26.10401839,9.2505368,-12.80472099,-0.002587798,-8.48e-06,-0.002002136,3.41e-05,-0.017090653,9.59e-05,-36.87036330893176,-0.9858525823105513,-3.505178879528571,-0.000245044,6.35e-06,-0.000256123,-4.87e-07,0.000388422,-2.67e-06
14.95,-26.01355961,18.26026179,-15.2725822,0.00023839,3.85e-06,-0.000808426,3.4e-05,-0.017045369,9.57e-05,-37.09576214293176,-1.1105953023105517,-3.571462787528571,-0.00024311,6.33e-06,-0.000259461,-4.74e-07,0.0003784,-2.6e-06
14.96,-24.57681031,41.06950307,-11.58956838,0.00011105,2.92e-06,-0.000928718,3.71e-05,-0.018603076,0.000104415,-37.23383499593176,-1.1183151423105517,-3.556541769528571,-0.00024372,6.34e-06,-0.000258015,-5.08e-07,0.000405544,-2.79e-06
14.97,-21.98493558,79.22564481,-4.660746168,-0.000741278,-5.3e-07,-0.001241017,3.49e-05,-0.017496584,9.82e-05,-36.952664319931756,-1.0739357123105506,-3.467529260528571,-0.00024024,6.35e-06,-0.000258044,-5.39e-07,0.000430309,-2.96e-06
14.98,-19.37029004,125.4668795,1.247094695,0.000209643,3.43e-06,-0.000872857,3.7e-05,-0.018543125,0.000104079,-37.10901420393176,-1.1518761723105513,-3.644468455528571,-0.000244236,6.35e-06,-0.000257279,-4.25e-07,0.000338842,-2.33e-06
14.99,-18.14042895,151.4074235,0.236679973,-0.000543141,3.65e-07,-0.001151945,3.5e-05,-0.017585982,9.87e-05,-37.06438924593176,-1.1486830523105507,-3.558776162528571,-0.000243861,6.31e-06,-0.000261918,-3.85e-07,0.000307059,-2.11e-06
