fold,test_subject,n_test_trials,n_test_windows,rmse_N_ground_force_left_vx,rmse_pctbw_ground_force_left_vx,pearson_r_ground_force_left_vx,rmse_N_ground_force_left_vy,rmse_pctbw_ground_force_left_vy,pearson_r_ground_force_left_vy,rmse_N_ground_force_left_vz,rmse_pctbw_ground_force_left_vz,pearson_r_ground_force_left_vz,rmse_N_ground_force_right_vx,rmse_pctbw_ground_force_right_vx,pearson_r_ground_force_right_vx,rmse_N_ground_force_right_vy,rmse_pctbw_ground_force_right_vy,pearson_r_ground_force_right_vy,rmse_N_ground_force_right_vz,rmse_pctbw_ground_force_right_vz,pearson_r_ground_force_right_vz,rmse_N_resultant,rmse_pctbw_resultant,pearson_r_resultant,peak_err_pctbw_ground_force_left_vx,impulse_err_pctbw_s_ground_force_left_vx,peak_lag_frames_ground_force_left_vx,peak_err_pctbw_ground_force_left_vy,impulse_err_pctbw_s_ground_force_left_vy,peak_lag_frames_ground_force_left_vy,peak_err_pctbw_ground_force_left_vz,impulse_err_pctbw_s_ground_force_left_vz,peak_lag_frames_ground_force_left_vz,peak_err_pctbw_ground_force_right_vx,impulse_err_pctbw_s_ground_force_right_vx,peak_lag_frames_ground_force_right_vx,peak_err_pctbw_ground_force_right_vy,impulse_err_pctbw_s_ground_force_right_vy,peak_lag_frames_ground_force_right_vy,peak_err_pctbw_ground_force_right_vz,impulse_err_pctbw_s_ground_force_right_vz,peak_lag_frames_ground_force_right_vz
1,z1,26,299,15.190529739469346,1.9484313784981482,0.8474690450041192,355.03313555582343,45.53874773215896,0.8582733815792042,20.646482497649416,2.648245653310458,0.6513781795637494,18.880906588839732,2.4217819577813415,0.6710527731510939,351.1888218680425,45.04565226106422,0.8201577664165174,45.645967034470495,5.85483429460448,0.3588154379950649,338.70329738891894,43.4441816020837,0.5112155993233243,0.5349523452006171,2.153198049823471,87.92307692307692,67.01332449869238,8.408859545767712,25.153846153846153,7.011141824887303,0.42686866677786167,12.846153846153847,3.357907052653057,2.083750375868846,23.884615384615383,63.21320433742712,2.533493549961751,13.423076923076923,14.983363546444359,4.478225170374049,133.8846153846154
2,z2,20,141,10.815196689884361,1.838071901870051,0.8564238532698643,271.92389715647903,46.214201104434075,0.8898097169993815,15.684937398578384,2.6656974941457046,0.7065338256601478,16.204373521328094,2.7539770668080834,0.7334134344101709,261.94307611720757,44.517933599004685,0.8445996080334762,40.23484983216117,6.838021450097837,0.7179286294515652,245.21788406072304,41.675442014810194,0.7322375285102026,1.4845473410196313,0.4214985400113814,55.65,35.852039274035796,36.05040782214586,18.0,6.635459265061071,0.9455899703264301,9.6,3.154206474353743,1.9502775137995512,39.4,48.938611347306164,26.547419982108885,10.15,16.952972262693663,5.1482222278870555,46.9
3,z3,31,217,15.838041772734389,2.139113639401185,0.7693574656203889,331.4196405018879,44.76211665153531,0.8658693618611873,23.30103138518396,3.147078077162866,0.6639111455536667,22.316844577907947,3.014152084582954,0.6897872966507617,349.7221263755992,47.23408242414761,0.7895484447081025,56.98345138989573,7.696284669366402,0.677213897448752,327.4127783417132,44.220942835919686,0.6146156775972019,3.0495951433505972,1.592017085897669,94.70967741935483,66.97030702420092,2.6544990366351846,22.451612903225808,7.598436356105805,1.2355568511922048,5.419354838709677,4.850727012213598,1.09474852389777,34.25806451612903,71.91127433370781,2.6601046489027653,19.516129032258064,17.36083495512156,1.7374152382656955,117.3225806451613
4,z4,29,269,17.483419919058672,2.602646240841662,0.8545416688328258,316.81481044780674,47.16221879199382,0.8703525317033342,25.539085244818132,3.8018422319367056,0.6913575250924938,26.38299912942441,3.9274703590155675,0.7406637718964916,311.6382828671419,46.39162184295276,0.74141647240353,50.15777936292921,7.466671653043601,0.46159828962288274,301.81136787066504,44.92875110638875,0.3146842839091612,3.5693483367766023,2.599591594969631,75.0,55.200216101604084,23.373815187309503,16.586206896551722,7.908817678019014,3.3810975023200713,8.724137931034482,8.679629179648707,4.443597894205788,42.689655172413794,62.26430133797315,8.057424673153523,13.620689655172415,19.076166592348372,3.243331349183394,120.0
