"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
144.37,0,,16.877,-1.76271,1.8604,-4.43709,12.3162,-0.886803,37.8116,-0.75327,16.3658,1.52509,1.84316,-6.89713,3.21846,0.644295,-0.774832,-0.774832,1.34321,-1.34321,-1.54884,1.54884,3.11274,-1.2297,4.19442,-1.23899,14.2193,1.56967,152.994,0.738232,1.3638,140.48,17.8934,-0.666864,138.43,-19.6455,7.02345,137.21,-3.01892,4.95967,152.072,-0.933913,5.81594,152.165,-0.18708,8.15351,153.019,1.22988,1.27176,-76.6732,56.1612,-69.3371,104.518,-104.001,-56.1601,-43.953,202.112,-86.4572,-494.061,279.29,284.586,-23.9513,10.7157,-86.9268,14.6735,101.586,1.4471,-13.2737,-23.0433,10.8156,-0.323252,-0.534867,-0.40791,-0.694987,-0.170176,-0.696147,-0.732595,0.0329613,-0.643355,0.124638,-0.0404068,0.904148,0.320512,-0.724769,0.258925,0.0929028,-0.727657,0.0881417,0.0103158,-0.199173,0.814883
144.38,0,,18.3001,-1.85251,1.87237,-4.45062,11.9439,-0.946194,39.9078,-0.898638,14.4485,1.50438,2.39494,-6.99088,3.85857,0.727838,-0.759406,-0.759406,1.37391,-1.37391,-1.53729,1.53729,5.6987,-1.24334,3.33171,-1.24637,14.786,1.59731,152.956,0.722301,1.3938,140.771,19.2821,-0.816191,138.605,-20.3189,7.21404,136.562,-5.50739,4.79135,151.968,-1.03352,5.86236,152.077,-0.14198,8.25304,153.013,1.24332,1.28145,-46.3968,52.7368,-76.1637,108.407,-197.295,-66.9025,-127.941,119.104,-61.5089,-403.4,224.124,715.754,-17.0923,5.83339,-89.3385,39.0749,148.456,-13.1686,-9.43134,-14.2136,-3.46099,-0.32283,-0.534998,-0.407856,-0.691271,-0.173596,-0.699877,-0.733063,0.0385758,-0.641628,0.145272,-0.0466336,0.903678,0.321798,-0.724655,0.258805,0.0933869,-0.728235,0.088687,0.010194,-0.19918,0.814911
144.39,0,,19.679,-1.96227,1.86584,-4.45987,11.3824,-0.983987,41.9792,-1.07044,12.1623,1.47924,2.72468,-7.07812,4.56599,0.773407,-0.74433,-0.74433,1.40437,-1.40437,-1.52574,1.52574,8.69171,-1.25925,2.49282,-1.25376,15.2492,1.6096,152.912,0.706689,1.4238,141.27,20.6287,-0.886234,139.017,-21.028,7.22902,135.968,-8.38661,4.7959,151.885,-1.15383,5.90451,152.017,-0.09354,8.3466,152.997,1.259,1.28872,-16.1205,45.8878,-89.3465,79.1098,-296.347,-74.7218,-102.537,-19.4943,-68.4037,-373.543,-31.7156,828.015,9.29289,25.8698,-67.8816,78.6389,182.601,-53.6873,-8.38341,-10.7679,6.92198,-0.322408,-0.535129,-0.407801,-0.687605,-0.177624,-0.703109,-0.73441,0.0451682,-0.639313,0.168402,-0.0553608,0.902069,0.323316,-0.724454,0.258677,0.0936945,-0.728803,0.0891166,0.0100716,-0.199174,0.815008
144.4,0,,20.9913,-2.082,1.85876,-4.48693,10.6797,-0.961041,43.9609,-1.25765,9.91029,1.46444,2.87159,-7.13672,5.32925,0.76328,-0.719086,-0.719086,1.42405,-1.42405,-1.51323,1.51323,11.6528,-1.28425,1.80169,-1.25819,15.5925,1.6311,152.863,0.6812,1.44249,141.918,21.9035,-0.870182,139.594,-21.7354,7.12665,135.446,-11.22,4.97445,151.858,-1.30077,5.95234,152.011,-0.0534514,8.4103,152.986,1.28364,1.29356,32.7254,53.71,-81.5421,40.5273,-361.328,-83.0161,-56.1349,-148.911,-153.772,-386.183,-190.486,977.101,4.8677,28.7865,-43.9422,68.8566,195.82,-73.7537,-18.1641,-7.75289,4.75886,-0.321978,-0.535186,-0.407676,-0.684076,-0.182388,-0.705745,-0.736228,0.0523087,-0.636738,0.190564,-0.0651897,0.899715,0.324913,-0.724295,0.25838,0.0936346,-0.729239,0.0892397,0.00988831,-0.199109,0.815114
144.41,0,,22.2112,-2.22834,1.83862,-4.52059,9.97085,-0.84496,45.8214,-1.46469,8.08057,1.44226,3.61787,-7.16406,6.26794,0.649358,-0.700154,-0.700154,1.44116,-1.44116,-1.50071,1.50071,14.135,-1.30698,0.605331,-1.27,16.0366,1.64185,152.824,0.662083,1.45901,142.593,23.0929,-0.816191,140.209,-22.4122,6.97601,134.809,-13.5775,4.58778,151.924,-1.4773,6.00207,152.11,-0.0250554,8.4531,152.964,1.30604,1.30567,52.7212,44.446,-70.804,15.6212,-384.286,-69.8256,-36.6071,-257.325,-216.823,-696.306,114.176,731.843,-0.497833,24.4115,-30.7489,39.0749,145.487,-78.1432,-22.0065,-7.32218,9.95035,-0.321616,-0.535254,-0.407559,-0.680827,-0.187938,-0.707684,-0.738133,0.059329,-0.634124,0.210823,-0.068484,0.897922,0.326367,-0.72427,0.2577,0.0929634,-0.729607,0.0887517,0.00970521,-0.199109,0.815238
144.42,0,,23.3215,-2.38798,1.80867,-4.56217,9.40623,-0.619548,47.4777,-1.69816,6.88836,1.389,4.57786,-7.17187,7.19732,0.430374,-0.677715,-0.677715,1.45616,-1.45616,-1.4882,1.4882,15.8829,-1.31153,-0.648229,-1.28181,16.5379,1.65414,152.775,0.639461,1.47314,143.114,24.1697,-0.788952,140.692,-22.9975,6.83952,134.134,-15.2081,3.98161,152.099,-1.68242,6.05464,152.313,0.00167036,8.47898,152.942,1.31052,1.32021,71.2907,34.1726,-53.7095,19.0717,-359.381,-57.1466,-27.3635,-343.225,-214.827,-1051.76,421.914,1007.49,0,3.9312,1.4541,8.80408,49.3439,-68.8335,-10.13,-10.7679,12.5461,-0.321241,-0.5353,-0.407426,-0.677953,-0.194163,-0.7089,-0.739771,0.0650657,-0.631735,0.226029,-0.0673876,0.89722,0.327597,-0.724413,0.256609,0.0915595,-0.729973,0.087653,0.00964454,-0.199178,0.81533
144.43,0,,24.3094,-2.58531,1.74715,-4.58461,9.10065,-0.325296,48.9343,-1.92723,5.50572,1.3609,4.74314,-7.17187,8.13315,0.137973,-0.687182,-0.687182,1.48334,-1.48334,-1.47568,1.47568,17.7186,-1.33653,-1.09627,-1.30101,17.2844,1.66489,152.742,0.648701,1.50053,143.378,25.1525,-0.860454,140.939,-23.4691,6.77294,133.172,-16.8933,4.32507,152.346,-1.90136,6.09679,152.593,0.0100221,8.50684,152.931,1.33517,1.33959,72.744,29.7748,-49.7979,34.191,-289.533,-54.187,-107.434,-399.444,-128.915,-249.101,-256.416,1663.9,21.4621,-17.1197,17.5911,21.9559,-71.7537,-64.9264,-23.753,-13.1368,-3.46099,-0.320941,-0.535553,-0.407311,-0.675493,-0.200933,-0.70943,-0.740904,0.0689752,-0.62975,0.238838,-0.0734276,0.897122,0.328449,-0.724711,0.25508,0.0897849,-0.730365,0.0860006,0.00939997,-0.199231,0.815417
144.44,0,,25.2255,-2.77711,1.66657,-4.59154,9.00758,0.00674888,50.227,-2.12105,3.50332,1.36238,4.7039,-7.16666,8.83698,-0.193668,-0.702608,-0.702608,1.51919,-1.51919,-1.46124,1.46124,20.121,-1.36608,-1.42515,-1.30987,18.02,1.67411,152.709,0.663676,1.53661,143.416,26.0646,-1.02243,140.994,-23.8338,6.76628,132.14,-19.0958,5.04042,152.643,-2.11338,6.129,152.912,-0.0100221,8.51879,152.92,1.36429,1.34928,66.904,35.6505,-39.5487,70.8287,-194.861,-58.0966,-171.404,-388.628,-65.4099,871.091,-229.89,1006.42,38.1119,-49.3302,27.8407,-2.44558,-206.566,-59.0897,-30.7392,-5.38395,-8.65247,-0.320636,-0.535858,-0.40725,-0.673312,-0.207957,-0.709507,-0.74162,0.0712932,-0.628149,0.254718,-0.0836241,0.895816,0.328752,-0.725194,0.253186,0.0878961,-0.730636,0.0839896,0.0091561,-0.199176,0.815503
144.45,0,,26.0844,-2.96668,1.56476,-4.56679,9.10685,0.315848,51.3356,-2.27523,3.81793,1.38013,5.21478,-7.16797,9.53796,-0.502524,-0.735214,-0.735214,1.57614,-1.57614,-1.44777,1.44777,19.9774,-1.39109,-1.87796,-1.3143,18.7965,1.67564,152.676,0.695219,1.59422,143.252,26.9347,-1.27098,140.857,-24.0475,6.84035,131.321,-18.8688,4.805,152.906,-2.3047,6.14984,153.197,-0.0501107,8.53173,152.909,1.38893,1.35412,68.8417,42.4634,-26.3658,85.9481,-124.526,-38.5849,-184.566,-316.94,-69.8552,-444.808,921.868,-249.906,55.6467,-94.2219,48.34,-6.3585,-299.81,-40.5187,-28.294,-18.9515,3.89361,-0.320262,-0.536334,-0.407241,0.671232,0.214792,0.709442,-0.741724,0.0719018,-0.627279,0.254217,-0.0792255,0.898825,0.328515,-0.725822,0.250995,0.0863055,-0.73085,0.0820329,0.0089728,-0.199111,0.815609
144.46,0,,26.9302,-3.13408,1.46567,-4.51564,9.44501,0.552059,52.2648,-2.37214,5.77302,1.43486,4.33076,-7.15885,9.72125,-0.749356,-0.766067,-0.766067,1.64245,-1.64245,-1.43237,1.43237,17.99,-1.41382,-0.652995,-1.33498,19.1752,1.66489,152.665,0.72485,1.66095,142.84,27.7838,-1.63287,140.511,-24.0916,6.96186,131.145,-16.9631,5.43505,153.12,-2.46644,6.15457,153.428,-0.116925,8.54964,152.898,1.41357,1.37592,65.4238,42.968,-8.78233,95.6721,-64.9806,-18.0501,-132.838,-138.221,-62.0532,-1360.36,811.536,491.589,66.8756,-147.927,68.8392,5.38027,-350.073,-56.1473,-33.1843,-14.6444,-6.48936,-0.31991,-0.536784,-0.40738,0.669116,0.221146,0.709463,-0.741387,0.0704397,-0.626999,0.237378,-0.0784951,0.903243,0.327722,-0.726556,0.248554,0.0852696,-0.730987,0.0802645,0.0087287,-0.199173,0.815676
