time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
108.23,-25.36901278,-0.554965153,-10.88569896,-0.001221316,-1.9e-06,-0.001315284,2.88e-05,-0.014440588,8.11e-05,-25.34184746530165,-0.5918371727557723,-11.104096198076011,-0.000241193,6.29e-06,-0.000265853,-4.1e-07,0.000327231,-2.25e-06
108.24,-25.49766314,-0.815536243,-10.59720275,-0.001408049,-2.32e-06,-0.001322973,2.56e-05,-0.012840405,7.21e-05,-25.505082606301652,-0.1798218727557721,-10.99892681107601,-0.000240846,6.35e-06,-0.00025713,-3.62e-07,0.00028859,-1.98e-06
108.25,-24.74414537,2.361432353,-11.28899121,-0.000606554,1.14e-06,-0.000991512,2.56e-05,-0.012865519,7.22e-05,-25.455999080301652,-0.41167046275577235,-10.921225400076011,-0.000241153,6.32e-06,-0.000261128,-4.5e-07,0.000358938,-2.47e-06
108.26,-24.64064401,6.924522634,-11.14927068,-0.000198497,1.06e-06,-0.001151409,4.27e-05,-0.021423375,0.000120245,-25.318607237301652,-0.5248887727557712,-11.008979418076011,-0.000243185,6.3e-06,-0.000264603,-3.87e-07,0.000308564,-2.12e-06
108.27,-24.72562946,20.42015533,-8.244547631,-0.000125939,1.77e-06,-0.00104977,3.9e-05,-0.019556786,0.000109768,-25.271433132301652,-0.6114897827557719,-11.10376623707601,-0.00024043,6.31e-06,-0.0002636,-3.4e-07,0.000271044,-1.86e-06
108.28,-23.78648336,43.16158886,-7.199485457,-0.000255787,1.07e-06,-0.001128091,4e-05,-0.020059141,0.000112588,-25.15310363930165,-0.4493776227557724,-11.161657296076012,-0.000239539,6.3e-06,-0.000265245,-5.02e-07,0.000400852,-2.76e-06
108.29,-21.02292799,106.4977282,-4.316492967,-0.00017101,1.59e-06,-0.001065916,3.8e-05,-0.019077638,0.000107079,-25.36747434330165,-0.4630397827557715,-10.939469023076011,-0.000243465,6.29e-06,-0.000265619,-4.01e-07,0.000319734,-2.2e-06
108.3,-18.61733474,180.674201,-3.967399899,-0.000230065,1.44e-06,-0.001071416,3.68e-05,-0.018446166,0.000103535,-25.42411800830165,-0.42420719275577135,-10.792691258076012,-0.000240263,6.3e-06,-0.000264494,-4.19e-07,0.000334554,-2.3e-06
108.31,-19.82192969,206.6297911,-12.19189802,-0.000197938,1.61e-06,-0.001051857,3.61e-05,-0.018097947,0.00010158,-25.20634982830165,-0.26823470275577144,-10.959982372076011,-0.000240311,6.31e-06,-0.000263774,-4.66e-07,0.000371639,-2.56e-06
108.32,-22.63919114,232.368883,-19.55042203,-0.000209496,1.62e-06,-0.001047136,3.51e-05,-0.017631962,9.9e-05,-25.47487946830165,-0.48739831275577217,-11.059376011076012,-0.000240261,6.31e-06,-0.000262769,-3.69e-07,0.000294268,-2.02e-06
108.33,-26.02890871,265.4375015,-22.65553494,-0.000201499,1.66e-06,-0.001041959,3.49e-05,-0.017501321,9.82e-05,-25.408422955301653,-0.5699664627557723,-11.11449657407601,-0.000243777,6.27e-06,-0.000268285,-3.16e-07,0.00025245,-1.74e-06
108.34,-29.23157268,293.1366836,-21.26354879,-0.000199675,1.68e-06,-0.001040166,3.49e-05,-0.017521187,9.83e-05,-25.20852078530165,-0.5184436427557717,-10.942778330076012,-0.000241961,6.31e-06,-0.000262929,-3.77e-07,0.000301041,-2.07e-06
108.35,-31.80963512,311.2168772,-20.47303629,-0.000198697,1.68e-06,-0.00104025,3.5e-05,-0.017564074,9.86e-05,-25.330819577301654,-0.5267016627557712,-10.83666362207601,-0.000242164,6.31e-06,-0.00026238,-3.84e-07,0.000306572,-2.11e-06
108.36,-34.13135094,328.1788835,-22.73106365,-0.000196015,1.7e-06,-0.001037442,3.45e-05,-0.017322362,9.72e-05,-25.31249722630165,-0.6852044627557721,-10.982818759076011,-0.000242246,6.27e-06,-0.000268711,-3.31e-07,0.000264382,-1.82e-06
108.37,-35.9256444,357.4310165,-24.73771201,-0.000195964,1.71e-06,-0.001036166,3.39e-05,-0.016995445,9.54e-05,-25.357893880301653,-0.5339137327557726,-10.815464202076011,-0.000240102,6.31e-06,-0.000262989,-3.96e-07,0.000315671,-2.17e-06
108.38,-39.94772069,405.015831,-25.6196692,-0.000193046,1.73e-06,-0.001033287,3.37e-05,-0.016893428,9.48e-05,-25.495388698301653,-0.4376220327557725,-10.96009370007601,-0.000242702,6.31e-06,-0.000263404,-3.91e-07,0.000312279,-2.15e-06
108.39,-47.49927776,479.038716,-28.96079428,-0.000190609,1.77e-06,-0.001027126,3.29e-05,-0.01652712,9.28e-05,-25.453961539301652,-0.7852802327557722,-11.015994971076012,-0.000238387,6.29e-06,-0.000265904,-4.1e-07,0.000327113,-2.25e-06
108.4,-53.28020226,546.4130727,-36.10343086,-0.000189095,1.8e-06,-0.001021185,3.2e-05,-0.016052356,9.01e-05,-25.24770479730165,-0.6548875627557713,-10.97282909707601,-0.000245347,6.31e-06,-0.000262834,-4.26e-07,0.00033969,-2.34e-06
108.41,-55.91218629,591.2822822,-39.4075477,-0.000188917,1.82e-06,-0.001018016,3.17e-05,-0.015888079,8.92e-05,-25.46796071630165,-0.6734583127557716,-10.99660344407601,-0.000243339,6.3e-06,-0.000263515,-2.7e-07,0.000215668,-1.48e-06
108.42,-56.55967583,629.3394765,-40.08197057,-0.000189464,1.84e-06,-0.00101545,3.13e-05,-0.015709465,8.82e-05,-25.46897337630165,-0.6793451627557712,-11.05112125207601,-0.000241042,6.29e-06,-0.000266458,-3.07e-07,0.000245094,-1.69e-06
108.43,-56.98564003,660.8071306,-40.83586569,-0.000190033,1.84e-06,-0.001013948,3.09e-05,-0.015523078,8.71e-05,-25.296085480301652,-0.5736238427557723,-11.184847965076012,-0.000244973,6.3e-06,-0.000264059,-3.97e-07,0.000316662,-2.18e-06
108.44,-57.14891582,688.3428751,-40.27704973,-0.000190568,1.85e-06,-0.001013083,3.07e-05,-0.015414427,8.65e-05,-25.218926672301652,-0.5443010127557724,-11.016472283076011,-0.000243734,6.32e-06,-0.000261283,-3.59e-07,0.000286658,-1.97e-06
108.45,-56.81414346,708.8781315,-39.53794745,-0.000191045,1.85e-06,-0.001012257,3.07e-05,-0.015387364,8.64e-05,-25.21796270030165,-0.45938085275577123,-11.01022353507601,-0.000243632,6.31e-06,-0.000262746,-2.62e-07,0.000209278,-1.44e-06
108.46,-56.39975712,721.4077439,-38.89824528,-0.000191301,1.85e-06,-0.001011452,3.05e-05,-0.01531775,8.6e-05,-25.328914408301653,-0.550159782755772,-11.13316586407601,-0.00024542,6.29e-06,-0.000265287,-3.28e-07,0.000261943,-1.8e-06
108.47,-55.96006143,727.4018235,-38.2507092,-0.00019149,1.86e-06,-0.001010815,3.06e-05,-0.015340339,8.61e-05,-25.16046644730165,-0.8309763027557722,-10.94675414607601,-0.000242269,6.28e-06,-0.000266683,-4.17e-07,0.000332984,-2.29e-06
108.48,-55.52382465,729.2199606,-37.37169955,-0.000191365,1.86e-06,-0.00101004,3.04e-05,-0.015276642,8.57e-05,-25.378858994301652,-0.7497379527557726,-11.05649268107601,-0.000244874,6.29e-06,-0.000264898,-3.04e-07,0.000242136,-1.67e-06
108.49,-55.21885887,729.6855671,-36.12919249,-0.000190998,1.87e-06,-0.001008661,3.05e-05,-0.01528961,8.58e-05,-25.22926069830165,-0.5895258727557717,-11.19675345707601,-0.000243995,6.27e-06,-0.000267807,-3.33e-07,0.000265601,-1.83e-06
108.5,-55.6132956,728.2422057,-35.28534749,-0.000190119,1.88e-06,-0.001007086,3.06e-05,-0.015343233,8.61e-05,-25.101001751301652,-0.5322375927557719,-10.89800421407601,-0.000241884,6.32e-06,-0.000261638,-3.71e-07,0.000295573,-2.03e-06
108.51,-56.46669328,724.4625009,-34.15434166,-0.000188917,1.89e-06,-0.00100556,3.04e-05,-0.015271126,8.57e-05,-25.39630133430165,-0.7626841627557717,-10.925032009076011,-0.000246328,6.28e-06,-0.000266535,-3.31e-07,0.000264374,-1.82e-06
108.52,-57.51647932,716.5196026,-32.78069762,-0.000187496,1.9e-06,-0.00100397,3.05e-05,-0.015329657,8.6e-05,-25.09373713130165,-0.674598602755772,-10.93792717507601,-0.000240563,6.29e-06,-0.000266447,-3.39e-07,0.000270199,-1.86e-06
