"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
19.49,0,,5.84172,8.46117,-0.261865,-3.48213,0.463318,-7.49049,5.86375,8.01185,1.74208,4.6908,-3.19273,-4.35539,-4.95787,3.16532,3.90123,3.90123,1.06098,-1.06098,-0.927971,0.927971,2.15296,-1.41527,2.73008,-2.35454,-5.49894,-3.46328,12.7017,-43.9426,-4.39234,-11.7149,128.9,-64.4521,-24.9115,430.18,108.389,14.2363,20.0489,-3.84784,-7.32131,86.4395,42.4915,43.9583,211.939,63.9602,2.36891,29.3231,-7.84108,-0.36739,-0.571197,-0.383138,-0.715696,-0.145825,-0.668267,-0.623199,-0.060916,-0.766821,0.289628,-0.0797164,0.863879,0.243913,-0.716661,0.260454,0.0847836,-0.726551,0.0705004,0.175303,-0.256362,0.676613
19.5,0,,6.12754,8.38952,-0.251632,-3.45665,0.763923,-7.62149,6.61985,8.00084,2.23544,4.74919,-3.17735,-4.45463,-5.20873,3.21863,3.89617,3.89617,1.16412,-1.16412,-0.904177,0.904177,2.12877,-1.42231,2.81779,-2.39106,-5.42799,-3.54742,21.4888,-51.2583,4.39234,-20.5141,137.711,-79.5817,-10.263,533.688,121.562,-1.89817,2.93398,-7.37502,-12.1903,67.8866,27.3518,17.59,140.129,55.6759,7.73844,19.073,-14.1139,-0.367146,-0.571381,-0.383993,-0.714589,-0.147593,-0.669358,-0.623193,-0.0589622,-0.766204,0.288957,-0.0801438,0.864064,0.244276,-0.717079,0.259963,0.085759,-0.727089,0.0703162,0.175181,-0.256606,0.676673
19.51,0,,6.47603,8.31033,-0.217213,-3.41844,1.02316,-7.72599,7.51698,7.97219,2.82513,4.8357,-3.18043,-4.5312,-5.40571,3.24418,3.90123,3.90123,1.27277,-1.27277,-0.878896,0.878896,2.08845,-1.45986,2.90003,-2.44828,-5.34339,-3.62493,52.2575,-66.4,-14.1571,-23.4298,156.755,-74.717,5.38017,591.792,147.47,-22.4617,-3.91197,3.84784,-25.8734,54.6747,22.947,-36.1218,9.26925,57.6184,0,-11.2881,-33.7166,-0.366897,-0.571496,-0.384965,-0.713231,-0.149666,-0.670688,-0.623499,-0.0562157,-0.765351,0.288216,-0.0805077,0.864283,0.244652,-0.717475,0.259302,0.0864897,-0.727625,0.0698876,0.17475,-0.256967,0.67672
19.52,0,,6.94679,8.27513,-0.186515,-3.38659,1.26723,-7.84669,8.55979,7.93032,3.46299,4.94167,-3.17428,-4.62028,-5.55809,3.28638,3.95536,3.95536,1.38555,-1.38555,-0.853615,0.853615,2.08039,-1.52323,2.96033,-2.49698,-5.22877,-3.70022,61.51,-92.2843,-20.5097,-20.0455,201.664,-69.3402,39.0627,655.303,164.524,-2.37271,18.5819,30.7827,-27.8281,37.5977,21.4963,-26.3682,-56.1608,51.7623,-0.473782,-18.035,-34.1647,-0.36653,-0.571311,-0.386184,-0.711753,-0.152287,-0.672079,-0.624064,-0.0528598,-0.76427,0.287786,-0.080812,0.864457,0.245064,-0.717919,0.258614,0.087163,-0.72819,0.0695229,0.174081,-0.257215,0.67673
19.53,0,,7.55664,8.28896,-0.155351,-3.3505,1.49199,-8.02773,9.78988,7.87083,4.19792,5.05088,-3.1589,-4.72499,-5.69839,3.413,4.06713,4.06713,1.51579,-1.51579,-0.828333,0.828333,2.08039,-1.59364,3.01515,-2.56029,-5.12234,-3.74672,39.5558,-109.856,24.902,-59.0952,242.688,-58.5865,62.4823,714.826,150.859,4.9036,-9.77993,49.3806,-10.2712,25.8616,26.3759,7.33198,-54.6886,31.7373,4.42197,6.87666,-1.00814,-0.365814,-0.57091,-0.387606,-0.710055,-0.155342,-0.673676,-0.624781,-0.0487691,-0.76297,0.287434,-0.0811212,0.864621,0.245682,-0.718367,0.258012,0.0882643,-0.728882,0.069586,0.173288,-0.257582,0.676671
19.54,0,,8.28877,8.32038,-0.120932,-3.29425,1.68918,-8.197,11.2396,7.80252,5.06057,5.17091,-3.092,-4.83672,-5.84333,3.55072,4.20381,4.20381,1.65017,-1.65017,-0.800078,0.800078,2.07232,-1.67344,3.02611,-2.61264,-5.05139,-3.76443,13.6598,-111.339,74.216,-108.871,298.35,-47.3673,65.9184,770.972,155.779,-1.42363,-7.82394,23.8886,11.2308,9.27643,6.35658,21.4915,-0.98145,31.2516,10.7391,19.9812,-10.7535,-0.364768,-0.57053,-0.388878,-0.708145,-0.159,-0.675429,-0.625637,-0.0439472,-0.761385,0.287313,-0.0811215,0.864746,0.246533,-0.718664,0.25752,0.0895422,-0.729522,0.0698271,0.172493,-0.257824,0.676727
19.55,0,,9.15234,8.38575,-0.108839,-3.21251,1.91532,-8.34566,12.946,7.75405,6.05531,5.31905,-2.99126,-4.95002,-6.01336,3.70176,4.35413,4.35413,1.78844,-1.78844,-0.771822,0.771822,2.06426,-1.77202,2.9987,-2.65281,-4.9777,-3.7445,-14.1525,-99.1139,82.5107,-178.691,337.385,-26.3721,71.2985,800.768,195.789,-7.27631,23.9608,20.5218,30.2804,13.1768,28.8024,0.504494,49.7813,46.3918,-28.7428,1.42723,-14.674,-0.363542,-0.570156,-0.390094,-0.706147,-0.163337,-0.677215,-0.626749,-0.0385156,-0.759326,0.287493,-0.0808154,0.864859,0.247393,-0.7188,0.257281,0.0908241,-0.730072,0.0700713,0.171519,-0.25795,0.676736
19.56,0,,10.1535,8.46871,-0.122793,-3.13078,2.1263,-8.45164,14.916,7.70116,7.19456,5.46503,-2.87823,-5.04222,-6.17968,3.86169,4.51535,4.51535,1.91616,-1.91616,-0.743567,0.743567,2.0562,-1.87529,2.94936,-2.72099,-4.92039,-3.67364,-56.1446,-76.1704,71.7839,-215.815,375.993,-21.9728,77.6282,766.58,252.908,-15.6599,26.4058,0,16.5973,1.96773,34.6579,-36.1218,37.6223,130.377,-49.2733,-13.2343,11.2015,-0.36215,-0.569808,-0.391083,-0.704137,-0.168404,-0.678928,-0.628091,-0.0322896,-0.756822,0.287732,-0.0803258,0.865028,0.24843,-0.718798,0.25728,0.0920449,-0.730683,0.0703155,0.170422,-0.258319,0.676684
19.57,0,,11.3426,8.59945,-0.157212,-3.07824,2.30418,-8.46194,17.1473,7.64167,8.47904,5.54829,-2.7229,-5.11177,-6.29396,3.95832,4.71785,4.71785,2.00873,-2.00873,-0.715311,0.715311,2.01588,-1.92693,2.83972,-2.82569,-4.84944,-3.58285,-113.767,-57.6261,66.9015,-203.11,420.429,3.42162,121.076,678.207,285.157,3.47997,47.8239,-27.4158,-4.407,-17.569,37.5856,-38.0725,20.9921,114.266,-31.2696,12.1963,4.3686,-0.360612,-0.569239,-0.391802,-0.702183,-0.174203,-0.680515,-0.62974,-0.0253312,-0.753832,0.288168,-0.0791683,0.865297,0.249653,-0.718684,0.257528,0.0929605,-0.731477,0.0701935,0.169683,-0.259102,0.676596
19.58,0,,12.6861,8.74149,-0.194422,-3.04905,2.44345,-8.40895,19.6075,7.56234,9.90876,5.57208,-2.55295,-5.18443,-6.31533,4.02829,4.93281,4.93281,2.06684,-2.06684,-0.685569,0.685569,1.91105,-1.93397,2.65333,-2.93526,-4.72936,-3.46106,-167.476,-22.4574,75.1961,-152.346,440.42,28.3273,222.169,524.431,295.925,-6.32723,70.8067,-36.0735,-14.6426,-41.498,26.8506,-19.0362,33.2057,102.039,11.6866,43.9847,1.00814,-0.35897,-0.568638,-0.392114,-0.700174,-0.180369,-0.682168,-0.631929,-0.0179452,-0.75016,0.288703,-0.0769671,0.865865,0.251116,-0.718433,0.257952,0.0937546,-0.732397,0.0700108,0.169322,-0.260026,0.676494
