"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
35.28,0,,7.42825,7.73711,0.953038,-2.39997,1.51406,-4.15664,5.6834,5.88329,1.06627,3.22344,-1.30032,-3.58496,-0.089197,3.6951,4.72019,4.72019,1.0263,-1.0263,-0.419372,0.419372,1.86267,-0.283993,2.08319,-1.17849,0.993358,-0.0597881,-12.2089,-58.1121,-24.412,-48.3175,143.064,-15.1296,-29.2971,252.959,25.4165,-9.33266,-1.95599,0,-5.36659,73.2276,13.1879,38.0725,79.6065,38.079,19.1092,2.98421,-12.2097,-0.374357,-0.560406,-0.396453,-0.709396,-0.14039,-0.678327,-0.613294,-0.0601819,-0.776383,0.292802,-0.0654333,0.877123,0.232988,-0.717092,0.233781,0.0435807,-0.720668,0.0438859,0.173535,-0.259357,0.637801
35.29,0,,7.75228,7.85025,1.02653,-2.39254,1.66022,-4.49518,6.44874,6.12127,1.4881,3.42673,-1.28186,-3.73342,-0.24715,4.08049,4.72603,4.72603,1.1145,-1.1145,-0.39409,0.39409,1.88686,-0.335628,2.13802,-1.2284,1.01519,-0.0265725,-14.1525,-64.9417,-19.0395,-70.2894,159.171,-15.6184,-22.4701,312.483,44.9298,-12.1799,-3.42298,-9.77991,13.1855,104.009,12.212,31.245,55.67,4.39923,11.2128,-4.41144,-8.28914,-0.373928,-0.560648,-0.397001,-0.707984,-0.142219,-0.679723,-0.613505,-0.0579262,-0.775808,0.292609,-0.0659195,0.877156,0.233659,-0.717091,0.235673,0.046757,-0.721315,0.0448037,0.172865,-0.259724,0.63756
35.3,0,,8.13286,7.94327,1.08746,-2.3867,1.81466,-4.86904,7.30195,6.31077,1.93329,3.60298,-1.25495,-3.86703,-0.402316,4.49809,4.73771,4.73771,1.19329,-1.19329,-0.367322,0.367322,1.91912,-0.380222,2.16543,-1.2771,1.04521,0,-3.42178,-68.3687,-9.27474,-46.8596,188.968,-9.28725,30.7438,438.49,68.8705,-7.27631,-1.46699,16.674,-2.91431,160.159,43.9422,1.95071,91.8201,20.9963,0,-6.87666,-13.2178,-0.373506,-0.560839,-0.397495,-0.706638,-0.144294,-0.681063,-0.613861,-0.0555447,-0.775063,0.292616,-0.0662871,0.877175,0.234456,-0.71704,0.237386,0.0499907,-0.721905,0.0461453,0.172246,-0.260079,0.637349
35.31,0,,8.56694,8.01744,1.13816,-2.38086,1.95255,-5.21346,8.26845,6.45179,2.43687,3.73166,-1.18882,-4.01159,-0.562127,4.88237,4.75446,4.75446,1.28104,-1.28104,-0.340554,0.340554,1.95943,-0.403692,2.17639,-1.31606,1.05885,0.0243581,-0.985474,-68.3687,9.76479,-32.6976,204.601,-15.6184,67.3651,555.173,70.7836,12.6545,4.40097,32.7066,-24.4162,164.551,52.7253,-35.6509,146.018,61.532,-3.00062,13.6236,-11.7616,-0.372952,-0.561077,-0.397979,-0.705237,-0.146553,-0.68247,-0.614218,-0.0526752,-0.774258,0.292799,-0.0665925,0.877116,0.235121,-0.717143,0.238661,0.0529801,-0.722555,0.0474867,0.171883,-0.260388,0.637174
35.32,0,,9.0805,8.07777,1.19909,-2.38988,2.03253,-5.51667,9.39218,6.55095,3.03167,3.8279,-1.11192,-4.1749,-0.663403,5.22223,4.78289,4.78289,1.36786,-1.36786,-0.312298,0.312298,1.99169,-0.410733,2.18187,-1.35258,1.07523,0.0442874,6.84357,-62.9974,11.235,-49.8274,210.427,-32.2377,75.1867,615.237,98.6597,11.2308,-7.82394,16.193,-32.2351,127.938,33.2072,-1.47985,214.829,53.7048,16.1086,53.7158,-3.47248,-0.372344,-0.561263,-0.398469,-0.703685,-0.149111,-0.684032,-0.614709,-0.0489521,-0.773345,0.292991,-0.0668386,0.877081,0.235663,-0.717426,0.239508,0.0556669,-0.723364,0.0486475,0.171645,-0.260702,0.637014
35.33,0,,9.69341,8.12303,1.26374,-2.37343,2.05322,-5.7301,10.694,6.61705,3.75054,3.93928,-1.02964,-4.32961,-0.712647,5.47879,4.82611,4.82611,1.45056,-1.45056,-0.282555,0.282555,1.99975,-0.434204,2.19832,-1.39763,1.08887,0.0708599,2.92905,-60.5426,-0.490055,-71.2787,218.765,-43.9457,62.9796,634.29,115.221,-3.47997,-1.95599,9.77991,1.95472,85.4556,17.0916,17.59,210.957,56.6472,22.8995,48.7854,-2.46434,-0.371668,-0.561378,-0.398952,-0.702009,-0.152048,-0.685712,-0.615322,-0.0443134,-0.772311,0.29298,-0.0669581,0.877108,0.236157,-0.717626,0.239941,0.0578657,-0.724176,0.0492591,0.171271,-0.261058,0.636866
35.34,0,,10.4301,8.18965,1.31863,-2.32407,2.05735,-5.80075,12.1853,6.68536,4.5621,4.09066,-0.924293,-4.42884,-0.755387,5.63983,4.89738,4.89738,1.54014,-1.54014,-0.251326,0.251326,2.00782,-0.488186,2.17639,-1.47798,1.09433,0.152792,-9.27988,-52.2547,23.9219,-97.1556,235.819,-45.9009,45.8897,611.791,139.654,-21.038,-5.86796,17.1549,22.9591,72.7708,20.9952,12.6796,151.852,40.5357,-3.94818,5.31968,0,-0.370751,-0.561437,-0.399439,-0.700171,-0.155587,-0.687475,-0.616135,-0.0391264,-0.770992,0.293163,-0.066836,0.877108,0.236648,-0.717696,0.24031,0.0593293,-0.724892,0.0490749,0.170478,-0.261669,0.636624
35.35,0,,11.309,8.32541,1.34886,-2.25083,2.10699,-5.78014,13.8501,6.76468,5.44445,4.27989,-0.819714,-4.52808,-0.851088,5.72646,5.01965,5.01965,1.6272,-1.6272,-0.220096,0.220096,2.03201,-0.584415,2.13253,-1.5632,1.0916,0.259082,-35.6413,-55.1713,39.0592,-118.659,257.8,-49.8113,58.5941,571.794,159.659,-14.7108,-2.93398,9.77991,21.9639,65.9189,33.682,-25.8637,64.9393,43.4495,-10.7391,-25.4307,-9.29728,-0.369594,-0.561259,-0.399992,-0.698323,-0.159673,-0.689168,-0.617165,-0.0337546,-0.769275,0.293537,-0.0666547,0.877071,0.237012,-0.717627,0.240796,0.0603076,-0.725645,0.0484048,0.169318,-0.262217,0.636439
35.36,0,,12.3193,8.4662,1.36653,-2.19723,2.17594,-5.71243,15.7299,6.80214,6.43482,4.42155,-0.692835,-4.63435,-0.965372,5.76422,5.16413,5.16413,1.69473,-1.69473,-0.188866,0.188866,2.0562,-0.657173,2.0503,-1.63868,1.08887,0.358728,-54.2011,-37.113,65.9214,-127.927,294.94,-23.4393,114.747,528.35,214.865,-4.9036,0,-2.88588,19.0496,38.0896,38.5615,-26.3682,14.6672,35.1652,-11.6866,-30.7504,-2.46434,-0.368371,-0.56095,-0.400417,-0.696425,-0.164554,-0.690749,-0.618479,-0.0279546,-0.767103,0.294148,-0.0661055,0.877012,0.237497,-0.717557,0.241159,0.0609765,-0.726469,0.0476703,0.168406,-0.26271,0.636328
35.37,0,,13.4442,8.59568,1.35723,-2.1484,2.24626,-5.64767,17.8132,6.79774,7.53101,4.51346,-0.593639,-4.76952,-1.10195,5.83419,5.31055,5.31055,1.73998,-1.73998,-0.159123,0.159123,2.0562,-0.706461,1.95162,-1.69347,1.06158,0.484948,-79.1116,-26.8565,64.9413,-117.67,317.394,6.84324,212.901,445.787,232.903,18.9817,26.4058,15.5517,4.86903,13.1768,-4.87953,-17.0855,16.5756,57.6184,1.42135,19.592,-12.6577,-0.367027,-0.560704,-0.400477,-0.694558,-0.170053,-0.692177,-0.620153,-0.0218518,-0.764387,0.29476,-0.0653734,0.877016,0.237986,-0.717436,0.241343,0.0618313,-0.727388,0.0473653,0.167796,-0.263077,0.636269
