time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
55.96,-33.90879054,-2.416266928,-2.283551561,-0.000294879,7.21e-06,-0.000163506,-4.1e-05,-0.007891049,2.86e-05,-33.954663577699755,1.3670278657083248,-2.4314776424069597,-0.000205655,3.19e-06,-0.000850534,-3.31e-07,0.000127539,-1.38e-06
55.97,-33.92707877,-2.34680973,-2.411349667,-0.000310181,7.35e-06,-0.000147685,-3.8e-05,-0.007317469,2.66e-05,-34.35932660369975,0.39303517881989514,-2.91173405440696,-0.000210441,3.27e-06,-0.000841985,-5.73e-07,0.000220786,-2.4e-06
55.98,-33.97304572,-2.362864628,-2.458187756,-0.000300546,7.34e-06,-0.000135897,-3.6e-05,-0.006945573,2.52e-05,-33.538695190699755,4.771525667602827,-2.24461346140696,-0.000201348,2.81e-06,-0.000886503,-8.59e-08,3.31e-05,-3.6e-07
55.99,-34.0236668,-2.401032544,-2.526120419,-0.000289345,7.19e-06,-0.000161699,-4.05e-05,-0.00780673,2.83e-05,-32.889523278699755,9.622440235186303,0.5908842955930402,-0.000182194,2.36e-06,-0.000932525,5.1e-07,-0.000196494,2.13e-06
56.0,-33.89322789,-2.441904324,-2.623549284,-0.000303623,7.29e-06,-0.000153609,-3.87e-05,-0.007452179,2.7e-05,-33.61688874469975,18.4241131159908,3.50159247359304,-0.000172613,2.11e-06,-0.00095831,6.3e-07,-0.000242986,2.64e-06
56.01,-33.87133025,-2.476507302,-2.546919566,-0.000296782,7.3e-06,-0.000141139,-3.66e-05,-0.00706024,2.56e-05,-33.09854042169975,33.10270144183917,2.50716244859304,-0.000161495,1.84e-06,-0.000986209,4.73e-07,-0.00018242,1.98e-06
56.02,-33.87450331,-2.354182728,-2.658132078,-0.000287086,7.24e-06,-0.000143653,-3.74e-05,-0.007202991,2.61e-05,-31.83676197369975,55.86215177453272,5.48452103359304,-0.000154745,1.7e-06,-0.001000254,3.35e-07,-0.000129251,1.4e-06
56.03,-33.87377924,-2.211155288,-2.802451545,-0.000292228,7.22e-06,-0.00015711,-3.96e-05,-0.007633222,2.77e-05,-30.18763922069975,85.7087433628321,5.69596985359304,-0.000154879,1.66e-06,-0.001003948,5.39e-07,-0.000207597,2.25e-06
56.04,-33.93963547,-2.250861849,-2.812614305,-0.000292902,7.25e-06,-0.000150547,-3.84e-05,-0.00739422,2.68e-05,-29.63650691469975,103.59978480954612,-3.3683097354069598,-0.000152254,1.75e-06,-0.000995887,4.23e-08,-1.63e-05,1.77e-07
56.05,-33.95111952,-2.333707194,-2.713920327,-0.000296422,7.33e-06,-0.000132617,-3.49e-05,-0.006731369,2.44e-05,-29.99997356969975,108.71116549735194,-17.59366842440696,-0.000151164,1.87e-06,-0.000985694,-1.38e-07,5.31e-05,-5.77e-07
56.06,-34.03907765,-2.424194968,-2.650815359,-0.000295704,7.27e-06,-0.000147134,-3.76e-05,-0.007253881,2.63e-05,-30.378797965699754,115.30455228417277,-30.608853554406963,-0.00015034,1.96e-06,-0.000977213,-7.28e-07,0.000280679,-3.05e-06
56.07,-33.89930218,-2.338068588,-2.635206486,-0.000292525,7.32e-06,-0.000130809,-3.48e-05,-0.006703729,2.43e-05,-30.26944057469975,127.73009961221881,-34.75268381440696,-0.000149352,2e-06,-0.00097365,-1.1e-06,0.000422789,-4.59e-06
56.08,-33.81365462,-2.190804679,-2.646655618,-0.000300066,7.32e-06,-0.000140631,-3.65e-05,-0.007042215,2.56e-05,-28.77821846769975,142.14365729772192,-33.51527808440696,-0.000149804,2.01e-06,-0.000972595,-1.21e-06,0.000465936,-5.06e-06
56.09,-33.92808847,-2.435908544,-2.883478627,-0.000300717,7.28e-06,-0.000152817,-3.87e-05,-0.007451555,2.7e-05,-27.78816550069975,153.18324597253854,-33.88357772440696,-0.000149791,2.03e-06,-0.000970906,-1.25e-06,0.00048357,-5.25e-06
56.1,-33.89488042,-2.301001541,-2.948132362,-0.000305155,7.36e-06,-0.00013793,-3.6e-05,-0.006938361,2.52e-05,-28.79193559769975,163.68050836349022,-36.760483494406955,-0.000148747,2.05e-06,-0.000969584,-9.84e-07,0.000379333,-4.12e-06
56.11,-33.80554265,-2.447258966,-2.785060724,-0.000296316,7.29e-06,-0.000143521,-3.72e-05,-0.007174296,2.6e-05,-30.416113423699752,179.01332522864902,-39.45400898440696,-0.000146881,2.06e-06,-0.000968809,-9.67e-07,0.000372613,-4.04e-06
56.12,-33.90093608,-2.387019632,-2.796968111,-0.000284591,7.22e-06,-0.00014489,-3.75e-05,-0.007223927,2.62e-05,-33.18172533369975,204.5634299663633,-43.26668370440696,-0.000144462,2.09e-06,-0.000967228,-1.01e-06,0.000388716,-4.22e-06
56.13,-33.91055937,-2.228991708,-2.987139089,-0.000302352,7.31e-06,-0.000146433,-3.76e-05,-0.007241948,2.63e-05,-36.65365842469975,237.87129209829772,-49.813424784406955,-0.000141531,2.11e-06,-0.000965848,-1.09e-06,0.000421161,-4.57e-06
56.14,-33.77544951,-2.413898624,-3.020072739,-0.000302759,7.29e-06,-0.000153701,-3.91e-05,-0.00752496,2.73e-05,-43.66207760769975,284.19870562835416,-55.85881607440696,-0.00013689,2.16e-06,-0.000962133,-6.38e-07,0.000246055,-2.67e-06
56.15,-33.71865409,-2.289766652,-3.064463374,-0.000297686,7.29e-06,-0.000145185,-3.75e-05,-0.007232352,2.62e-05,-51.83915812769975,350.355085827869,-71.31833302440697,-0.000134091,2.26e-06,-0.000953884,-1.18e-06,0.000453623,-4.92e-06
56.16,-33.63530867,-2.321226436,-3.048871868,-0.000299484,7.36e-06,-0.000129151,-3.48e-05,-0.006713808,2.44e-05,-57.63699398769975,398.85215574956334,-85.49726049440696,-0.000132584,2.31e-06,-0.000949333,-1.37e-06,0.000527813,-5.73e-06
56.17,-33.59099248,-2.179073439,-2.949188886,-0.000293617,7.33e-06,-0.000128412,-3.51e-05,-0.006762021,2.45e-05,-61.769152037699754,430.9042117596117,-85.68840201440696,-0.000131296,2.33e-06,-0.000947954,-1.21e-06,0.000467265,-5.07e-06
56.18,-33.53327405,-2.08774701,-3.20413393,-0.000305772,7.38e-06,-0.000130936,-3.53e-05,-0.006793666,2.47e-05,-62.47174451769975,457.6906596044045,-85.27223844440697,-0.000131508,2.34e-06,-0.000946516,-2.09e-06,0.000805359,-8.74e-06
56.19,-33.31868613,-2.145014856,-3.282661031,-0.000302934,7.36e-06,-0.000134118,-3.59e-05,-0.00692052,2.51e-05,-62.79831179769975,476.42705298318276,-86.25975125440696,-0.000131336,2.36e-06,-0.000945373,-2.89e-06,0.001114528,-1.21e-05
56.2,-33.53491349,-2.199064689,-2.874462025,-0.000297704,7.37e-06,-0.000122466,-3.43e-05,-0.006608926,2.4e-05,-64.34847766769975,493.00414040476306,-87.10156750440696,-0.000131195,2.37e-06,-0.000944543,-3.18e-06,0.001226133,-1.33e-05
56.21,-33.42937159,-2.346149835,-3.000930466,-0.000294972,7.4e-06,-0.000111129,-3.23e-05,-0.006215371,2.26e-05,-63.98123139769975,507.3986851502574,-86.41243549440696,-0.000131587,2.37e-06,-0.00094432,-3.64e-06,0.001403442,-1.52e-05
56.22,-33.43599762,-2.198289302,-2.984518286,-0.000284578,7.32e-06,-0.000117941,-3.37e-05,-0.006500411,2.36e-05,-62.29956598769975,520.6129087364072,-85.12363940440696,-0.000132349,2.37e-06,-0.000944296,-4.23e-06,0.001629678,-1.77e-05
56.23,-33.59618795,-2.400234521,-3.060990703,-0.000299439,7.33e-06,-0.000136124,-3.64e-05,-0.00701676,2.55e-05,-61.14228505769975,531.1356852247279,-83.65220379440697,-0.000133254,2.36e-06,-0.00094496,-4.42e-06,0.001702916,-1.85e-05
56.24,-33.33512908,-2.260091669,-3.235139083,-0.00030398,7.34e-06,-0.000140822,-3.69e-05,-0.007109675,2.58e-05,-60.43378822769975,539.2244968681197,-80.34293853440697,-0.000133992,2.34e-06,-0.000946024,-4.86e-06,0.001874786,-2.03e-05
56.25,-33.50686183,-2.343564621,-3.125485186,-0.000298817,7.33e-06,-0.000136041,-3.65e-05,-0.007028079,2.55e-05,-60.20727133769975,546.0180542732443,-77.20676300440697,-0.000134523,2.33e-06,-0.000946696,-4.84e-06,0.001866725,-2.03e-05
56.26,-33.44921259,-2.478535563,-3.18890244,-0.000290727,7.34e-06,-0.0001226,-3.43e-05,-0.006607079,2.4e-05,-59.92779518769975,552.998594115898,-75.89014758440696,-0.000135191,2.33e-06,-0.000946978,-4.88e-06,0.001882124,-2.04e-05
