time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
50.99,-34.07404877,-2.291065655,-2.491630033,-0.000296334,7.28e-06,-0.000146972,-3.78e-05,-0.007285439,2.64e-05,-34.29801650969975,1.7745238078505743,-2.87722169640696,-0.000209112,3.19e-06,-0.000849898,-3.18e-07,0.00012274,-1.33e-06
51.0,-34.05269722,-2.614294382,-2.386574566,-0.000298456,7.25e-06,-0.000156676,-3.94e-05,-0.007595669,2.76e-05,-33.970807658699755,1.0633361760494413,-2.96971756340696,-0.000212395,3.21e-06,-0.000847694,-4.11e-07,0.000158284,-1.72e-06
51.01,-34.15025106,-2.409295504,-2.392131489,-0.000295037,7.2e-06,-0.000167079,-4.16e-05,-0.008012516,2.91e-05,-34.19358381869975,1.575527429750517,-2.99947398540696,-0.000211369,3.22e-06,-0.000846317,-4.68e-07,0.000180242,-1.96e-06
51.02,-34.08020995,-2.319573386,-2.614324224,-0.000287023,7.18e-06,-0.00016104,-4.05e-05,-0.007812033,2.83e-05,-32.64082714969975,9.370095541599103,1.31800032259304,-0.000189126,2.52e-06,-0.000916754,8.02e-07,-0.000309087,3.35e-06
51.03,-34.0348036,-2.531406494,-2.385164068,-0.000292926,7.15e-06,-0.000176766,-4.3e-05,-0.008277653,3e-05,-33.041586245699754,19.95111984977276,7.18194765059304,-0.000162483,1.94e-06,-0.000976598,8.53e-07,-0.00032866,3.57e-06
51.04,-34.12013686,-2.493926887,-2.440929256,-0.000282701,7.15e-06,-0.000162565,-4.06e-05,-0.00782147,2.84e-05,-34.05870958969975,39.99004353428055,9.42382328559304,-0.000151736,1.71e-06,-0.000999687,6.65e-07,-0.00025623,2.78e-06
51.05,-33.85820726,-2.310208792,-2.693980351,-0.00029923,7.21e-06,-0.000168394,-4.14e-05,-0.007969383,2.89e-05,-31.627956424699754,87.38208636810693,13.869496365593038,-0.00014433,1.59e-06,-0.001012595,8.55e-07,-0.000329635,3.58e-06
51.06,-33.90701954,-2.304050068,-2.860004572,-0.000309126,7.29e-06,-0.000162284,-3.98e-05,-0.007674746,2.78e-05,-29.51694892469975,146.71453237787006,17.307674365593037,-0.000147269,1.7e-06,-0.001002512,2.5e-07,-9.66e-05,1.05e-06
51.07,-33.86118033,-2.453789599,-2.89552687,-0.000292281,7.21e-06,-0.000160493,-3.99e-05,-0.007683693,2.79e-05,-28.73039779469975,151.02109267400482,-3.62728129040696,-0.00014717,1.8e-06,-0.000992613,-1.51e-07,5.81e-05,-6.31e-07
51.08,-34.01353344,-2.401116878,-2.675311705,-0.000291139,7.25e-06,-0.000147011,-3.8e-05,-0.007313695,2.65e-05,-28.623136028699754,142.42284789462832,-28.44190910440696,-0.000146031,1.94e-06,-0.000980469,-9.34e-07,0.000359937,-3.91e-06
51.09,-34.19723751,-2.37966319,-2.593758171,-0.000300288,7.28e-06,-0.000151325,-3.85e-05,-0.007425958,2.69e-05,-29.211139737699753,150.69844334913273,-44.29760661440696,-0.000145506,2.03e-06,-0.000971698,-1.34e-06,0.000517267,-5.61e-06
51.1,-34.03196992,-2.449516231,-2.670868306,-0.000286607,7.14e-06,-0.000171561,-4.21e-05,-0.008113788,2.94e-05,-29.79422783769975,174.83562876617054,-46.59362465440696,-0.000143715,2.04e-06,-0.000971322,-1.12e-06,0.000432467,-4.69e-06
51.11,-34.19071419,-2.437294676,-2.828549601,-0.000283923,7.21e-06,-0.000147153,-3.8e-05,-0.007328983,2.66e-05,-28.18509106269975,199.4437007372547,-39.91410274440696,-0.000144612,2.04e-06,-0.000971204,-1.12e-06,0.000431404,-4.68e-06
51.12,-33.96896819,-2.393755721,-2.688156409,-0.000293466,7.25e-06,-0.000149908,-3.83e-05,-0.007378536,2.68e-05,-26.69290305169975,206.45955869123662,-40.02622156440696,-0.000144708,2.06e-06,-0.000969936,-1.73e-06,0.000665516,-7.22e-06
51.13,-34.04523069,-2.305931223,-2.731056904,-0.000299031,7.18e-06,-0.000176459,-4.29e-05,-0.008266645,3e-05,-28.185915143699752,210.61071162152655,-41.95688794440696,-0.00014384,2.07e-06,-0.000968445,-1.83e-06,0.000707294,-7.67e-06
51.14,-33.93136455,-2.410704651,-2.661013573,-0.000301077,7.21e-06,-0.000172596,-4.22e-05,-0.008127632,2.95e-05,-31.347424379699753,219.65829090065358,-42.36611972440696,-0.000141999,2.09e-06,-0.000967649,-1.81e-06,0.000696985,-7.56e-06
51.15,-33.80645392,-2.392434288,-2.66622191,-0.00028666,7.23e-06,-0.000145029,-3.75e-05,-0.00721787,2.62e-05,-36.74503572569975,237.70874901908542,-46.54723615440696,-0.000138702,2.11e-06,-0.000966279,-1.48e-06,0.000570649,-6.19e-06
51.16,-33.85722147,-2.389001551,-2.896366189,-0.000270916,7.12e-06,-0.000154199,-3.95e-05,-0.00760783,2.76e-05,-44.005454697699754,268.6576340101683,-55.06389348440696,-0.00013495,2.15e-06,-0.000963828,-8.52e-07,0.00032846,-3.56e-06
51.17,-33.98368748,-2.397583627,-2.849260307,-0.000289265,7.2e-06,-0.000159156,-4e-05,-0.007702,2.79e-05,-51.539672857699756,311.7856030944771,-65.69060871440696,-0.000131231,2.18e-06,-0.000961296,-1.12e-06,0.000432029,-4.69e-06
51.18,-33.9294337,-2.31829689,-2.98515811,-0.000300338,7.28e-06,-0.000151405,-3.87e-05,-0.007454496,2.7e-05,-59.39398392769975,369.00876267964367,-72.51271130440696,-0.000127567,2.22e-06,-0.000958579,-1.09e-06,0.000421681,-4.58e-06
51.19,-33.62066191,-2.445084544,-3.008489132,-0.000284668,7.25e-06,-0.000136821,-3.67e-05,-0.00707979,2.57e-05,-75.51021109769975,440.64041369076165,-82.63834138440697,-0.00012311,2.3e-06,-0.000952879,3.25e-07,-0.000125117,1.36e-06
51.2,-33.57523819,-2.300416297,-2.877074042,-0.00029255,7.27e-06,-0.000143233,-3.76e-05,-0.007242291,2.63e-05,-83.19964569769975,496.9572346061888,-97.76450534440697,-0.00012079,2.36e-06,-0.000947318,6.38e-07,-0.000246051,2.67e-06
51.21,-33.54019227,-2.293437303,-3.143052501,-0.00029494,7.28e-06,-0.000145401,-3.8e-05,-0.007321972,2.66e-05,-77.68829673769974,529.4179675348676,-98.83763351440696,-0.000121461,2.38e-06,-0.000945287,-8.56e-07,0.000329984,-3.58e-06
51.22,-33.57534946,-2.364745631,-3.217640813,-0.000303583,7.39e-06,-0.000126334,-3.46e-05,-0.006674849,2.42e-05,-76.32657922769975,547.7500773185551,-95.53347367440696,-0.000121743,2.39e-06,-0.000944355,-1.17e-06,0.000449637,-4.88e-06
51.23,-33.49714979,-2.343851943,-3.20341483,-0.000298523,7.36e-06,-0.000125925,-3.47e-05,-0.006677759,2.42e-05,-78.29723079769975,557.985720230573,-96.22650167440696,-0.000121254,2.41e-06,-0.000942599,-1.1e-06,0.000425905,-4.62e-06
51.24,-33.57389976,-2.493994998,-3.234204669,-0.000299893,7.31e-06,-0.000143655,-3.78e-05,-0.007278226,2.64e-05,-76.40823869769974,564.3432001633281,-96.34945731440696,-0.000121647,2.43e-06,-0.000940712,-2.5e-06,0.000963784,-1.05e-05
51.25,-33.75101181,-2.412553263,-3.016913203,-0.000298446,7.26e-06,-0.000155765,-4e-05,-0.007700485,2.79e-05,-72.65891157769975,566.7369730319888,-94.82953876440696,-0.000122452,2.44e-06,-0.000939741,-3.66e-06,0.001412042,-1.53e-05
51.26,-33.59897053,-2.43512779,-3.123417287,-0.000284933,7.23e-06,-0.000144724,-3.79e-05,-0.007301793,2.65e-05,-69.95009403769976,567.9751442340901,-91.37864438440697,-0.000123192,2.45e-06,-0.000939174,-4.22e-06,0.001627541,-1.77e-05
51.27,-33.45538924,-2.502469627,-3.262747358,-0.000288503,7.22e-06,-0.000152149,-3.91e-05,-0.007540951,2.74e-05,-67.23081502769975,567.7041518238284,-87.66136169440696,-0.000123978,2.45e-06,-0.000938469,-5.12e-06,0.001972148,-2.14e-05
51.28,-33.52931359,-2.464755185,-3.00429358,-0.000284834,7.23e-06,-0.000143864,-3.82e-05,-0.007358948,2.67e-05,-64.58014148769975,566.9666460038824,-84.33755402440697,-0.00012467,2.46e-06,-0.000937688,-5.72e-06,0.002203437,-2.39e-05
51.29,-33.52126988,-2.429654252,-3.055174635,-0.000292657,7.27e-06,-0.000144615,-3.8e-05,-0.007328704,2.66e-05,-61.90709381769975,565.9800540516746,-80.95153488440697,-0.000125203,2.47e-06,-0.000936603,-6.47e-06,0.002494011,-2.71e-05
51.3,-33.58311771,-2.316787246,-3.062446547,-0.000292139,7.22e-06,-0.000155783,-3.98e-05,-0.007676743,2.79e-05,-61.026227737699756,564.2374699764852,-78.35435097440697,-0.000125499,2.48e-06,-0.000935072,-7.09e-06,0.002732425,-2.96e-05
51.31,-33.57205313,-2.26629882,-3.129551974,-0.00030093,7.32e-06,-0.000141143,-3.7e-05,-0.007129976,2.59e-05,-62.361028487699755,560.777714236246,-76.49449257440696,-0.000125264,2.5e-06,-0.000933327,-7.46e-06,0.002877475,-3.12e-05
51.32,-33.46533786,-2.309456702,-3.178918911,-0.000299412,7.3e-06,-0.000146007,-3.8e-05,-0.007328485,2.66e-05,-64.27583341769974,555.911631040073,-73.91123151440696,-0.000124776,2.52e-06,-0.000931701,-7.96e-06,0.003067223,-3.33e-05
51.33,-33.50583526,-2.392473174,-3.052089639,-0.000288367,7.31e-06,-0.000126012,-3.48e-05,-0.006697976,2.43e-05,-65.56748550769976,552.1148387157896,-71.46120468440697,-0.000124435,2.54e-06,-0.000930166,-8.27e-06,0.003186821,-3.46e-05
51.34,-33.51263524,-2.521950106,-3.159591359,-0.00029065,7.32e-06,-0.000125667,-3.46e-05,-0.00666608,2.42e-05,-66.44579451769975,547.9266275168403,-69.00388188440697,-0.000123715,2.56e-06,-0.000928294,-8.82e-06,0.003400641,-3.69e-05
51.35,-33.64314653,-2.527931285,-3.24811083,-0.000279416,7.19e-06,-0.000147576,-3.84e-05,-0.007408082,2.69e-05,-67.98415097769976,544.8892348268929,-67.42307325440696,-0.000122861,2.59e-06,-0.000925831,-8.99e-06,0.003465817,-3.76e-05
51.36,-33.69182177,-2.19627879,-3.130295373,-0.000301281,7.27e-06,-0.000156017,-3.97e-05,-0.007658006,2.78e-05,-70.01861077769975,541.7672182819714,-66.56838729440696,-0.000121826,2.62e-06,-0.000923092,-9.01e-06,0.003472177,-3.77e-05
51.37,-33.509298,-2.249300822,-3.072845461,-0.000299239,7.28e-06,-0.000149639,-3.88e-05,-0.007482785,2.72e-05,-71.77304544769976,538.2626627887017,-65.81926478440697,-0.000120713,2.66e-06,-0.000920334,-8.92e-06,0.003437666,-3.73e-05
51.38,-33.56734923,-2.399621233,-3.023080421,-0.000293116,7.27e-06,-0.000143416,-3.77e-05,-0.007257884,2.63e-05,-73.37933623769976,534.5871908466148,-64.09661802440696,-0.000119861,2.68e-06,-0.000917966,-8.61e-06,0.003317605,-3.6e-05
51.39,-33.52076336,-2.59995079,-2.887312446,-0.000290498,7.24e-06,-0.000148803,-3.88e-05,-0.007473551,2.71e-05,-74.18811366769975,530.4952533178609,-61.355136834406956,-0.000119128,2.7e-06,-0.000916291,-8.49e-06,0.003273663,-3.55e-05
51.4,-33.6289564,-2.563589031,-3.023062783,-0.000290703,7.27e-06,-0.000139901,-3.71e-05,-0.007153191,2.6e-05,-74.74258638769976,527.8670842637772,-58.28489576440696,-0.000118484,2.72e-06,-0.000914978,-8.48e-06,0.003270891,-3.55e-05
51.41,-33.73563788,-2.315824437,-3.082547406,-0.000293233,7.32e-06,-0.000130087,-3.54e-05,-0.006824984,2.48e-05,-74.72732920769975,526.1407107947406,-55.706091584406956,-0.000117992,2.73e-06,-0.000913796,-8.13e-06,0.003134724,-3.4e-05
51.42,-33.71344124,-2.526168861,-3.246106681,-0.000278013,7.22e-06,-0.000137556,-3.69e-05,-0.007107614,2.58e-05,-74.54648094769975,524.5486060136451,-53.49667977440696,-0.00011764,2.75e-06,-0.000912624,-7.6e-06,0.002927893,-3.18e-05
51.43,-33.64789136,-2.487252912,-3.152673856,-0.000292028,7.29e-06,-0.00013842,-3.7e-05,-0.007128687,2.59e-05,-74.40189786769974,521.955410343269,-50.61774118440696,-0.000117178,2.76e-06,-0.00091155,-7.08e-06,0.002729523,-2.96e-05
51.44,-33.53651341,-2.570525579,-2.80383753,-0.000289063,7.22e-06,-0.000151465,-3.94e-05,-0.007584984,2.75e-05,-74.54524845769976,518.746656273418,-48.35028982440696,-0.000116538,2.77e-06,-0.000910597,-6.49e-06,0.002502915,-2.72e-05
51.45,-33.60548602,-2.415775719,-3.105076318,-0.000280039,7.16e-06,-0.000155308,-4e-05,-0.007699839,2.79e-05,-75.01575138769975,515.4897272852171,-45.53225855440696,-0.000115892,2.78e-06,-0.000909733,-5.9e-06,0.002274665,-2.47e-05
51.46,-33.58802769,-2.235433325,-3.064754455,-0.000298726,7.31e-06,-0.000142457,-3.75e-05,-0.007223688,2.62e-05,-75.33711836769976,512.287835916328,-42.424465364406956,-0.000115472,2.79e-06,-0.000909203,-5.34e-06,0.002057716,-2.23e-05
51.47,-33.47088005,-2.447408988,-2.886580746,-0.000299771,7.3e-06,-0.000146263,-3.8e-05,-0.007331737,2.66e-05,-75.65530439769975,510.6413278740928,-39.412348574406955,-0.000115095,2.8e-06,-0.000908751,-4.62e-06,0.001780427,-1.93e-05
51.48,-33.54582691,-2.507294816,-2.99687615,-0.000285455,7.26e-06,-0.000137222,-3.69e-05,-0.007108392,2.58e-05,-75.45793112769975,510.3525445510886,-35.60044113440696,-0.000114848,2.8e-06,-0.000908827,-3.77e-06,0.001451983,-1.58e-05
51.49,-33.68829242,-2.418005826,-2.849801567,-0.000294941,7.28e-06,-0.00014363,-3.75e-05,-0.007225792,2.62e-05,-75.42023604769975,511.08519648743743,-32.25665676440696,-0.000114646,2.8e-06,-0.000908736,-3e-06,0.001157026,-1.26e-05
