time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
17.21,-33.49802946,-2.378228033,-0.021486609,-0.000266224,7.1e-06,-0.000152807,-3.41e-05,-0.006574199,2.39e-05,-33.25246369511726,-2.6296396406368086,-3.202874479003371,-0.000232054,3.05e-06,-0.000857267,-3.88e-07,0.00014953,-1.62e-06
17.22,-33.60086062,-2.450857215,-0.05620042,-0.000273199,7.17e-06,-0.000144634,-3.28e-05,-0.006311286,2.29e-05,-33.47728457311726,-3.090344192630619,-2.885836218003371,-0.000228248,3.05e-06,-0.000857864,-1.9e-07,7.31e-05,-7.94e-07
17.23,-33.57880963,-2.474218558,-0.048684613,-0.00027299,7.17e-06,-0.000143036,-3.22e-05,-0.006203161,2.25e-05,-33.31488733211726,-0.33013295920877006,-4.537499893003371,-0.000229035,2.81e-06,-0.000880657,-1.38e-07,5.32e-05,-5.78e-07
17.24,-33.57988405,-2.469942246,0.026969009,-0.000277079,7.23e-06,-0.000132431,-3.04e-05,-0.005859845,2.13e-05,-33.10475676211726,4.826276258568532,-7.939889388003371,-0.000235883,2.49e-06,-0.000908205,-2.77e-08,1.07e-05,-1.16e-07
17.25,-33.67994076,-2.419809995,-0.013074993,-0.000278613,7.15e-06,-0.000156256,-3.49e-05,-0.006723079,2.44e-05,-32.53058422511726,9.575409297579329,-10.918973668003371,-0.000238885,2.39e-06,-0.000916518,1.92e-07,-7.41e-05,8.04e-07
17.26,-33.61921795,-2.286358702,-0.037591246,-0.000273849,7.15e-06,-0.000149287,-3.37e-05,-0.006497688,2.36e-05,-31.07850891311726,15.795238279674857,-14.534559276003371,-0.000242555,2.25e-06,-0.000928955,2.67e-07,-0.000103026,1.12e-06
17.27,-33.72991525,-2.617330437,-0.24384011,-0.000277202,7.27e-06,-0.000121012,-2.87e-05,-0.005526011,2.01e-05,-28.82059869411726,23.072750223419945,-20.48004441600337,-0.000246857,2.13e-06,-0.000938825,6.36e-07,-0.000245161,2.66e-06
17.28,-33.5971873,-2.513201474,-0.261494317,-0.00026691,7.14e-06,-0.000143088,-3.24e-05,-0.006233707,2.26e-05,-22.389448088117263,41.09316726811322,-14.12409547600337,-0.000253284,1.85e-06,-0.000962636,8.62e-07,-0.000332236,3.6e-06
17.29,-33.62578559,-2.251685805,-0.305520938,-0.000272618,7.21e-06,-0.00013178,-3.02e-05,-0.005816024,2.11e-05,-14.50088855811726,74.28900116534676,0.24554084099662843,-0.000255192,1.59e-06,-0.00098667,6.28e-07,-0.000241972,2.63e-06
17.3,-33.89016316,-2.379198005,-0.248556218,-0.000275537,7.18e-06,-0.000144763,-3.2e-05,-0.006157739,2.23e-05,-9.815797478117261,118.87145644384177,12.547898433996629,-0.000251532,1.57e-06,-0.000988708,1.47e-08,-5.67e-06,6.15e-08
17.31,-33.60096519,-2.395142047,-0.335268131,-0.000271066,7.14e-06,-0.00014749,-3.24e-05,-0.00624352,2.27e-05,-11.10899291811726,141.1294808997576,9.53446620399663,-0.000249293,1.66e-06,-0.000981126,-5.67e-08,2.19e-05,-2.37e-07
17.32,-33.64207096,-2.394624218,-0.309618845,-0.000272725,7.2e-06,-0.000134335,-3.07e-05,-0.005909728,2.14e-05,-13.11146431811726,139.48016793276432,-5.508447840003371,-0.000247853,1.77e-06,-0.000971998,3.44e-07,-0.000132548,1.44e-06
17.33,-33.5359387,-2.351886932,-0.267622648,-0.00027911,7.24e-06,-0.000131554,-3.03e-05,-0.005835144,2.12e-05,-14.267275118117261,139.40917469970717,-10.796938291003372,-0.000246214,1.83e-06,-0.000966352,7.06e-07,-0.000272291,2.95e-06
17.34,-33.6602546,-2.354964606,-0.370161642,-0.000276837,7.24e-06,-0.000128473,-2.93e-05,-0.00564033,2.05e-05,-15.463201328117261,139.3752306882627,-8.077706143003372,-0.000244198,1.89e-06,-0.000961487,5.56e-07,-0.000214174,2.32e-06
17.35,-33.65236679,-2.567240263,-0.201784139,-0.000270114,7.16e-06,-0.000142764,-3.2e-05,-0.006158281,2.23e-05,-10.704459708117259,153.07773742856588,-4.719015307003371,-0.000243072,2.03e-06,-0.000948332,-1.39e-06,0.000535072,-5.81e-06
17.36,-33.54921664,-2.373799461,-0.200177534,-0.000265943,7.19e-06,-0.000127948,-2.97e-05,-0.00572732,2.08e-05,-18.262837248117258,162.42356935462126,-15.07022377600337,-0.000235931,2.17e-06,-0.000937504,2.26e-07,-8.69e-05,9.43e-07
17.37,-33.51679031,-2.419711431,-0.330199968,-0.000261603,7.15e-06,-0.000133241,-3.06e-05,-0.005900169,2.14e-05,-32.29202439211726,170.0466593210945,-24.68500351600337,-0.000226967,2.29e-06,-0.000928986,2.97e-06,-0.001144903,1.24e-05
17.38,-33.36395939,-2.398455947,-0.436537698,-0.000260446,7.15e-06,-0.000131031,-3.03e-05,-0.005840334,2.12e-05,-32.02602765911726,177.02580332860435,-25.82909539600337,-0.000224936,2.35e-06,-0.000923338,1.05e-06,-0.000403188,4.37e-06
17.39,-33.63656077,-2.212737707,-0.557546521,-0.000275152,7.28e-06,-0.000117157,-2.78e-05,-0.005365526,1.95e-05,-28.87410235311726,173.39974271452323,-21.535115126003372,-0.000225521,2.34e-06,-0.000924443,-1.36e-07,5.25e-05,-5.7e-07
17.4,-33.50470682,-2.440730249,-0.390367335,-0.000271657,7.2e-06,-0.000133272,-3.08e-05,-0.005935603,2.15e-05,-30.73781458811726,167.35867906819308,-15.04048788600337,-0.000224679,2.33e-06,-0.000925386,8.83e-07,-0.000340436,3.69e-06
17.41,-33.26911683,-2.357335678,-0.421299242,-0.00027156,7.18e-06,-0.000137147,-3.16e-05,-0.006097617,2.21e-05,-30.921618758117262,165.57631566146316,-12.787978869003371,-0.000224837,2.33e-06,-0.000925104,5.74e-07,-0.000221118,2.4e-06
17.42,-33.40005875,-2.333918739,-0.289414578,-0.000289291,7.27e-06,-0.000140062,-3.17e-05,-0.006117448,2.22e-05,-30.33745456011726,174.7459686124653,-13.102276306003372,-0.000224939,2.34e-06,-0.00092459,3.9e-07,-0.000150478,1.63e-06
17.43,-33.50016541,-2.495962533,-0.444810963,-0.000282888,7.25e-06,-0.000135363,-3.1e-05,-0.005977189,2.17e-05,-31.27769430511726,193.38170499722835,-15.274285606003371,-0.00022473,2.34e-06,-0.000924424,6.71e-07,-0.000258526,2.81e-06
17.44,-33.42425286,-2.27158074,-0.538742653,-0.000275999,7.25e-06,-0.000124244,-2.92e-05,-0.005621411,2.04e-05,-32.24744098711726,219.1342013655912,-19.00436212600337,-0.000224603,2.34e-06,-0.000924637,9.04e-07,-0.000348431,3.78e-06
17.45,-33.39409198,-2.368784448,-0.36762761,-0.000275849,7.24e-06,-0.000128337,-2.99e-05,-0.005757035,2.09e-05,-32.51801330611726,250.93375718914814,-23.43944491600337,-0.000224576,2.34e-06,-0.000924407,1.12e-06,-0.000432686,4.69e-06
17.46,-33.37367822,-2.473871859,-0.445971413,-0.000270206,7.19e-06,-0.00013388,-3.1e-05,-0.005970374,2.17e-05,-31.61812323911726,288.1758148745771,-30.06823140600337,-0.000225442,2.35e-06,-0.000923711,1.13e-06,-0.000435894,4.73e-06
17.47,-33.37125522,-2.201629073,-0.614943371,-0.000287476,7.32e-06,-0.000123459,-2.89e-05,-0.005572857,2.02e-05,-29.62998384711726,332.5622061846221,-39.21161071600338,-0.000226193,2.36e-06,-0.000922337,8.39e-07,-0.000323491,3.51e-06
17.48,-33.18599077,-2.259203098,-0.733649955,-0.000280161,7.26e-06,-0.000129715,-3.01e-05,-0.005791241,2.1e-05,-28.56088650211726,382.2085630208696,-47.79752459600338,-0.000226569,2.37e-06,-0.000921821,1.06e-06,-0.000409983,4.45e-06
17.49,-33.07644543,-2.368781903,-0.82673253,-0.000263826,7.16e-06,-0.000132317,-3.07e-05,-0.005908218,2.14e-05,-28.91751026911726,433.38430454467994,-53.93586158600338,-0.000226881,2.36e-06,-0.000922151,1.25e-06,-0.000483701,5.25e-06
17.5,-33.44518409,-2.439476043,-0.752797819,-0.000280248,7.3e-06,-0.000117586,-2.82e-05,-0.005438759,1.97e-05,-29.55690640011726,483.11206185848283,-57.648201076003375,-0.000227255,2.34e-06,-0.000923568,7.84e-07,-0.000302236,3.28e-06
17.51,-33.29410878,-2.488466981,-0.676509381,-0.000282739,7.28e-06,-0.000127818,-3e-05,-0.005771385,2.09e-05,-29.87435655211726,528.7852264443245,-60.24925955600337,-0.000227679,2.32e-06,-0.000925378,3.43e-07,-0.000132203,1.43e-06
17.52,-33.28313621,-2.532002296,-0.723893501,-0.000276392,7.27e-06,-0.000121721,-2.91e-05,-0.005599757,2.03e-05,-29.99241321011726,569.2499164237144,-63.380479076003375,-0.000227956,2.31e-06,-0.000926633,-3.03e-07,0.000116618,-1.27e-06
17.53,-33.14811364,-2.480350826,-0.71374575,-0.000283308,7.29e-06,-0.000124483,-2.97e-05,-0.005729342,2.08e-05,-31.344241955117262,604.4634446872827,-65.86624872600338,-0.000228041,2.29e-06,-0.0009281,-9.14e-07,0.000352316,-3.82e-06
17.54,-33.11550313,-2.377877057,-0.721828336,-0.000271901,7.23e-06,-0.000124684,-2.96e-05,-0.005712797,2.07e-05,-33.61572403611726,636.559523070795,-66.37352400600336,-0.000228398,2.27e-06,-0.000929851,-1.35e-06,0.000521246,-5.66e-06
