time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
15.09,-33.89468578,-2.405936878,-2.846451421,-0.000273556,7.15e-06,-0.000149536,-3.8e-05,-0.007328555,2.66e-05,-34.01104747891542,-2.0933417874435136,-2.793717137248912,-0.000221683,3.07e-06,-0.000857788,-3.82e-08,1.47e-05,-1.6e-07
15.1,-33.84380407,-2.510274846,-2.750040437,-0.000278469,7.18e-06,-0.000148989,-3.81e-05,-0.007338474,2.66e-05,-33.86984819491543,-2.648131367443513,-2.7596351802489116,-0.00022146,3.1e-06,-0.000855217,-2.81e-07,0.000108261,-1.17e-06
15.11,-33.83604009,-2.338051823,-2.83954204,-0.00029123,7.29e-06,-0.000135061,-3.51e-05,-0.006755268,2.45e-05,-33.512541224915424,-0.013382067443512113,-4.147872451248912,-0.000213263,2.88e-06,-0.000877718,-5.5e-07,0.000211865,-2.3e-06
15.12,-33.9303869,-2.401236631,-2.903938284,-0.000290439,7.23e-06,-0.000150382,-3.8e-05,-0.007330019,2.66e-05,-33.53039880691542,-0.4031280474435128,-4.500310977248912,-0.000215544,2.85e-06,-0.000879335,-2.96e-07,0.000114288,-1.24e-06
15.13,-33.97202545,-2.389262482,-2.757008913,-0.000274852,7.11e-06,-0.000162702,-4.07e-05,-0.007851478,2.85e-05,-33.66243800291542,-1.2834535374435134,-3.809519294248912,-0.000212595,2.92e-06,-0.000874116,-1.74e-07,6.69e-05,-7.26e-07
15.14,-33.88672755,-2.213484035,-2.771999441,-0.000299651,7.23e-06,-0.000165175,-4.04e-05,-0.007786868,2.83e-05,-33.76604119591543,1.1014221025564872,-4.539974592248912,-0.000207526,2.83e-06,-0.000883924,-3.53e-07,0.000136121,-1.48e-06
15.15,-33.86382819,-2.417549492,-3.010086367,-0.000302029,7.3e-06,-0.000148111,-3.75e-05,-0.007216501,2.62e-05,-33.509909179915425,2.1796569825564873,-6.314793965248912,-0.000206826,2.7e-06,-0.000895772,-3.77e-07,0.000145267,-1.58e-06
15.16,-33.84128584,-2.368637974,-3.017254664,-0.000276114,7.17e-06,-0.000146676,-3.75e-05,-0.007227311,2.62e-05,-33.206566483915424,6.189071072556487,-2.465605684248912,-0.000199348,2.38e-06,-0.000926702,-3.62e-07,0.000139702,-1.52e-06
15.17,-33.98571478,-2.245500784,-2.930448431,-0.000295265,7.22e-06,-0.000160137,-3.95e-05,-0.007610183,2.76e-05,-31.887521192915425,15.778390182556489,-0.9966351042489117,-0.00018579,2e-06,-0.000965565,4.36e-07,-0.00016816,1.82e-06
15.18,-33.86311393,-2.617526106,-2.924779809,-0.00029067,7.19e-06,-0.000162611,-4.02e-05,-0.007737479,2.81e-05,-28.917231246915424,67.03824558255648,1.3199577847510882,-0.000172396,1.79e-06,-0.00098772,3.85e-07,-0.000148323,1.61e-06
