time,ground_force_1_vx,ground_force_1_vy,ground_force_1_vz,ground_force_1_px,ground_force_1_py,ground_force_1_pz,ground_moment_1_mx,ground_moment_1_my,ground_moment_1_mz,ground_force_2_vx,ground_force_2_vy,ground_force_2_vz,ground_force_2_px,ground_force_2_py,ground_force_2_pz,ground_moment_2_mx,ground_moment_2_my,ground_moment_2_mz
31.65,-33.63094125,-2.522659691,-2.847946246,-0.000288499,7.17e-06,-0.000163895,-4.05e-05,-0.007799682,2.83e-05,-33.80079592391542,-2.3072141574435143,-2.625526173248912,-0.000220107,3.08e-06,-0.000857637,-1.77e-07,6.82e-05,-7.4e-07
31.66,-33.71788805,-2.636197533,-2.801435909,-0.000284503,7.21e-06,-0.000148168,-3.78e-05,-0.007288754,2.64e-05,-33.688484294915426,-2.6519380574435143,-2.547853563248912,-0.000221195,3.12e-06,-0.000853115,-4.52e-07,0.000174241,-1.89e-06
31.67,-33.62714773,-2.660303751,-2.805727985,-0.000280627,7.19e-06,-0.000148545,-3.81e-05,-0.007332292,2.66e-05,-33.87497670391542,-1.5269789574435126,-2.9748387942489116,-0.000221951,3.02e-06,-0.000862822,-2.69e-07,0.000103718,-1.13e-06
31.68,-33.63010041,-2.411814456,-2.764983377,-0.000285812,7.15e-06,-0.000167856,-4.15e-05,-0.008005505,2.9e-05,-33.912349367915425,-0.43387775744351487,-3.825882239248912,-0.00021601,2.91e-06,-0.000874073,-2.29e-07,8.83e-05,-9.58e-07
31.69,-33.52805103,-2.442050045,-2.827887559,-0.000279381,7.1e-06,-0.000170688,-4.22e-05,-0.008126204,2.95e-05,-33.73308906791542,-1.373953097443513,-3.7926382572489117,-0.000217676,2.93e-06,-0.000872334,-3.65e-07,0.00014089,-1.53e-06
31.7,-33.52710706,-2.442771549,-2.885921655,-0.000282675,7.17e-06,-0.000156721,-3.95e-05,-0.007617053,2.76e-05,-33.772884113915424,-0.27310915744351405,-3.5389955752489115,-0.000214745,2.9e-06,-0.000875301,-5.25e-07,0.000202255,-2.19e-06
31.71,-33.6052787,-2.410749944,-2.848099892,-0.000276563,7.15e-06,-0.00015253,-3.9e-05,-0.00752326,2.73e-05,-34.27305217891542,0.6476358325564853,-5.144716921248912,-0.00020858,2.9e-06,-0.00087707,-5.02e-07,0.000193463,-2.1e-06
31.72,-33.59448456,-2.540915162,-2.762770042,-0.000277777,7.18e-06,-0.000148196,-3.82e-05,-0.00735989,2.67e-05,-33.53239399991543,3.1231109825564864,-2.484400612248912,-0.000206273,2.62e-06,-0.000902877,-2.39e-07,9.22e-05,-1e-06
31.73,-33.62163451,-2.471512243,-2.757641915,-0.000290211,7.2e-06,-0.000159759,-3.99e-05,-0.007681575,2.79e-05,-32.724126457915425,6.223447832556488,0.6165060617510885,-0.000204432,2.35e-06,-0.00092837,2.73e-07,-0.00010531,1.14e-06
31.74,-33.80798793,-2.473079177,-3.014276753,-0.000296597,7.25e-06,-0.000155716,-3.92e-05,-0.007544223,2.74e-05,-32.70310105891542,10.387229192556486,-0.20675993724891173,-0.000198214,2.28e-06,-0.000936574,3.54e-07,-0.000136486,1.48e-06
31.75,-33.69720996,-2.63730268,-3.003662251,-0.000271078,7.12e-06,-0.00015368,-3.92e-05,-0.007555077,2.74e-05,-31.860999155915426,20.268032892556487,2.735647110751088,-0.00019159,2.07e-06,-0.000957673,4.02e-07,-0.000155036,1.68e-06
31.76,-33.80738259,-2.462573291,-2.924488664,-0.000286875,7.11e-06,-0.000180653,-4.37e-05,-0.00841818,3.05e-05,-31.988631136915423,39.235860262556486,4.8814212467510885,-0.000180371,1.88e-06,-0.000977479,1.98e-07,-7.64e-05,8.29e-07
31.77,-33.53688397,-2.468188186,-2.844264995,-0.000283672,7.18e-06,-0.000155465,-3.93e-05,-0.007574923,2.75e-05,-32.49298352991543,79.01707189255649,6.731270224751087,-0.000172423,1.83e-06,-0.000984348,-1.58e-07,6.1e-05,-6.62e-07
31.78,-33.50946908,-2.534231315,-2.839399089,-0.000279108,7.18e-06,-0.000149763,-3.85e-05,-0.007421877,2.69e-05,-32.226113780915426,106.45321339255649,2.4364896787510886,-0.000173011,1.91e-06,-0.000976696,-3.89e-07,0.000149977,-1.63e-06
31.79,-33.64331348,-2.496600389,-3.039542846,-0.00028525,7.16e-06,-0.000163862,-4.07e-05,-0.007848252,2.85e-05,-32.51329504991543,103.03266939255649,-8.551414962248911,-0.000172675,2.02e-06,-0.000966164,-1.62e-07,6.24e-05,-6.77e-07
31.8,-33.52020082,-2.408710983,-3.129137906,-0.000268718,7.11e-06,-0.000153158,-3.91e-05,-0.007540829,2.74e-05,-31.227397304915424,98.9993007925565,-16.554067495248912,-0.000174327,2.13e-06,-0.000956055,-2.46e-07,9.5e-05,-1.03e-06
31.81,-33.49077483,-2.336537007,-2.839832623,-0.000298466,7.26e-06,-0.000153527,-3.89e-05,-0.007492651,2.72e-05,-30.163039989915426,101.1739586925565,-20.044495625248913,-0.00017397,2.2e-06,-0.000949412,1.76e-08,-6.8e-06,7.38e-08
31.82,-33.52994508,-2.520630653,-2.830012582,-0.000281168,7.14e-06,-0.000163051,-4.06e-05,-0.007831811,2.84e-05,-31.608702567915426,116.3011007925565,-20.837640075248913,-0.000169308,2.32e-06,-0.000940086,6.86e-07,-0.000264357,2.87e-06
31.83,-33.4263644,-2.421958963,-3.005114442,-0.000289545,7.26e-06,-0.000141659,-3.65e-05,-0.007035263,2.55e-05,-33.08261292191543,137.9605218925565,-27.559968995248912,-0.000165992,2.44e-06,-0.000929508,7.04e-07,-0.000271415,2.94e-06
31.84,-33.52901495,-2.395187306,-2.877393305,-0.000303166,7.34e-06,-0.000140543,-3.64e-05,-0.007009923,2.54e-05,-34.06014021091543,148.6837022925565,-37.93557772524891,-0.000164839,2.48e-06,-0.000926149,9.32e-07,-0.000359378,3.9e-06
31.85,-33.60565001,-2.438084548,-3.025935939,-0.000273838,7.14e-06,-0.0001518,-3.9e-05,-0.007518731,2.73e-05,-34.777631992915424,164.8425728925565,-42.41997955524891,-0.000163609,2.54e-06,-0.000920727,1.13e-06,-0.000434094,4.71e-06
