Subject_ID,Speed,Height,Weight,Insole_Size,Cycle_ID,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_adduction_r,knee_rotation_r,ankle_angle_r,ankle_adduction_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_adduction_l,knee_rotation_l,ankle_angle_l,ankle_adduction_l,Left_pressure1,Left_pressure2,Left_pressure3,Left_pressure4,Left_pressure5,Left_pressure6,Left_pressure7,Left_pressure8,Left_pressure9,Left_pressure10,Left_pressure11,Left_pressure12,Left_pressure13,Left_pressure14,Left_pressure15,Left_pressure16,Left_totalForce,Left_cop_x,Left_cop_y,Right_pressure1,Right_pressure2,Right_pressure3,Right_pressure4,Right_pressure5,Right_pressure6,Right_pressure7,Right_pressure8,Right_pressure9,Right_pressure10,Right_pressure11,Right_pressure12,Right_pressure13,Right_pressure14,Right_pressure15,Right_pressure16,Right_totalForce,Right_cop_x,Right_cop_y,Left_GRF_ML,Left_GRF_V,Left_GRF_AP,Right_GRF_ML,Right_GRF_V,Right_GRF_AP,Left_GRM_y,Left_GRM_x,Left_GRM_z,Right_GRM_y,Right_GRM_x,Right_GRM_z,time
10,2.7,1.66,61.6,43,1,-2.878716928,-0.881922747,177.4464233,0,0.949436605,0,-7.065915581,6.129845457,-7.69336,-2.744482111,1.138168103,0.391436304,12.48121407,1.545984136,17.67224137,1.217400389,-0.230455087,-8.137904314,0.733425428,-0.365223694,8.785033331,1.295458486,6.32e-05,6.4e-05,2.22e-05,8.03e-05,-3.98e-07,1.18e-05,1e-09,-1.85e-06,8.2e-08,-3.43e-08,1.55e-07,9.67e-07,3.09e-08,1.88e-07,1.36e-07,-4.91e-07,0.000688401,-2.39e-06,-5.96e-07,4.765722718,8.611588404,12.97314961,8.290347887,18.9952637,23.72137708,9.013633439,20.09844927,15.64170295,2.967977812,3.924211558,2.848074055,13.17447261,10.9926442,12.2018122,16.39937436,547.6076829,0.020952726,-0.094787407,-0.675121303,0.606498407,-2.012549889,32.77381484,682.6955807,-46.65611613,-0.082822525,0.189361744,-1.124392002,-66.07501865,5.146133987,7.268091759,113
10,2.7,1.66,61.6,43,1,-2.954430875,-0.921158552,177.3867445,0,0.948118126,0,-7.442154638,6.190305082,-7.770332745,-2.822256401,1.114732221,0.454937881,12.89086781,1.53083718,17.24446492,1.237032497,-0.665527313,-5.686389158,1.101333541,-0.600923993,8.592766166,2.237209173,-3.53e-05,-0.000201408,4.65e-06,7.15e-05,3.38e-07,3.27e-05,-1.33e-07,8.28e-07,4.66e-08,1.33e-06,1.58e-07,1.35e-06,9.85e-08,1.61e-07,1.76e-07,-7.31e-07,-0.000254876,1.16e-06,4.29e-08,4.251021822,7.989330686,12.0960318,7.688535578,19.00607986,23.79502003,9.021955965,20.3505873,15.24667294,2.964673486,4.285595344,2.795670336,13.83860163,10.97892391,12.34464124,16.99606837,543.6895387,0.026555581,-0.098541409,-1.738226116,1.445995916,-2.082760727,34.12467786,685.6755521,-47.0627062,-0.013555333,0.513535875,-0.878847225,-66.53572264,5.13120051,4.023841246,114
10,2.7,1.66,61.6,43,1,-3.029797003,-0.965753895,177.3226543,0,0.946690704,0,-7.786979725,6.253479397,-7.849799199,-2.971946974,1.079436945,0.519131142,13.32047596,1.519407421,16.87290399,1.266784208,-1.173419084,-3.592352474,1.441749634,-0.931173048,8.409979285,3.255072266,-0.000281726,-0.000753164,-5.08e-05,-2.89e-05,2.1e-06,5.84e-05,-3.49e-07,7.67e-06,2.05e-08,3.65e-06,5.54e-07,1.29e-06,8.8e-08,9.58e-08,1.41e-07,-1.41e-06,-0.002698646,1.01e-05,1.84e-06,3.741462935,7.432698081,11.33599599,7.21536176,19.02874684,23.96426674,9.001431818,20.64856693,15.02128842,2.964447236,4.693131841,2.783833771,14.7385496,10.96161395,12.41614014,17.82317871,542.6637079,0.03202274,-0.102677295,-2.420094166,4.670061863,-2.153364521,35.61941913,687.4220814,-47.50328033,0.37319723,0.494352556,0.078089806,-66.89425292,5.320910275,0.758504871,115
10,2.7,1.66,61.6,43,1,-3.101980524,-1.018227305,177.307904,0,0.945410788,0,-8.101500789,6.320465768,-7.934141657,-3.201678016,1.036670631,0.578876437,13.77185545,1.515363889,16.576959,1.315596771,-1.784934125,-1.918739785,1.713304644,-1.337653665,8.246204961,4.319220515,-0.00069441,-0.001548914,-0.00015695,-0.000287387,4.96e-06,7.1e-05,-5.88e-07,1.93e-05,1.47e-08,6.45e-06,1.28e-06,-9.37e-07,5.92e-08,4.49e-08,6.23e-08,-1.82e-06,-0.006892443,2.54e-05,5.06e-06,3.345481131,6.969350691,10.6317977,6.854640469,19.06079491,24.19974054,8.973360497,20.93287797,14.99569716,3.053004196,5.147769871,2.839281343,15.74507712,10.95216229,12.6086744,18.72801719,544.8696277,0.037564514,-0.106474342,-1.571969964,11.55017871,-2.078307124,37.1300897,687.6056037,-48.17701146,1.227350714,0.009446871,2.050828099,-67.0858006,5.648533367,-2.477070558,116
10,2.7,1.66,61.6,43,1,-3.167608862,-1.078916768,177.2522478,0,0.943789562,0,-8.381942623,6.387632683,-8.018863234,-3.510976836,0.987846747,0.631490232,14.23559477,1.519683322,16.35233583,1.3856586,-2.508448865,-0.681091607,1.896700249,-1.798382551,8.096490038,5.396319452,-0.001151874,-0.002210454,-0.000297356,-0.000728923,7.98e-06,3.28e-05,-6.48e-07,3.24e-05,2.84e-08,7.77e-06,2.01e-06,-7.14e-06,4.15e-08,2.17e-08,-7.27e-08,-7.66e-07,-0.011714431,4.25e-05,9.02e-06,3.053461611,6.538940462,9.903661552,6.536331838,19.08692294,24.44908607,8.959940139,21.14358521,15.1559413,3.312657647,5.642857201,2.968832575,16.75606038,10.97523956,13.00124846,19.51010305,549.217928,0.043650554,-0.109381772,2.352925373,22.98901719,-1.457019274,38.56919089,685.9443197,-49.01021047,2.658534166,-0.972655926,5.323651803,-67.13009008,5.918144879,-5.603571,117
10,2.7,1.66,61.6,43,1,-3.22775841,-1.147667003,177.2439669,0,0.942327911,0,-8.632733565,6.457109319,-8.106543161,-3.903624126,0.931446937,0.678067364,14.71442755,1.53702757,16.19691011,1.473672914,-3.326613882,0.138150431,1.997236924,-2.268884895,7.951729297,6.416574654,-0.001257525,-0.001790944,-0.000388806,-0.001233114,8.27e-06,-0.000111758,-1.39e-07,3.62e-05,5.14e-08,3.46e-06,1.9e-06,-1.8e-05,3.97e-08,1.72e-08,-2.91e-07,3.38e-06,-0.013277309,4.71e-05,1.09e-05,2.745237756,6.080565109,9.125362196,6.226047064,19.06963598,24.66697953,8.990780526,21.24264559,15.47204552,3.772552175,6.181625114,3.196783403,17.67160896,11.0676324,13.53521991,20.07169696,554.3469459,0.050650966,-0.111170714,9.606598419,39.33412841,-0.293855399,39.86288447,681.9119588,-49.75159877,4.651990404,-2.392782671,9.938274825,-66.95235353,6.011286027,-8.430722046,118
10,2.7,1.66,61.6,43,1,-3.281719232,-1.22224974,177.2262009,0,0.940786928,0,-8.854150701,6.525290711,-8.192035409,-4.377114926,0.863045735,0.72134648,15.19668099,1.572693724,16.07985687,1.569976578,-4.195476932,0.606802723,2.033824382,-2.669583788,7.79030562,7.253285127,-0.000240248,0.001297284,-0.000243364,-0.001387816,4.32e-07,-0.000410009,1.47e-06,8.91e-06,6.11e-08,-1.25e-05,-4.67e-07,-3.05e-05,3.93e-08,1.03e-08,-5.76e-07,1.19e-05,-0.00382376,1.09e-05,4.92e-06,2.286234527,5.598694935,8.337654951,5.948865695,18.94641307,24.81628142,9.102371779,21.23029004,15.92022379,4.345403158,6.779652826,3.558497954,18.37963684,11.26232943,14.10694863,20.44462811,559.3553299,0.058559265,-0.111885785,16.9076596,59.58583325,0.88703437,41.24771119,675.3746316,-50.1762727,6.992354435,-3.743544766,15.50248661,-66.58896928,5.955690605,-10.94088154,119
10,2.7,1.66,61.6,43,1,-3.329654798,-1.30059729,177.1866638,0,0.939177334,0,-9.048377148,6.590275047,-8.271344311,-4.929774271,0.777281272,0.76492666,15.67288472,1.63309933,15.97043568,1.663413794,-5.063145357,0.796183399,2.028159267,-2.90345922,7.597233517,7.748678872,0.002938184,0.008817107,0.000430656,-0.000374742,-2.26e-05,-0.000837117,4.55e-06,-7.89e-05,1.73e-08,-4.53e-05,-6.84e-06,-3.46e-05,1.05e-08,-2.63e-08,-7.85e-07,2.4e-05,0.027384876,-0.000104614,-1.75e-05,1.646985158,5.119359876,7.594953259,5.706325047,18.64833695,24.84731002,9.319248097,21.15493333,16.49805217,4.863232085,7.445802103,4.096088393,18.82116876,11.568322,14.68077534,20.68380188,563.8936947,0.067208957,-0.111708631,20.12634907,82.59609967,1.739006058,43.00269387,666.0389253,-50.16473564,9.46190993,-4.410876038,21.6873806,-65.9368895,5.869337349,-13.25705744,120
10,2.7,1.66,61.6,43,1,-3.372448201,-1.38141311,177.1616352,0,0.937753401,0,-9.219638727,6.652063322,-8.343596878,-5.5634086,0.669363133,0.811772889,16.13991832,1.724523205,15.84697368,1.745829769,-5.889319078,0.761727252,1.996018343,-2.888402775,7.367783272,7.769856701,0.008993521,0.021183279,0.001916908,0.0029329,-6.5e-05,-0.00118614,8.63e-06,-0.000248562,-1.33e-07,-9.21e-05,-1.8e-05,-9.98e-06,-8.61e-08,-1.18e-07,-5.71e-07,3.37e-05,0.088380412,-0.000326974,-6.37e-05,0.95301277,4.624233839,6.891410162,5.425396696,18.13901792,24.71123948,9.628043451,21.07864596,17.18246169,5.232740091,8.163285786,4.849436989,19.03575041,11.98290602,15.28632616,20.80949102,567.8986615,0.076531864,-0.110872566,18.36118997,109.2706765,1.784637748,45.33742857,653.5660123,-49.77128372,12.12890933,-4.189142828,28.93361528,-64.94126349,5.8299854,-15.56043143,121
10,2.7,1.66,61.6,43,1,-3.407911916,-1.461896446,177.053786,0,0.936037578,0,-9.364765987,6.704558629,-8.40424998,-6.272767694,0.537201849,0.861789875,16.58423987,1.849526051,15.68645982,1.813633828,-6.647748848,0.546096735,1.943293125,-2.591828078,7.097885419,7.269779523,0.01696201,0.034497162,0.004177942,0.009365441,-0.000118834,-0.000943879,1.13e-05,-0.000475449,-4.29e-07,-0.000129767,-3.12e-05,7.15e-05,-2.81e-07,-2.7e-07,6.35e-07,2.6e-05,0.170970597,-0.000623035,-0.000129505,0.389465253,4.076200931,6.161637892,5.04278735,17.44722006,24.40193146,9.985571965,21.03420224,17.87911529,5.50872608,8.919069997,5.780154678,19.13312638,12.51388518,15.90654957,20.85077148,571.3516552,0.086326128,-0.109672588,13.08951212,141.7982231,0.728080697,48.3386519,637.5636026,-48.99887711,15.30765151,-3.233665748,38.04564471,-63.51582687,5.961163231,-17.87996329,122
10,2.7,1.66,61.6,43,1,-3.434187066,-1.536011288,176.9556807,0,0.934575214,0,-9.486348335,6.739608802,-8.463322655,-7.066056101,0.382860463,0.91027294,17.00168955,2.019845319,15.48618712,1.875023104,-7.323030929,0.191729278,1.87248637,-2.039793928,6.782967304,6.318774376,0.022061602,0.036549316,0.006292045,0.01802815,-0.000148734,0.000744589,7.09e-06,-0.000628541,-8.32e-07,-0.000101832,-3.64e-05,0.00023072,-5.53e-07,-4.3e-07,3.43e-06,-2.35e-05,0.228904303,-0.00082004,-0.000182798,0.052951042,3.478570637,5.381555646,4.587712469,16.67571122,23.95836319,10.34772293,21.02108465,18.47886963,5.790343424,9.742237344,6.720699818,19.22881273,13.16168434,16.44587999,20.89244403,574.3663055,0.096005645,-0.108360029,5.525823048,181.2253013,-0.716103705,51.71712657,617.9734373,-47.83614621,19.23610182,-1.816058658,49.36990846,-61.68866392,6.348067068,-20.23904925,123
10,2.7,1.66,61.6,43,1,-3.44413667,-1.591335315,176.8235332,0,0.933216409,0,-9.579352939,6.735102105,-8.529991084,-7.947377971,0.211810427,0.947666485,17.36795379,2.251902844,15.22799326,1.944936508,-7.891004926,-0.223679349,1.78861022,-1.302737126,6.400161618,5.083578084,0.013551637,0.004053029,0.005762435,0.024004453,-7.85e-05,0.004818909,-1.24e-05,-0.000408535,-1.12e-06,8.55e-05,-1.3e-05,0.000446362,-7.58e-07,-4.4e-07,7.86e-06,-0.000141096,0.155052315,-0.000525151,-0.000144039,-0.08338418,2.862895155,4.623408971,4.132441853,15.9508155,23.42534429,10.66304338,21.01964016,18.97593684,6.119551584,10.65601389,7.490073474,19.38756323,13.92057108,16.86732922,21.07410134,577.4515049,0.10506941,-0.106955775,-3.457945331,226.4204069,-1.162126973,55.26397711,594.5327452,-46.17282187,23.9446522,-0.414582492,62.44712553,-59.39968959,6.952967858,-22.4799548,124
10,2.7,1.66,61.6,43,1,-3.429911603,-1.612658454,176.6604312,0,0.932083126,0,-9.640642548,6.66580573,-8.618346678,-8.923038352,0.030761718,0.963160453,17.65816823,2.566268437,14.89414871,2.042082225,-8.321140785,-0.6066269,1.701695672,-0.461669147,5.918372032,3.763990555,-0.02516326,-0.093675118,-0.001814951,0.015975026,0.000206057,0.011475213,-5.55e-05,0.000653486,-7.59e-07,0.000534498,6.78e-05,0.000597675,-5.52e-07,-7.79e-09,1.23e-05,-0.000331106,-0.220269281,0.000874773,0.000118774,-0.100326347,2.244830833,3.974304512,3.709627707,15.29850111,22.81846691,10.86355722,20.99988487,19.48587818,6.495709109,11.61885279,8.05929157,19.59581145,14.80938102,17.29481706,21.54975093,581.3122083,0.113783633,-0.105307601,-12.8784246,274.2537524,0.234710669,58.98674216,566.6638639,-43.66575347,29.2434362,0.447750094,76.30173946,-56.62816116,7.792947731,-24.39593914,125
