"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
124.51,0,,7.68624,2.95103,2.47458,-3.36658,-2.68855,-8.56359,12.1528,2.96276,5.38829,1.40719,6.68167,-0.159913,3.78232,8.02925,2.68304,2.68304,0.619669,-0.619669,4.92569,-4.92569,1.6443,1.34637,-3.57408,-4.9428,6.31258,-5.54297,145.03,-2.62003,0.847803,147.835,4.90465,3.55901,147.124,-7.22758,3.19706,143.646,-1.63393,-3.39312,136.531,0.954229,4.11748,136.287,-1.99771,5.37123,144.414,-1.34016,5.07317,-63.9762,-22.9396,11.2315,-7.79354,277.841,97.1637,168.925,311.018,81.0615,-28.4028,-5.47113,6.9293,-34.6741,-14.1504,-0.491098,-15.6232,18.0619,-33.1919,-5.36384,-3.93003,-8.33012,-0.313727,-0.563122,-0.332465,-0.702412,-0.0659198,-0.708576,-0.672076,-0.076296,-0.711201,0.100288,0.0133677,0.925848,0.359936,-0.670676,0.324412,0.211191,-0.726045,0.208994,0.0296644,-0.131415,0.766698
124.52,0,,8.48158,2.9221,2.53496,-3.35082,-2.69561,-8.68457,13.7562,2.96936,6.14841,1.45797,6.82071,-0.25065,3.79427,8.18113,2.66433,2.66433,0.694072,-0.694072,5.02233,-5.02233,1.6646,1.32362,-3.61856,-5.00828,6.46261,-5.60532,145.014,-2.59321,0.924815,147.857,5.71724,3.73696,147.014,-8.0128,3.30405,143.575,-1.65373,-3.43028,136.399,0.969661,4.17677,136.15,-1.98866,5.52224,144.436,-1.31741,5.1376,-54.1912,-34.6643,-0.489846,25.407,275.396,95.2068,214.376,281.76,109.864,-34.1311,-4.81459,4.82951,-36.1176,8.28591,-13.6614,-19.0462,48.8372,-17.0938,-1.93098,-3.93003,-7.40455,-0.313307,-0.563562,-0.332717,-0.698882,-0.0691558,-0.711822,-0.672896,-0.0718432,-0.70952,0.100593,0.0136118,0.926028,0.360247,-0.67087,0.324601,0.212353,-0.726602,0.209301,0.0292983,-0.131903,0.766577
124.53,0,,9.34444,2.88944,2.57437,-3.34939,-2.69679,-8.76315,15.4664,2.97156,6.93477,1.52455,6.90441,-0.349472,3.7865,8.31253,2.65454,2.65454,0.765231,-0.765231,5.12036,-5.12036,1.7052,1.2926,-3.61732,-5.07645,6.59941,-5.64429,144.976,-2.5759,0.99918,147.852,6.59223,3.89499,146.866,-8.84299,3.40264,143.498,-1.69334,-3.42127,136.289,0.971376,4.24932,136.029,-1.98866,5.68337,144.458,-1.28639,5.20343,-26.3651,-38.5726,-16.6023,84.482,272.951,90.3239,286.125,224.151,88.8802,-42.4849,1.53192,-11.7588,-42.475,22.966,-23.9298,-29.7981,72.2477,-26.3638,-2.36009,0.982508,-7.86734,-0.312763,-0.563998,-0.332844,-0.695225,-0.0723913,-0.715124,-0.673811,-0.0673262,-0.707566,0.100837,0.0134286,0.926268,0.360623,-0.671132,0.32467,0.213454,-0.727222,0.209426,0.0288711,-0.132392,0.766457
124.54,0,,10.3003,2.89877,2.61837,-3.36056,-2.71326,-8.74319,17.2649,2.96716,7.75239,1.59226,6.91116,-0.436616,3.77933,8.3825,2.68679,2.68679,0.819303,-0.819303,5.217,-5.217,1.75798,1.25951,-3.57284,-5.16082,6.72959,-5.64624,144.904,-2.601,1.06053,147.824,7.51437,4.04894,146.696,-9.71492,3.46907,143.388,-1.74682,-3.36722,136.24,0.964517,4.32382,135.974,-1.99168,5.84654,144.48,-1.2533,5.28466,0.47566,-39.058,-24.4223,147.454,262.207,93.7438,396.471,183.58,106.932,-21.4811,-21.0091,36.5363,-50.7673,32.7275,-10.7372,-32.2118,54.1858,-4.88394,-1.50187,6.31612,9.71848,-0.311971,-0.564245,-0.332785,0.691373,0.0755646,0.718535,-0.674954,-0.0628077,-0.705229,0.100957,0.0128791,0.926622,0.360978,-0.671417,0.324661,0.214187,-0.727956,0.209182,0.0283824,-0.133001,0.766326
124.55,0,,11.3538,2.9529,2.63884,-3.37374,-2.71914,-8.64715,19.1889,2.96276,8.65502,1.67012,6.84231,-0.513877,3.73451,8.43711,2.76049,2.76049,0.857803,-0.857803,5.31364,-5.31364,1.79655,1.21814,-3.49748,-5.27016,6.83109,-5.58389,144.778,-2.66935,1.10996,147.742,8.49474,4.17029,146.465,-10.6511,3.49285,143.262,-1.78445,-3.28388,136.212,0.953372,4.38896,135.941,-1.99621,6.02085,144.513,-1.21401,5.38971,36.1161,-39.5435,-8.78224,204.581,234.868,91.3119,551.768,205.576,39.5534,-71.8424,6.34651,-40.5259,-41.0008,23.9118,-5.84853,-18.0807,-33.2027,-17.0938,-7.29482,-3.3686,22.9078,-0.310858,-0.564341,-0.332465,0.68741,0.078678,0.721958,-0.676421,-0.0583522,-0.702302,0.100837,0.0122079,0.92707,0.361336,-0.671646,0.324653,0.214792,-0.728793,0.20875,0.0277714,-0.133791,0.766124
124.56,0,,12.5183,3.0397,2.65112,-3.35312,-2.66149,-8.5112,21.2593,2.94956,9.69518,1.73106,6.67019,-0.57317,3.55701,8.51049,2.87105,2.87105,0.907549,-0.907549,5.40887,-5.40887,1.77219,1.19746,-3.31094,-5.39031,6.85977,-5.46114,144.597,-2.77289,1.17439,147.55,9.55416,4.29254,146.108,-11.6547,3.52642,143.152,-1.76068,-3.09919,136.174,0.932795,4.43694,135.903,-2.00224,6.19009,144.551,-1.19126,5.50457,69.3444,-57.1184,26.3642,275.385,220.717,91.3119,732.908,313.462,-49.7867,12.65,9.1915,18.4781,-27.8253,-0.983715,-10.2461,-20.4944,-125.981,-41.5135,0.429107,-20.0712,6.94177,-0.30928,-0.56442,-0.331987,0.683017,0.0816691,0.725683,-0.677867,-0.0542001,-0.698925,0.0997993,0.0110481,0.927553,0.361779,-0.671736,0.324667,0.215462,-0.72958,0.208382,0.0272844,-0.134713,0.765855
124.57,0,,13.8073,3.16009,2.63475,-3.3176,-2.48382,-8.37775,23.4691,2.93196,10.8941,1.80554,6.49807,-0.63426,3.25163,8.63677,3.0176,3.0176,0.968976,-0.968976,5.50271,-5.50271,1.63212,1.16644,-3.04161,-5.50573,6.8686,-5.28385,144.371,-2.91076,1.25405,147.198,10.7134,4.3831,145.564,-12.6984,3.6404,143.01,-1.62007,-2.84693,136.086,0.911362,4.4853,135.809,-2.00677,6.35427,144.595,-1.1623,5.61242,109.368,-78.1161,34.1842,318.366,205.565,104.004,798.841,367.65,20.984,29.8349,31.2949,-38.6361,-18.5502,-15.6259,0,-29.3154,-173.831,-39.5457,4.93473,-22.0363,1.38835,-0.307263,-0.564474,-0.331372,0.678204,0.0846001,0.72966,-0.678805,-0.0506617,-0.695408,0.0976019,0.00994941,0.928225,0.362275,-0.671811,0.324674,0.216436,-0.730242,0.208318,0.0267343,-0.135563,0.765589
124.58,0,,15.2449,3.31875,2.624,-3.26403,-2.20496,-8.29169,25.8114,2.92317,12.2406,1.90145,6.2976,-0.744762,2.87812,8.85009,3.19006,3.19006,1.03516,-1.03516,5.59655,-5.59655,1.34792,1.12094,-2.67963,-5.5847,6.9039,-5.06174,144.108,-3.07401,1.34143,146.715,12.0044,4.46551,144.867,-13.7406,3.81591,142.801,-1.33883,-2.51809,135.916,0.904503,4.5208,135.639,-2.00375,6.52656,144.644,-1.11474,5.68385,119.153,-85.4471,17.0921,320.315,195.785,110.349,747.573,373.515,83.9935,44.8717,20.5714,12.5987,16.1239,-32.7275,-18.5501,-10.2692,-143.055,-3.9119,-10.2986,-5.89505,-18.9742,-0.30495,-0.564488,-0.330648,0.672655,0.0876527,0.734122,-0.679317,-0.0478556,-0.691769,0.094,0.00897272,0.929196,0.362878,-0.671736,0.324912,0.217907,-0.730811,0.20869,0.0261247,-0.136056,0.765307
124.59,0,,16.8356,3.47461,2.56925,-3.17352,-1.94964,-8.23556,28.2908,2.90557,13.6958,1.98722,5.96281,-0.852568,2.58529,9.11033,3.36194,3.36194,1.12881,-1.12881,5.69178,-5.69178,0.933801,1.07544,-2.19164,-5.65422,6.98112,-4.8221,143.811,-3.23351,1.45706,146.242,13.4507,4.53343,144.169,-14.7651,3.97045,142.527,-0.926883,-2.07776,135.69,0.899359,4.54654,135.403,-1.99017,6.68769,144.683,-1.0713,5.74548,87.8951,-79.1114,20.0137,311.04,171.891,98.1517,584.465,376.937,129.871,54.6575,-4.3769,8.8191,37.5918,-45.8941,-41.9888,22.952,-17.5682,18.0659,1.07277,15.1587,10.644,-0.302333,-0.564685,-0.329863,0.66635,0.0911295,0.738985,-0.679926,-0.0452307,-0.687922,0.0889305,0.0078127,0.930505,0.363675,-0.671498,0.325342,0.219675,-0.731233,0.209482,0.0255748,-0.136481,0.765109
124.6,0,,18.5643,3.60153,2.44849,-3.04576,-1.76491,-8.18068,30.9258,2.90337,15.1597,2.09668,5.52137,-0.957679,2.47413,9.38253,3.49841,3.49841,1.25253,-1.25253,5.78562,-5.78562,0.479081,1.0196,-1.61593,-5.73589,7.15102,-4.57076,143.504,-3.35435,1.59917,145.852,15.0689,4.57917,143.543,-15.7703,4.09492,142.143,-0.475325,-1.55635,135.449,0.902788,4.56019,135.156,-1.98263,6.8539,144.727,-1.01753,5.81691,44.9159,-29.2996,2.92158,307.144,136.735,78.6202,488.287,340.835,57.1455,-35.5632,-27.7933,46.4053,38.0832,-46.8778,-66.4098,43.4464,153.3,-11.712,11.8004,6.31612,18.5114,-0.299634,-0.565209,-0.329054,0.659265,0.0951573,0.744168,-0.680708,-0.0423611,-0.684004,0.0831954,0.00628696,0.932179,0.364578,-0.671109,0.326002,0.221577,-0.73163,0.210284,0.0249028,-0.136965,0.764907
124.61,0,,20.3816,3.68553,2.29191,-2.90855,-1.63431,-8.01729,33.6492,2.90337,16.3774,2.23096,5.09748,-1.0556,2.55899,9.55659,3.59313,3.59313,1.3756,-1.3756,5.88086,-5.88086,0.22533,0.945148,-1.10076,-5.82499,7.46654,-4.30384,143.174,-3.43309,1.73687,145.512,16.8148,4.59909,142.972,-16.7386,4.18932,141.599,-0.223799,-1.0721,135.295,0.895072,4.56214,135.002,-1.99168,7.01504,144.76,-0.94101,5.89535,3.43154,43.4518,-35.1639,291.011,56.1609,63.9715,404.78,268.073,-74.2202,-271.856,-14.2249,169.873,56.6334,-37.6082,-63.4855,77.1503,322.276,15.126,8.79669,9.26365,7.40455,-0.297008,-0.566,-0.328015,0.651513,0.099491,0.749539,-0.681624,-0.0394923,-0.680037,0.0791031,0.00421151,0.934222,0.365571,-0.67059,0.326749,0.222967,-0.732136,0.210516,0.0240487,-0.137456,0.764737
124.62,0,,22.2994,3.73686,2.09695,-2.77307,-1.56254,-7.71047,36.4143,2.91437,16.7087,2.39008,4.85448,-1.18228,2.87215,9.55489,3.66453,3.66453,1.49002,-1.49002,5.97469,-5.97469,0.771401,0.854149,-0.868503,-5.87494,7.99387,-4.06615,142.855,-3.48962,1.86375,145.243,18.6798,4.59049,142.488,-17.633,4.24946,140.842,-0.764481,-0.761283,135.289,0.864207,4.55902,134.991,-2.03242,7.16502,144.771,-0.85208,5.93597,-35.1648,104.503,-80.0723,240.704,-27.3395,78.1262,279.312,269.051,-190.926,-712.935,190.833,515.708,72.7573,-25.8793,-60.0479,125.468,410.652,-11.2378,6.86571,16.1412,10.1813,-0.294518,-0.566878,-0.326869,0.643148,0.104373,0.754968,-0.682638,-0.0366832,-0.676229,0.0817287,0,0.936432,0.366717,-0.669954,0.327531,0.223587,-0.732776,0.209853,0.0231952,-0.137584,0.764769
124.63,0,,24.2607,3.75646,1.94037,-2.68054,-1.61784,-7.2465,39.1261,2.92097,15.4223,2.54806,4.62161,-1.28469,3.33829,9.34669,3.72298,3.72298,1.55598,-1.55598,6.06853,-6.06853,2.83794,0.765218,-0.790671,-5.91476,8.66462,-3.88106,142.564,-3.53779,1.94121,145.144,20.5865,4.61947,142.153,-18.431,4.3033,139.969,-2.8064,-0.362623,135.471,0.796477,4.55395,135.167,-2.10635,7.28461,144.76,-0.763149,5.96678,-49.3327,129.894,-105.964,168.457,-110.358,73.2433,99.6266,238.256,-221.683,-1134.2,162.164,1299.77,35.1655,2.45929,-48.8196,99.6195,355.479,-57.6116,1.07277,1.96502,25.9159,-0.292507,-0.567557,-0.325653,0.634312,0.109808,0.760356,-0.683569,-0.0335711,-0.67301,0.0952819,-0.0113533,0.938108,0.36794,-0.669286,0.328142,0.223092,-0.733548,0.208077,0.0224015,-0.137644,0.764886
124.64,0,,26.204,3.76766,1.82524,-2.60292,-1.74962,-6.67152,41.7286,2.92976,11.7167,2.67558,4.24632,-1.36645,3.53789,8.97211,3.76645,3.76645,1.59686,-1.59686,6.16236,-6.16236,7.26741,0.688696,-0.814144,-5.94311,9.14783,-3.75442,142.323,-3.57327,1.9924,145.166,22.4807,4.70369,141.944,-19.128,4.34666,139.278,-7.17344,0.346857,135.806,0.723602,4.53835,135.502,-2.18783,7.37683,144.743,-0.686627,5.98779,-45.4255,127.928,-103.515,82.5336,-148.923,58.1007,-67.3871,53.6985,-100.608,-1224.19,226.067,1505.76,-16.1239,23.42,-25.8719,45.4212,178.233,-97.1573,1.07277,1.96502,14.5777,-0.290919,-0.568105,-0.324553,0.625227,0.116036,0.765557,-0.684418,-0.0303969,-0.670318,0.125006,-0.035158,0.936937,0.368985,-0.66863,0.328699,0.221569,-0.734473,0.205516,0.0217298,-0.137643,0.765061
124.65,0,,28.0558,3.75086,1.74695,-2.56654,-1.88375,-6.05662,44.194,2.91217,5.90087,2.78391,4.18558,-1.44101,3.25821,8.52073,3.80503,3.80503,1.61936,-1.61936,6.2562,-6.2562,13.8142,0.614243,-1.42321,-5.96201,9.22285,-3.66479,142.125,-3.60586,2.02462,145.232,24.2861,4.81689,141.78,-19.7799,4.35715,138.899,-13.6339,0.833358,136.218,0.625007,4.54654,135.914,-2.2678,7.4569,144.721,-0.614242,6.0018,-6.35345,135.744,-124.998,-2.92258,-182.634,23.9204,-164.064,-124.505,-69.3335,-837.287,684.985,1471.11,-54.6985,46.8778,-22.4566,15.6232,-17.0745,-122.549,1.50187,-3.93003,0.462785,-0.289631,-0.568519,-0.323569,0.616385,0.12324,0.770268,-0.685383,-0.0273445,-0.667682,0.17121,-0.0662867,0.930455,0.369844,-0.66827,0.328764,0.219502,-0.735479,0.202594,0.0211194,-0.137581,0.765241
124.66,0,,29.7545,3.69953,1.69782,-2.58315,-2.07201,-5.50908,46.5386,2.85498,-0.391308,2.88209,3.97633,-1.48683,3.02812,8.09921,3.84045,3.84045,1.61655,-1.61655,6.34724,-6.34724,20.8847,0.539789,-2.08416,-5.99643,9.19196,-3.61219,141.955,-3.63816,2.03168,145.375,25.9363,4.96405,141.747,-20.4672,4.22638,138.487,-20.6033,1.40319,136.591,0.500692,4.58399,136.292,-2.33419,7.52378,144.699,-0.53772,6.02981,13.1826,126.957,-148.931,-83.0013,-198.749,45.9029,-179.187,-293.491,-191.903,396.923,644.937,1125.91,-77.6405,50.283,-15.1347,-14.6577,-142.562,-133.787,-14.5896,-18.1062,11.3382,-0.288658,-0.56877,-0.322657,0.60826,0.131357,0.774227,-0.687222,-0.0238047,-0.664455,0.220528,-0.0996131,0.919895,0.37056,-0.668242,0.328261,0.217546,-0.736383,0.199966,0.0204483,-0.137645,0.765439
