"Time,s",Activities,Activity Names,"Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvic Tilt LT,deg","Pelvic Tilt RT,deg","Pelvic Obliquity LT,deg","Pelvic Obliquity RT,deg","Pelvic Rotation LT,deg","Pelvic Rotation RT,deg","Foot Pitch Down LT,deg","Foot Pitch Down RT,deg","Foot Roll Med LT,deg","Foot Roll Med RT,deg","Foot Rotation Ext LT,deg","Foot Rotation Ext RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,",,,,,,,,,,,,,,,,,,,,,
32.31,0,,33.3335,6.82513,1.74068,-3.99174,5.81223,-7.71866,60.3758,15.8824,5.47257,9.40856,-6.7604,-7.44809,0.259604,7.44247,0.0901144,0.0901144,0.666875,-0.666875,6.25156,-6.25156,21.9942,0.590501,3.91444,-4.50178,12.2917,-6.84303,147.148,-0.0170547,0.67268,140.633,33.3786,-1.28295,140.248,-26.9429,2.05239,140.181,-21.4646,8.82872,139.475,7.37236,3.7102,137.31,-8.23695,12.1202,146.556,-0.586413,4.57219,163.073,-33.6798,-153.807,156.757,173.849,-40.0293,-130.867,-83.4709,-85.9281,-782.319,1070.84,-281.728,-23.9327,186.043,-22.9568,-13.6475,44.8997,-227.045,-1.48432,-13.1191,10.6973,-0.326129,-0.56717,-0.344867,0.583305,0.177323,0.776498,-0.701757,0.00634798,-0.633699,0.200754,-0.160042,0.912152,0.305795,-0.68221,0.341929,0.242937,-0.742422,0.144663,0.0131235,-0.143626,0.752433
32.32,0,,34.6274,6.58988,1.20825,-3.87843,6.74956,-7.5525,61.6167,15.7372,6.31096,9.39209,-7.5605,-7.4005,0.23143,7.52562,0.077197,0.077197,0.927302,-0.927302,6.37524,-6.37524,21.123,0.670188,4.48586,-4.56507,12.8209,-6.69666,146.928,0.0263573,0.930244,139.365,34.6492,-2.33264,139.622,-26.886,1.82522,139.593,-20.5729,9.38659,139.447,7.18977,3.90192,137.277,-8.27785,12.155,146.605,-0.664057,4.64216,159.189,-41.9926,-155.772,166.982,156.748,-75.6811,-102.069,58.1289,46.4126,-885.159,968.84,-40.5282,-40.0462,153.807,-57.6049,-26.368,29.2865,-199.716,12.6167,-23.9334,25.7707,-0.323696,-0.568895,-0.344755,0.577666,0.183298,0.777567,-0.702933,0.00128183,-0.630906,0.192573,-0.159308,0.915378,0.30605,-0.68376,0.339377,0.243421,-0.742408,0.144478,0.0135502,-0.144413,0.752037
32.33,0,,35.9066,6.32116,0.692315,-3.78182,7.5767,-7.42823,62.7032,15.5078,6.96246,9.34503,-7.9438,-7.35744,-0.0221368,7.70892,0.077197,0.077197,1.18253,-1.18253,6.49891,-6.49891,20.2941,0.758048,4.73205,-4.62728,13.0512,-6.49173,146.659,0.0570557,1.18383,138.156,35.8762,-3.34285,139.04,-26.7071,1.65395,139.275,-19.7482,9.50492,139.338,6.96608,4.10556,137.161,-8.27633,12.1909,146.666,-0.75396,4.71214,128.893,-38.5646,-142.083,126.938,108.391,-100.579,-208.497,187.487,173.36,-799.255,991.613,-76.1339,-7.34396,107.438,-73.7272,8.8065,114.733,-125.981,51.7657,-27.3018,33.3074,-0.321005,-0.570656,-0.344383,0.57162,0.187753,0.779027,-0.703596,-0.00408961,-0.629006,0.186466,-0.156131,0.917923,0.305981,-0.685756,0.335828,0.244215,-0.74235,0.144966,0.0140386,-0.145208,0.751556
32.34,0,,37.1148,6.01323,0.22253,-3.70935,8.19086,-7.30536,63.6282,15.2269,7.69819,9.30737,-8.19852,-7.36197,-0.434685,7.89505,0.061204,0.061204,1.43172,-1.43172,6.62258,-6.62258,19.2431,0.807086,4.91994,-4.63908,12.9491,-6.28437,146.385,0.104189,1.42926,137.189,37.0498,-4.19648,138.661,-26.4207,1.41757,139.319,-18.7346,9.39187,139.212,6.71958,4.32687,137.041,-8.24604,12.2129,146.721,-0.802998,4.72687,78.1303,-16.1114,-128.914,54.7018,54.1954,-68.8493,-329.115,277.831,154.795,-905.36,893.493,-150.955,69.8109,56.1567,-52.2474,93.73,240.254,75.2082,29.3153,11.1689,-13.1285,-0.318381,-0.572488,-0.343896,0.565328,0.190986,0.78079,-0.70443,-0.00909454,-0.627767,0.179511,-0.151006,0.919954,0.305685,-0.688036,0.331688,0.244886,-0.742287,0.145698,0.0143445,-0.145459,0.751163
32.35,0,,38.2283,5.68713,-0.261541,-3.64435,8.55118,-7.07637,64.3555,14.9296,8.44972,9.31326,-8.33258,-7.39483,-0.910961,7.98008,0.047979,0.047979,1.66844,-1.66844,6.74897,-6.74897,18.0504,0.809129,5.00934,-4.6187,12.5361,-6.06237,146.088,0.148221,1.66255,136.508,38.1305,-4.89537,138.551,-26.04,1.07361,139.67,-17.6052,9.05588,139.162,6.44294,4.55658,137.008,-8.23392,12.2199,146.77,-0.802998,4.70477,51.7482,35.1652,-115.225,-22.4717,-18.0824,-32.7167,-389.169,331.521,117.665,-915.563,807.73,-138.157,94.2187,16.59,-13.669,145.024,329.107,153.819,-21.5226,16.6647,-12.6422,-0.315693,-0.574314,-0.343221,0.559359,0.193249,0.782456,-0.705707,-0.0134281,-0.627091,0.172315,-0.144176,0.921394,0.305563,-0.690234,0.327415,0.245067,-0.742282,0.145942,0.0143441,-0.145272,0.750899
32.36,0,,39.2531,5.36103,-0.752206,-3.55165,8.72701,-6.74126,64.8896,14.6628,9.13675,9.31208,-8.40997,-7.36651,-1.43084,7.91678,0.0384447,0.0384447,1.90161,-1.90161,6.87672,-6.87672,16.8007,0.823432,5.01582,-4.61441,11.8858,-5.88672,145.802,0.189462,1.89271,136.08,39.1295,-5.45311,138.683,-25.5568,0.622795,140.274,-16.4291,8.57408,139.233,6.14896,4.76464,137.09,-8.26724,12.1921,146.786,-0.819344,4.69925,32.2381,77.6435,-105.465,-92.2971,-100.59,-9.76694,-415.046,355.503,86.4467,-851.083,645.409,-55.6237,78.1052,-10.2412,8.31153,109.386,315.433,133.778,-11.689,9.75065,21.8808,-0.31306,-0.57607,-0.342602,0.553802,0.195018,0.783917,-0.707421,-0.0173346,-0.626913,0.165168,-0.136359,0.92216,0.305566,-0.692131,0.323267,0.244642,-0.742227,0.145393,0.0144664,-0.145274,0.750786
32.37,0,,40.2202,5.06171,-1.22364,-3.45183,8.75301,-6.30143,65.1942,14.4053,9.74086,9.28502,-8.55074,-7.29285,-2.00304,7.71742,0.0532075,0.0532075,2.11586,-2.11586,7.00447,-7.00447,15.4706,0.856124,5.04433,-4.6187,11.0385,-5.74766,145.544,0.205277,2.10654,135.866,40.0596,-5.87517,139.012,-24.9256,0.0750185,141.098,-15.1778,8.07749,139.426,5.84129,4.9568,137.304,-8.3248,12.1318,146.792,-0.852036,4.70477,24.8882,115.237,-104.001,-124.994,-128.901,-29.7816,-449.223,360.872,84.9428,-773.341,432.211,40.5282,40.9966,-27.3603,23.9332,27.81,181.16,54.2025,10.2047,7.80052,4.8624,-0.310564,-0.577546,-0.342121,0.548619,0.196363,0.785206,-0.709466,-0.0212419,-0.627306,0.157354,-0.1283,0.922271,0.305563,-0.693834,0.319174,0.243421,-0.742228,0.144112,0.0147103,-0.145394,0.750713
32.38,0,,41.1223,4.75569,-1.64947,-3.37937,8.57842,-5.82111,65.2874,14.1408,10.3068,9.2556,-8.70125,-7.21353,-2.5142,7.43491,0.0728912,0.0728912,2.29329,-2.29329,7.13358,-7.13358,14.0221,0.884729,5.05599,-4.61655,10.0987,-5.65496,145.319,0.212409,2.2846,135.932,40.9405,-6.10934,139.562,-24.1431,-0.552731,142.048,-13.8006,7.56294,139.689,5.51352,5.14101,137.589,-8.39599,12.0611,146.792,-0.880641,4.70293,16.612,124.035,-101.556,-157.729,-140.629,-64.4466,-488.27,332.523,117.665,-659.279,227.007,42.4972,-3.88798,-38.5841,32.2197,-7.828,58.0999,25.3999,9.83362,1.95013,1.45872,-0.308421,-0.578755,-0.341686,0.54368,0.197097,0.786434,-0.711766,-0.0249646,-0.628388,0.148685,-0.119571,0.92202,0.305792,-0.695325,0.315191,0.241775,-0.742293,0.142404,0.0149543,-0.145453,0.750704
32.39,0,,41.98,4.4602,-2.05277,-3.30585,8.22924,-5.39385,65.1578,13.8341,10.8978,9.20971,-8.90417,-7.13875,-2.89119,7.16564,0.118717,0.118717,2.46178,-2.46178,7.26269,-7.26269,12.3854,0.907205,5.09097,-4.61548,9.13748,-5.59885,145.132,0.193493,2.45701,136.289,41.7735,-6.14655,140.32,-23.1962,-1.26187,143.037,-12.2263,7.08854,139.936,5.17115,5.30931,137.869,-8.43992,11.995,146.786,-0.901074,4.70477,-13.684,106.924,-104.001,-198.241,-171.886,-98.1501,-505.382,295.441,149.92,-585.413,41.4282,-62.0229,-30.283,-54.6829,13.1933,-31.2605,-35.6264,-9.27041,8.72038,4.96397,15.0734,-0.306415,-0.579687,-0.341513,0.538962,0.19709,0.787629,-0.714335,-0.0285661,-0.630102,0.138494,-0.110112,0.921667,0.30635,-0.696566,0.311416,0.24007,-0.742428,0.14088,0.0151372,-0.145512,0.750695
32.4,0,,42.7667,4.15896,-2.43739,-3.22877,7.68814,-5.035,64.8214,13.5135,11.4848,9.17559,-9.23689,-7.06849,-3.05756,6.9351,0.172232,0.172232,2.62299,-2.62299,7.39044,-7.39044,10.6133,0.923551,5.18815,-4.62513,8.21661,-5.56957,144.967,0.166516,2.62335,136.937,42.5531,-5.96366,141.303,-22.1013,-2.06372,143.993,-10.5038,6.72191,140.133,4.81783,5.45862,138.1,-8.4793,11.9394,146.781,-0.919463,4.71398,-30.7741,95.6974,-99.1311,-202.167,-176.742,-131.348,-512.199,247.549,150.854,-532.157,-165.471,-222.659,-46.3966,-62.0142,0,-8.2915,-78.1132,-6.83224,1.48432,-5.31854,-3.40368,-0.304528,-0.580489,-0.341457,0.534472,0.196246,0.788829,-0.717271,-0.0319235,-0.632243,0.126895,-0.100527,0.921287,0.307264,-0.69754,0.307874,0.238661,-0.742534,0.139595,0.0152596,-0.145637,0.75071
